年度,Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settlement
平成24,2012,0,総数,Total,11774245,12004140,11176819
平成25,2013,0,総数,Total,12083829,12422398,11763967
平成26,2014,0,総数,Total,13339433,13587296,12754537
平成27,2015,0,総数,Total,13870594,14391307,13413243
平成28,2016,0,総数,Total,13655995,13839109,12934488
平成28,2016,1,一般会計,General account,7011000,7048794,6598877
平成28,2016,1,特別会計,Special accounts,4453922,4440711,4303240
平成28,2016,2,特別区財政調整,Financial adjustments for ku,975572,987805,987804
平成28,2016,2,地方消費税清算,Local consumption tax adjustment,1871806,1871806,1804027
平成28,2016,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,374,374,-
平成28,2016,2,母子父子福祉貸付資金,Single parent welfare loan funds,4520,4520,3149
平成28,2016,2,心身障害者扶養年金,Annuity for the mentally or physically impaired,5388,5388,5194
平成28,2016,2,中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.， funds,6748,6748,4653
平成28,2016,2,林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,52,52,0
平成28,2016,2,沿岸漁業改善資金助成,Coastal fishery improvement subsidies,48,48,18
平成28,2016,2,と場,Slaughter house,6648,6648,5754
平成28,2016,2,都営住宅等事業,Metropolitan public housing， etc.,178360,188883,162014
平成28,2016,2,都営住宅等保証金,Metropolitan public housing， etc.， security deposits,3095,3095,3082
平成28,2016,2,都市開発資金,Urban development funds,8615,8615,7600
平成28,2016,2,用地,Land acquisition,53885,17036,8216
平成28,2016,2,公債費,Debt services,1330238,1330238,1306498
平成28,2016,2,臨海都市基盤整備事業,Waterfront urban infrastructure development,8573,9455,5231
平成28,2016,1,公営企業会計,Public enterprise accounts,2191073,2349604,2032371
平成28,2016,2,病院,Hospital,192722,192722,180329
平成28,2016,2,中央卸売市場,Central Wholesale Market,203021,335673,183068
平成28,2016,2,都市再開発事業,Urban redevelopment,144482,145311,143855
平成28,2016,2,臨海地域開発事業,Waterfront area development ,101667,103754,76798
平成28,2016,2,港湾事業,Port and harbor,6175,9227,7282
平成28,2016,2,交通事業,Transportation,79879,80052,71829
平成28,2016,2,高速電車事業,Railway,230399,232748,209976
平成28,2016,2,電気事業,Electric power,1753,1775,1149
平成28,2016,2,水道事業,Waterworks,466056,469056,443496
平成28,2016,2,工業用水道事業,Industrial waterworks,2236,2236,2027
平成28,2016,2,下水道事業,Sewerage,762683,777051,712563
,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成24～28年度) (歳出) 21-1  BUDGET AND SETTLEMENT BY ACCOUNT ( Fiscal Years 2012-2016 ) ( EXPENDITURE ),,,,,,,
注1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note:1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,
2) The Public enterprise accounts are the sum of revenue expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
