年度,Fiscal year,被保険者数 Insured persons／総数 Total 1),被保険者数 Insured persons／男子 Male 1),被保険者数 Insured persons／女子 Female 1),被扶養者数 Dependents／総数 Total 1),被扶養者数 Dependents／男子 Male 1),被扶養者数 Dependents／女子 Female 1),保険給付費 Insurance benefits／件数 Cases,保険給付費 Insurance benefits／給付費 Benefits,医療給付費 Medical care benefits／件数 Cases,医療給付費 Medical care benefits／給付費 Benefits,医療費 Medical care expense,その他の現金給付費 Other cash  benefits／件数 Cases,その他の現金給付費 Other cash  benefits／給付費  Benefits,診療費 Consultation fees／件数 Cases,診療費 Consultation fees／給付費  Benefits,診療費 Consultation fees／医療費 Medical care expenses,薬剤支給 Prescription drugs benefits／件数 Cases,薬剤支給 Prescription drugs benefits／給付費 Benefits,薬剤支給 Prescription drugs benefits／医療費 Medical care expenses
平成26,2014,5324,5027,297,2478,690,1788,5319,64576,5291,58582,76900,28,5994,3216,43505,56226,1753,11831,16588
平成27,2015,5577,5276,301,2561,729,1832,5627,76663,5582,69897,88735,45,6767,3381,50048,64044,1856,16200,21139
平成28,2016,5778,5461,317,2526,723,1803,5223,66208,5196,58340,76084,27,7868,3132,43853,56387,1765,11591,16207
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,
18-8 医療保険（3）法第3条第2項被保険者分 a 適用状況 （平成26～28年度） 18-8 HEALTH INSURANCE  (3)PERSONS INSURED UNDER ARTICLE 3，CLAUSE 2 OF THE HEALTH INSURANCE ACT  a COVERAGE ( Fiscal Years 2014-2016 ),,,,,,,,,,,,,,,,,,,,
各年度3月分の数値である。,,,,,,,,,,,,,,,,,,,,
Figures for March of each fiscal year. ,,,,,,,,,,,,,,,,,,,,
注 1） 3月末現在の数値である。,,,,,,,,,,,,,,,,,,,,
Note: 1） Figures are as of the end of March of each year.,,,,,,,,,,,,,,,,,,,,
資料：全国健康保険協会     Source: Japan Health Insurance Association,,,,,,,,,,,,,,,,,,,,
（単位　金額　千円） (Value in thousands of yen),,,,,,,,,,,,,,,,,,,,
