年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
平成24,2012,歳入,Revenue,総数,Total,6149000,6225103,5955489
平成25,2013,歳入,Revenue,総数,Total,6264000,6404744,6130261
平成26,2014,歳入,Revenue,総数,Total,6666708,6789403,6546693
平成27,2015,歳入,Revenue,総数,Total,6952000,7201711,6913752
平成28,2016,歳入,Revenue,総数,Total,7011000,7048794,6779695
平成28,2016,歳入,Revenue,都税,Metropolitan taxes,5208282,5221473,5236011
平成28,2016,歳入,Revenue,地方譲与税,Local transfer tax,244261,234754,235549
平成28,2016,歳入,Revenue,助成交付金,Subsidies and grants,31,31,30
平成28,2016,歳入,Revenue,区市町村たばこ税都交付金,Transferred municipal tobacco tax,-,0,0
平成28,2016,歳入,Revenue,地方特例交付金,Special local grants,4700,4700,4875
平成28,2016,歳入,Revenue,特別交付金,Special grants,3253,3253,2937
平成28,2016,歳入,Revenue,分担金及負担金,Beneficiary contribution,14901,14661,10611
平成28,2016,歳入,Revenue,使用料及手数料,Charges and fees,88583,88583,84531
平成28,2016,歳入,Revenue,国庫支出金,National treasury disbursements,377833,348580,319685
平成28,2016,歳入,Revenue,財産収入,Revenue from property,40631,41173,27973
平成28,2016,歳入,Revenue,寄附金,Contributions,78,78,81
平成28,2016,歳入,Revenue,繰入金,Funds transferred,229590,219078,69584
平成28,2016,歳入,Revenue,諸収入,Miscellaneous,445512,455194,536782
平成28,2016,歳入,Revenue,都債,Metropolitan bonds,353343,290608,124417
平成28,2016,歳入,Revenue,繰越金,Balance brought forward,1,126628,126628
平成24,2012,歳出,Expenditure,総数,Total,6149000,6225103,5902977
平成25,2013,歳出,Expenditure,総数,Total,6264000,6404744,6049866
平成26,2014,歳出,Expenditure,総数,Total,6666708,6789403,6403918
平成27,2015,歳出,Expenditure,総数,Total,6952000,7201711,6787125
平成28,2016,歳出,Expenditure,総数,Total,7011000,7048794,6598877
平成28,2016,歳出,Expenditure,議会費,Metropolitan assembly,6209,6209,5644
平成28,2016,歳出,Expenditure,総務費,General services,199037,198673,184575
平成28,2016,歳出,Expenditure,徴税費,Tax collection,70486,69681,67287
平成28,2016,歳出,Expenditure,生活文化費,Citizens and cultural affairs,28517,28427,25078
平成28,2016,歳出,Expenditure,スポーツ振興費,Sports promotion,84375,80944,74941
平成28,2016,歳出,Expenditure,都市整備費,Urban development,155939,135585,118548
平成28,2016,歳出,Expenditure,環境費,Environmental protection,49469,49084,42349
平成28,2016,歳出,Expenditure,福祉保健費,Welfare and public health,1126674,1271455,1210517
平成28,2016,歳出,Expenditure,産業労働費,Industry and labor ,476065,502731,406368
平成28,2016,歳出,Expenditure,土木費,Civil engineering works,586038,583055,486557
平成28,2016,歳出,Expenditure,港湾費,Port and harbor,109534,101519,78884
平成28,2016,歳出,Expenditure,教育費,Education,803056,787042,770290
平成28,2016,歳出,Expenditure,学務費,School affairs,199908,199858,184935
平成28,2016,歳出,Expenditure,警察費,Police,656601,643519,626542
平成28,2016,歳出,Expenditure,消防費,Fire fighting,256723,249427,245993
平成28,2016,歳出,Expenditure,公債費,Debt services,440263,425063,425018
平成28,2016,歳出,Expenditure,諸支出金,Miscellaneous,1757106,1711520,1645351
平成28,2016,歳出,Expenditure,予備費,Reserve funds,5000,5000,-
,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成24～28年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2012-2016 ),,,,,,,,
注．1) 最終予算額は， 前年度からの繰越額を含む。,,,,,,,,
Note.1) The final budget includes the account brought from the previous fiscal year.,,,,,,,,
注．2) 歳出における予備費の決算額は各款への充当額の合計であり， 再掲である。,,,,,,,,
Note.2) Number in parenthesis refer to appropriation for other items.　　,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
