年度,Fiscal year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use 1,直接最終処分量 Direct final disposal 2,中間処理 Intermediate processing ／処理量 Processed 3,中間処理 Intermediate processing／処理残さ量 Residues 4,中間処理 Intermediate processing／処理後再生利用量 Recycled after processing 5,中間処理 Intermediate processing／最終処分量 Final disposal 6,再生利用量 Recycled 1＋5,減量化量 Reduced disposal 3-4,最終処分量 Final disposal 2＋6
平成23,2011,総数 ,Total,23887,133,23754,44,412,23298,7203,6584,619,6628,16095,1031
平成24,2012,総数 ,Total,23644,78,23566,48,203,23315,7820,7146,674,7194,15495,877
平成25,2013,総数 ,Total,24738,146,24592,15,61,24516,9365,8679,685,8694,15152,747
平成26,2014,総数 ,Total,24812,138,24674,36,69,24569,9875,9240,635,9276,14694,704
平成27,2015,総数 ,Total,23811,112,23699,20,34,23645,10176,9604,572,9624,13469,606
平成27,2015,燃えがら ,Cinder,11,-,11,-,3,8,7,4,3,4,1,6
平成27,2015,汚でい ,Sludge,14939,4,14935,-,4,14931,1806,1692,114,1692,13125,118
平成27,2015,廃油 ,Waste oil,21,1,20,-,-,20,8,8,-,8,12,-
平成27,2015,廃酸 ,Waste acid,14,1,13,-,-,13,13,8,5,8,-,5
平成27,2015,廃アルカリ ,Waste alkaline,5,-,5,-,-,5,3,2,1,2,2,1
平成27,2015,廃プラスチック類 ,Waste plastics,324,13,311,-,3,308,205,175,30,175,103,33
平成27,2015,紙くず ,Paper scrap,71,14,57,1,-,56,45,45,-,46,11,-
平成27,2015,木くず ,Wood scrap,294,-,294,-,-,294,213,210,3,210,81,3
平成27,2015,繊維くず ,Textile scrap,4,-,4,-,-,4,4,4,-,4,-,-
平成27,2015,動植物性残さ ,Plant and animal scraps,21,2,19,-,-,19,18,17,1,17,1,1
平成27,2015,ゴムくず ,Rubber scrap,-,-,-,-,-,-,-,-,-,-,-,-
平成27,2015,金属くず ,Metal scrap,233,68,165,1,-,164,163,158,5,159,1,5
平成27,2015,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,586,9,577,-,2,575,539,434,105,434,36,107
平成27,2015,鉱さい ,Slag,11,-,11,-,-,11,10,10,-,10,1,-
平成27,2015,がれき類 ,Rubble,6803,-,6803,18,5,6780,6751,6598,153,6616,29,158
平成27,2015,ばいじん ,Dust,10,-,10,-,-,10,10,1,9,1,-,9
平成27,2015,動物の糞尿 ,Animal excretions,40,-,40,-,-,40,26,26,-,26,14,-
平成27,2015,動物の死体 ,Animal carcasses,-,-,-,-,-,-,-,-,-,-,-,-
平成27,2015,混合廃棄物 ,Mixed waste,305,-,305,-,5,300,297,174,123,174,3,128
平成27,2015,その他の廃棄物 ,Other waste,46,-,46,-,9,37,33,19,14,19,4,23
平成27,2015,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,6,-,6,-,-,6,6,5,1,5,-,1
平成27,2015,特別管理産業廃棄物 ,Specially controlled industrial waste,67,-,67,-,3,64,19,14,5,14,45,8
,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成23～平成27年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2011-2015 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
Figures are estimates.,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部 「東京都産業廃棄物経年変化実態調査報告書」 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
