地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職 Firefighting services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13200,総数,All shi,24485,15253,1684,110,576,1114,2253,101,1436,1848,110,-
1,13201,八王子市,Hachioji-shi,2847,1937,215,3,83,81,127,-,-,390,11,-
1,13202,立川市,Tachikawa-shi,1054,720,72,-,22,32,116,-,-,89,3,-
1,13203,武蔵野市,Musashino-shi,933,652,71,-,18,43,106,-,22,18,3,-
1,13204,三鷹市,Mitaka-shi,1000,623,73,-,37,30,160,-,-,74,3,-
1,13205,青梅市,Ome-shi,1459,569,63,-,5,15,-,-,724,81,2,-
1,13206,府中市,Fuchu-shi,1282,798,87,-,26,51,220,-,-,81,19,-
1,13207,昭島市,Akishima-shi,632,451,46,-,9,13,19,-,22,69,3,-
1,13208,調布市,Chofu-shi,1258,859,86,-,30,41,146,-,-,94,2,-
1,13209,町田市,Machida-shi,2935,1587,170,3,52,69,154,-,658,237,5,-
1,13210,小金井市,Koganei-shi,692,404,65,-,20,15,133,-,-,53,2,-
1,13211,小平市,Kodaira-shi,947,611,73,-,13,25,146,-,-,76,3,-
1,13212,日野市,Hino-shi,1374,661,57,54,76,253,147,-,-,105,21,-
1,13213,東村山市,Higashimurayama-shi,786,508,54,-,21,24,130,-,-,47,2,-
1,13214,国分寺市,Kokubunji-shi,647,407,48,-,13,21,84,-,-,72,2,-
1,13215,国立市,Kunitachi-shi,462,305,44,-,10,20,69,-,-,12,2,-
1,13218,福生市,Fussa-shi,373,310,27,-,-,13,-,-,-,20,3,-
1,13219,狛江市,Komae-shi,442,281,31,-,8,11,72,-,-,37,2,-
1,13220,東大和市,Higashiyamato-shi,475,375,39,-,2,12,24,-,-,21,2,-
1,13221,清瀬市,Kiyose-shi,438,281,33,-,6,17,52,-,-,46,3,-
1,13222,東久留米市,Higashikurume-shi,594,362,52,-,15,20,107,-,-,36,2,-
1,13223,武蔵村山市,Musashimurayama-shi,382,306,39,-,3,14,-,-,-,18,2,-
1,13224,多摩市,Tama-shi,812,635,62,-,9,31,28,-,-,44,3,-
1,13225,稲城市,Inagi-shi,864,343,42,50,71,197,40,101,-,18,2,-
1,13227,羽村市,Hamura-shi,371,300,26,-,2,14,9,-,10,8,2,-
1,13228,あきる野市,Akiruno-shi,422,333,39,-,4,12,18,-,-,14,2,-
1,13229,西東京市,Nishitokyo-shi,1004,635,70,-,21,40,146,-,-,88,4,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (3) 市 (平成28年4月1日) 22-5  GOVERNMENT EMPLOYEES  (3) SHI ( Apr. 1， 2016 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部区政課・市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,
