年度末,End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2),終末処理場数 Number of sewage treatment plants,普及率 (B／A) Sewerage system coverage (%),,,
平成26,2014,0,13000,総数,Tokyo-to,13313060,13267849,109406,105660,13266942,109406,105455,7,27,100,,,
平成27,2015,0,13000,総数,Tokyo-to,13435570,13393002,109750,105770,13392253,109750,105563,7,27,100,,,
平成28,2016,0,13000,総数,Tokyo-to,13546703,13506971,109750,105821,13506368,109750,105715,7,27,100,,,
平成28,2016,1,13100,区部,All ku,9338582,9329218,56375,56227,9329218,56375,56227,-,13,100,,,
平成28,2016,2,13101,千代田区,Chiyoda-ku,60297,60297,1102,1102,60297,1102,1102,-,-,100,,,
平成28,2016,2,13102,中央区,Chuo-ku,152174,152174,903,903,152174,903,903,-,-,100,,,
平成28,2016,2,13103,港区,Minato-ku,251015,250832,1986,1970,250832,1986,1970,-,1,100,,,
平成28,2016,2,13104,新宿区,Shinjuku-ku,339339,339339,1798,1798,339339,1798,1798,-,1,100,,,
平成28,2016,2,13105,文京区,Bunkyo-ku,214683,214683,1138,1138,214683,1138,1138,-,-,100,,,
平成28,2016,2,13106,台東区,Taito-ku,194639,194639,856,856,194639,856,856,-,-,100,,,
平成28,2016,2,13107,墨田区,Sumida-ku,266356,266356,1195,1195,266356,1195,1195,-,-,100,,,
平成28,2016,2,13108,江東区,Koto-ku,508320,506729,3432,3396,506729,3432,3396,-,2,100,,,
平成28,2016,2,13109,品川区,Shinagawa-ku,385122,384757,2051,2045,384757,2051,2045,-,-,100,,,
平成28,2016,2,13110,目黒区,Meguro-ku,275278,275278,1440,1440,275278,1440,1440,-,-,100,,,
平成28,2016,2,13111,大田区,Ota-ku,720518,720194,4804,4798,720194,4804,4798,-,1,100,,,
平成28,2016,2,13112,世田谷区,Setagaya-ku,896057,895561,5726,5708,895561,5726,5708,-,-,100,,,
平成28,2016,2,13113,渋谷区,Shibuya-ku,223412,223412,1511,1511,223412,1511,1511,-,-,100,,,
平成28,2016,2,13114,中野区,Nakano-ku,326839,326839,1566,1566,326839,1566,1566,-,1,100,,,
平成28,2016,2,13115,杉並区,Suginami-ku,562065,561736,3338,3332,561736,3338,3332,-,-,100,,,
平成28,2016,2,13116,豊島区,Toshima-ku,284921,284921,1299,1299,284921,1299,1299,-,-,100,,,
平成28,2016,2,13117,北区,Kita-ku,346249,346249,1836,1836,346249,1836,1836,-,1,100,,,
平成28,2016,2,13118,荒川区,Arakawa-ku,213203,213203,887,887,213203,887,887,-,1,100,,,
平成28,2016,2,13119,板橋区,Itabashi-ku,558809,558737,2997,2994,558737,2997,2994,-,1,100,,,
平成28,2016,2,13120,練馬区,Nerima-ku,725608,725370,4684,4677,725370,4684,4677,-,-,100,,,
平成28,2016,2,13121,足立区,Adachi-ku,682950,679535,4787,4778,679535,4787,4778,-,2,100,,,
平成28,2016,2,13122,葛飾区,Katsushika-ku,457927,456711,2996,2961,456711,2996,2961,-,1,100,,,
平成28,2016,2,13123,江戸川区,Edogawa-ku,692801,691666,4043,4037,691666,4043,4037,-,1,100,,,
平成28,2016,1,13200,市部,All shi,4147238,4119322,51358,47899,4118848,51358,47819,7,12,99,,,
平成28,2016,2,13201,八王子市,Hachioji-shi,562773,559046,8739,8426,559046,8739,8426,1,2,99,,,
平成28,2016,2,13202,立川市,Tachikawa-shi,182092,182092,2278,2173,182092,2278,2173,-,1,100,,,
平成28,2016,2,13203,武蔵野市,Musashino-shi,144606,144606,1073,1073,144606,1073,1073,-,-,100,,,
平成28,2016,2,13204,三鷹市,Mitaka-shi,185725,185725,1650,1650,185725,1650,1650,-,1,100,,,
平成28,2016,2,13205,青梅市,Ome-shi,135570,131704,2379,2146,131704,2379,2146,-,-,97,,,
平成28,2016,2,13206,府中市,Fuchu-shi,257902,257902,2725,2725,257902,2725,2725,1,1,100,,,
平成28,2016,2,13207,昭島市,Akishima-shi,112850,112771,1504,1440,112771,1504,1440,1,1,100,,,
平成28,2016,2,13208,調布市,Chofu-shi,230865,230865,2037,1955,230865,2037,1955,-,-,100,,,
平成28,2016,2,13209,町田市,Machida-shi,429114,423251,5422,4921,423251,5422,4921,-,2,99,,,
平成28,2016,2,13210,小金井市,Koganei-shi,119598,119598,1133,1133,119598,1133,1133,-,-,100,,,
平成28,2016,2,13211,小平市,Kodaira-shi,189955,189955,2046,2046,189955,2046,2046,-,-,100,,,
平成28,2016,2,13212,日野市,Hino-shi,183985,175650,2397,2247,175236,2397,2242,1,1,95,,,
平成28,2016,2,13213,東村山市,Higashimurayama-shi,150541,150541,1696,1696,150541,1696,1696,-,-,100,,,
平成28,2016,2,13214,国分寺市,Kokubunji-shi,121234,121229,1148,1141,121229,1148,1141,-,-,100,,,
平成28,2016,2,13215,国立市,Kunitachi-shi,75466,75466,792,792,75466,792,792,1,1,100,,,
平成28,2016,2,13218,福生市,Fussa-shi,58618,58618,1000,653,58618,1000,653,-,-,100,,,
平成28,2016,2,13219,狛江市,Komae-shi,81326,81326,582,582,81326,582,582,-,-,100,,,
平成28,2016,2,13220,東大和市,Higashiyamato-shi,85857,85836,1009,985,85836,1009,985,-,-,100,,,
平成28,2016,2,13221,清瀬市,Kiyose-shi,74642,74628,1019,872,74628,1019,872,1,1,100,,,
平成28,2016,2,13222,東久留米市,Higashikurume-shi,116897,116897,1292,1292,116897,1292,1292,-,-,100,,,
