年次,Year,区分階層,種類,Kind,東京地方裁判所 Tokyo District Court／新受 Newly received,東京地方裁判所 Tokyo District Court／既済 Disposed,東京地方裁判所 Tokyo District Court／未済 Pending,立川支部 Tachikawa Branch／新受 Newly received,立川支部 Tachikawa Branch／既済 Disposed,立川支部 Tachikawa Branch／未済 Pending
平成24,2012,0,総数,Total,13669,13987,2185,3902,3977,328
平成25,2013,0,総数,Total,12398,12586,1997,3554,3551,331
平成26,2014,0,総数,Total,10541,10598,1940,2993,2975,349
平成27,2015,0,総数,Total,9591,9743,1788,3100,3104,345
平成28,2016,0,総数,Total,9360,9516,1632,2867,2915,297
平成28,2016,1,執行イ,Type A,2337,2357,268,527,546,57
平成28,2016,2,動産執行,Execution against movables ,2330,2345,268,527,546,57
平成28,2016,2,動産競売,Auction of movables,7,12,-,-,-,-
平成28,2016,1,執行ロ,Type B,3871,3922,516,1098,1127,98
平成28,2016,2,不動産等の引渡し,Delivery of immovables， etc.,3623,3659,481,1056,1082,89
平成28,2016,2,動産の引渡し,Delivery of movables,24,25,3,22,21,2
平成28,2016,2,船舶国籍証書等の取り上げ,Confiscation of vessel nationality certificates， etc.,-,-,-,-,-,-
平成28,2016,2,自動車・建設機械の引渡し,Delivery of automobiles and construction machinery,36,32,6,1,1,-
平成28,2016,2,代替執行,Execution by substitute ,184,191,13,15,11,6
平成28,2016,2,援助（民執法6Ⅱ等）,Assistance (Civil Execution Act 6 II， etc.),-,-,-,1,1,-
平成28,2016,2,保全処分（民執法55Ⅰ等）,Temporary restraining order (Civil Execution Act 55 I， etc.),-,12,4,2,9,-
平成28,2016,2,強制管理の管理人等,Administrator of sequestration， etc.,4,3,9,1,2,1
平成28,2016,1,執行ハ,Type C,622,673,700,56,58,36
平成28,2016,2,仮差押え,Provisional seizure ,19,24,14,1,2,-
平成28,2016,2,仮処分,Provisional disposition,601,647,686,55,56,36
平成28,2016,2,特別法による保全処分,Temporary restraining order under special laws,2,2,-,-,-,-
平成28,2016,1,不動産等売却,Sale of real property， etc.,1095,1102,64,592,589,60
平成28,2016,2,不動産・船舶・航空機,Real property， vessels， aircraft,1087,1094,64,590,587,60
平成28,2016,2,自動車・建設機械,Automobiles and construction machinery,1,1,-,1,1,-
平成28,2016,2,債権その他の財産権,Claims and other property rights,7,7,-,1,1,-
平成28,2016,1,現況調査等,Investigation into the current status， etc.,1435,1462,84,594,595,46
平成28,2016,2,現況調査,Investigation into the current status,1435,1462,84,594,595,46
平成28,2016,2,評価,Evaluation,-,-,-,-,-,-
平成28,2016,1,内覧,Preliminary inspection,-,-,-,-,-,-
平成28,2016,1,提訴前現況調査,Investigation prior to filing suits,-,-,-,-,-,-
平成28,2016,1,その他,Others,-,-,-,-,-,-
平成28,2016,2,拒絶証書の作成等,Preparation of certificates of refusal， etc.,-,-,-,-,-,-
平成28,2016,2,財産調査の援助・立会い・封印等,Asset investigation assistance， attendance， sealing， etc.,-,-,-,-,-,-
,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,
20-3  執行官事務の種類別件数 （平成24～28年） 20-3 WORK OF COURT ENFORCEMENT OFFICERS BY KIND ( 2012-2016 ),,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,
