年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成24,2012,0,13000,,東京都,Tokyo-to,,13236860,136,13166704,13236214,1561303,6,12991750,13192051,1558725,11,23650,17334,2578,119,151304,26829,100
平成25,2013,0,13000,,東京都,Tokyo-to,,13323735,139,13541730,13323644,1561863,6,13342750,13271120,1559142,11,23380,17153,2721,122,175600,35371,100
平成26,2014,0,13000,,東京都,Tokyo-to,,13430906,140,13524711,13430880,1558228,6,13354550,13376516,1555722,10,23380,16885,2506,124,146781,37479,100
平成27,2015,0,13000,,東京都,Tokyo-to,,13575092,138,13701126,13574649,1567917,6,13531550,13534493,1565331,10,23110,16621,2586,122,146466,23535,100
平成28,2016,0,13000,,東京都,Tokyo-to,,13687380,139,13673270,13686955,1567906,6,13531550,13647092,1565350,10,23110,16383,2556,123,118610,23480,100
平成28,2016,1,13100,,区部,All ku,,9421085,11,13211391,9421085,1526693,1,13190000,9412110,1526693,-,-,-,-,10,21391,8975,100
平成28,2016,1,13200,,市部,All shi,,4182615,111,423019,4182436,36540,3,325800,4167931,36540,-,-,-,-,108,97219,14505,100
平成28,2016,2,13201,1,八王子市,Hachioji-shi,※,577505,16,7788,577451,-,-,-,572109,-,-,-,-,-,16,7788,5342,99.99
平成28,2016,2,13202,2,立川市,Tachikawa-shi,※,178824,4,-,178824,-,-,-,178824,-,-,-,-,-,4,-,-,100
平成28,2016,2,13203,3,武蔵野市,Musashino-shi,,144606,6,158663,144606,17283,1,145000,144426,17283,-,-,-,-,5,13663,180,100
平成28,2016,2,13204,4,三鷹市,Mitaka-shi,※,189782,4,5504,189782,-,-,-,188416,-,-,-,-,-,4,5504,1366,100
平成28,2016,2,13205,5,青梅市,Ome-shi,※,136111,8,1470,136101,-,-,-,134814,-,-,-,-,-,8,1470,1287,99.99
平成28,2016,2,13206,6,府中市,Fuchu-shi,※,261077,6,13794,261077,-,-,-,261057,-,-,-,-,-,6,13794,20,100
平成28,2016,2,13207,7,昭島市,Akishima-shi,,112850,5,121072,112849,12684,1,120800,112577,12684,-,-,-,-,4,272,272,100
平成28,2016,2,13208,8,調布市,Chofu-shi,※,233635,5,13444,233635,-,-,-,233508,-,-,-,-,-,5,13444,127,100
平成28,2016,2,13209,9,町田市,Machida-shi,※,434463,3,-,434444,-,-,-,434444,-,-,-,-,-,3,-,-,100
平成28,2016,2,13210,10,小金井市,Koganei-shi,※,123143,3,13016,123143,-,-,-,123062,-,-,-,-,-,3,13016,81,100
平成28,2016,2,13211,11,小平市,Kodaira-shi,※,191521,9,8690,191521,-,-,-,189612,-,-,-,-,-,9,8690,1909,100
平成28,2016,2,13212,12,日野市,Hino-shi,※,187645,9,599,187645,-,-,-,187137,-,-,-,-,-,9,599,508,100
平成28,2016,2,13213,13,東村山市,Higashimurayama-shi,※,149703,6,3421,149703,-,-,-,148895,-,-,-,-,-,6,3421,808,100
平成28,2016,2,13214,14,国分寺市,Kokubunji-shi,※,124062,3,-,124062,-,-,-,124062,-,-,-,-,-,3,-,-,100
平成28,2016,2,13215,15,国立市,Kunitachi-shi,※,74353,4,-,74353,-,-,-,74353,-,-,-,-,-,4,-,-,100
平成28,2016,2,13218,16,福生市,Fussa-shi,※,58444,2,-,58444,-,-,-,58444,-,-,-,-,-,2,-,-,100
平成28,2016,2,13219,17,狛江市,Komae-shi,※,81895,-,-,81895,-,-,-,81895,-,-,-,-,-,-,-,-,100
平成28,2016,2,13220,18,東大和市,Higashiyamato-shi,※,84803,-,-,84803,-,-,-,84803,-,-,-,-,-,-,-,-,100
平成28,2016,2,13221,19,清瀬市,Kiyose-shi,※,75174,5,3705,75174,-,-,-,75169,-,-,-,-,-,5,3705,5,100
平成28,2016,2,13222,20,東久留米市,Higashikurume-shi,※,116427,2,2000,116427,-,-,-,115901,-,-,-,-,-,2,2000,526,100
平成28,2016,2,13223,21,武蔵村山市,Musashimurayama-shi,※,71437,2,180,71437,-,-,-,71257,-,-,-,-,-,2,180,180,100
平成28,2016,2,13224,22,多摩市,Tama-shi,※,147478,3,1600,147478,-,-,-,145584,-,-,-,-,-,3,1600,1894,100
平成28,2016,2,13225,23,稲城市,Inagi-shi,※,89654,-,-,89654,-,-,-,89654,-,-,-,-,-,-,-,-,100
平成28,2016,2,13227,24,羽村市,Hamura-shi,,56079,2,60000,55984,6573,1,60000,55984,6573,-,-,-,-,1,-,-,99.83
平成28,2016,2,13228,25,あきる野市,Akiruno-shi,※,80703,2,-,80703,-,-,-,80703,-,-,-,-,-,2,-,-,100
平成28,2016,2,13229,26,西東京市,Nishitokyo-shi,※,201241,2,8073,201241,-,-,-,201241,-,-,-,-,-,2,8073,-,100
平成28,2016,1,13300,,郡部,All gun,,58002,4,3400,57840,334,-,-,55671,-,1,3400,2169,334,3,-,-,99.72
平成28,2016,2,13303,1,瑞穂町,Mizuho-machi,※,33194,1,-,33194,-,-,-,33194,-,-,-,-,-,1,-,-,100
平成28,2016,2,13305,2,日の出町,Hinode-machi,※,17448,-,-,17448,-,-,-,17448,-,-,-,-,-,-,-,-,100
平成28,2016,2,13307,3,檜原村,Hinohara-mura,,2271,2,3400,2169,334,-,-,-,-,1,3400,2169,334,1,-,-,95.5
平成28,2016,2,13308,4,奥多摩町,Okutama-machi,※,5089,1,-,5029,-,-,-,5029,-,-,-,-,-,1,-,-,98.82
平成28,2016,1,13350,,島部,All islands,,25678,13,35460,25594,4339,2,15750,11380,2117,9,19710,14214,2222,2,-,-,99.67
平成28,2016,2,13361,1,大島町,Oshima-machi,,7818,3,10650,7817,1275,1,6450,5350,884,1,4200,2467,391,1,-,-,99.99
平成28,2016,2,13362,2,利島村,Toshima-mura,,296,1,350,296,45,-,-,-,-,1,350,296,45,-,-,-,100
平成28,2016,2,13363,3,新島村,Niijima-mura,,2721,1,2830,2683,384,-,-,-,-,1,2830,2683,384,-,-,-,98.6
平成28,2016,2,13364,4,神津島村,Kozushima-mura,,1860,1,2150,1856,375,-,-,-,-,1,2150,1856,375,-,-,-,99.78
平成28,2016,2,13381,5,三宅村,Miyake-mura,,2497,1,3920,2497,352,-,-,-,-,1,3920,2497,352,-,-,-,100
平成28,2016,2,13382,6,御蔵島村,Mikurajima-mura,,298,1,500,298,57,-,-,-,-,1,500,298,57,-,-,-,100
平成28,2016,2,13401,7,八丈町,Hachijo-machi,,7490,2,11930,7456,1519,1,9300,6030,1233,1,2630,1426,286,-,-,-,99.55
平成28,2016,2,13402,8,青ヶ島村,Aogashima-mura,,145,1,300,145,32,-,-,-,-,1,300,145,32,-,-,-,100
平成28,2016,2,13421,9,小笠原村,Ogasawara-mura,,2553,2,2830,2546,300,-,-,-,-,1,2830,2546,300,1,-,-,99.73
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,,,,,,,,,,
6-3  地域別水道の普及状況（平成24～平成28年度末） 6-3  ＷATER SUPPLY BY DISTRICT ( End of Fiscal Years 2012-2016 ),,,,,,,,,,,,,,,,,,,,,,,,
注 1) ※印を付した市町の上水道の施設数・計画給水人口及び給水量については，東京都水道局が経営しているため区部に含めた。,,,,,,,,,,,,,,,,,,,,,,,,
2) 専用水道は自己水源によるもののみである。 ,,,,,,,,,,,,,,,,,,,,,,,,
3) 「給水量」は有効水量と無効水量を合わせた配水量である。,,,,,,,,,,,,,,,,,,,,,,,,
4) 総数の計画給水人口には，専用水道の確認時給水人口を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Shi and machi marked with ※ are included in the total for all ku because their waterworks are operated by the Bureau of Waterworks， TMG.,,,,,,,,,,,,,,,,,,,,,,,,
2) “Private waterworks” are only those that have their own water sources．,,,,,,,,,,,,,,,,,,,,,,,,
3) Total population planned to be served includes the population to be served noted in the application for private waterworks. ,,,,,,,,,,,,,,,,,,,,,,,,
4)  “Water supply” is the total water， both revenue and non-revenue water， provided.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局健康安全部環境保健衛生課 Source: Bureau of Social Welfare and Public Health， TMG               ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
