年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成24,2012,平均,Average,98.4,81.4,99.4,99.5,91.6,102,101,98.7,97.7,93.4,101.1,100.1,111.4,91.3,98.9,82.2,95.8
平成25,2013,平均,Average,98.9,46.4,99.1,98.2,87.3,100,106.3,100.9,103.7,97.1,94.7,93.5,114.4,93.1,97.7,93.2,97.8
平成26,2014,平均,Average,99.2,15.6,98.1,100.6,84.6,96.8,109.5,101.3,107.2,103,93.4,89.1,110,88.3,96.5,92.4,103.1
平成27,2015,平均,Average,98.8,-,100.2,103.3,86,94.2,107.8,101.6,108.1,104.5,94.8,85.2,97,87.9,95,101.5,102.7
平成28,2016,平均,Average,99,-,100.7,102.8,91.7,95.1,110.4,102.6,104.5,106.6,97.8,87.5,84.6,90.8,91,106.3,100.5
平成28,2016,1,Jan.,82,-,81.7,79.2,73.5,84.4,96.4,82,80.6,83.9,79.7,83.2,79.8,70.8,78.1,79.5,89.8
平成28,2016,2,Feb.,78.7,-,81.2,78.7,72.1,75,87.6,78.2,78.6,86.9,74.7,78.1,71.7,72,81.1,75.2,89
平成28,2016,3,Mar.,88.2,-,89.2,86,74,82.4,94.3,89.1,112.5,88.2,86.2,82.1,76.1,76.7,83.8,99.5,92.1
平成28,2016,4,Apr.,83.1,-,84.1,77.6,92.8,76.9,94.1,87.7,82.9,92.3,79.3,87.1,81.3,76.7,83.9,84.3,92.9
平成28,2016,5,May,85.3,-,88.4,77,71.2,80.5,87.6,84.9,125.5,89.8,78.3,81.2,81.2,73,76.6,76,87.9
平成28,2016,6,June,155.7,-,145.3,168.3,167,155.1,168.9,153.7,192.1,175.4,161.6,99.8,105.8,167,124.4,207.5,132.9
平成28,2016,7,July,110.2,-,125.6,133.6,74,95.8,130.7,129.9,85.5,108.4,111.1,108.7,94.5,78.5,101.9,78.6,111
平成28,2016,8,Aug.,79.8,-,87.3,76.5,71.8,75.3,90.6,82,79.3,83.7,88.2,77.4,76.3,65.6,75.5,78.4,88.8
平成28,2016,9,Sept.,80.5,-,79.3,77.4,72.6,79.8,92,81.9,87.5,85.6,77.3,75.8,72.2,70.4,74.8,78.5,89
平成28,2016,10,Oct.,81.1,-,83.4,79.9,74,75.7,92.3,81.9,79.4,88,84,78.9,82.9,72.4,79.8,91.5,91.4
平成28,2016,11,Nov.,84.9,-,98.2,84.1,72.6,88.9,93.3,85,87.4,92.1,79.9,76.8,75.4,72.8,74.2,77.3,91.7
平成28,2016,12,Dec.,178.3,-,164.5,214.7,185,171.5,196.7,195,162.6,204.6,172.8,120.7,118.5,193.8,158.1,249.3,150
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-9  産業別常用労働者名目賃金指数 (現金給与総額) (平成24～28年) 7-9  NOMINAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2012-2016 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成22年平均＝100） (2010 average＝100)  ,,,,,,,,,,,,,,,,,,,,
