年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted 1),生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成23,2011,0,13000,東京都,Tokyo-to,209264,185475,183527,11686,29965,177090,7,5823,556,275528
平成24,2012,0,13000,東京都,Tokyo-to,219415,194473,193503,11832,32882,184304,6,5974,595,287566
平成25,2013,0,13000,東京都,Tokyo-to,225222,198888,199221,11656,35308,190800,7,5920,600,293106
平成26,2014,0,13000,東京都,Tokyo-to,228604,202237,202822,11320,37642,194753,8,5836,581,294877
平成27,2015,0,13000,東京都,Tokyo-to,231184,203003,205486,10817,39701,197454,6,5680,577,295176
平成27,2015,1,13100,区部,All ku,174204,153496,155575,7388,30064,149015,5,3972,446,218419
平成27,2015,2,13101,千代田区,Chiyoda-ku,548,397,396,10,91,478,-,8,1,601
平成27,2015,2,13102,中央区,Chuo-ku,939,758,751,20,174,776,-,14,2,1083
平成27,2015,2,13103,港区,Minato-ku,1964,1694,1664,61,367,1573,-,38,3,2327
平成27,2015,2,13104,新宿区,Shinjuku-ku,9186,8046,7878,192,1301,7424,1,112,26,10559
平成27,2015,2,13105,文京区,Bunkyo-ku,2168,1854,1890,46,397,1790,-,25,7,2484
平成27,2015,2,13106,台東区,Taito-ku,8143,7126,6898,98,1104,6563,0,47,29,8852
平成27,2015,2,13107,墨田区,Sumida-ku,6527,6024,5946,273,1366,6089,0,168,21,8176
平成27,2015,2,13108,江東区,Koto-ku,7805,7034,6943,338,1436,6598,-,204,25,10088
平成27,2015,2,13109,品川区,Shinagawa-ku,4819,4149,4268,135,828,4173,-,72,16,5705
平成27,2015,2,13110,目黒区,Meguro-ku,2490,2145,2133,54,442,2141,-,46,5,2916
平成27,2015,2,13111,大田区,Ota-ku,13456,11624,12177,585,2560,12279,0,286,43,16719
平成27,2015,2,13112,世田谷区,Setagaya-ku,8551,7463,7644,273,1539,6513,0,171,22,10217
平成27,2015,2,13113,渋谷区,Shibuya-ku,2905,2540,2519,45,507,2269,-,28,4,3280
平成27,2015,2,13114,中野区,Nakano-ku,6620,5973,6080,143,1042,6249,-,78,8,7572
