年度末,End of fiscal year,地域階層,地区コード,地域,District,終末処理場数 Sewerage treatment plants,ポンプ所数 Pumping stations,事務所数 Sewerage offices,下水道暗きょ Sewer pipes／総数 Total (m),下水道暗きょ Sewer pipes／幹線 Trunk sewers (m),下水道暗きょ Sewer pipes／枝線 Branch sewers (m),マンホール数 (個) Manholes,汚水枡数 (個) Sewage basins
平成26,2014,0,13000,総数,Tokyo-to,20,86,8,16234410,1326600,14907810,484660,1919017
平成27,2015,0,13000,総数,Tokyo-to,20,86,8,16262099,1330657,14931441,485288,1925686
平成28,2016,0,13000,総数,Tokyo-to,20,86,8,16292813,1335749,14957064,485964,1932891
平成28,2016,1,13100,区部,All ku,13,84,7,16060623,1103559,14957064,484734,1932891
平成28,2016,2,13101,千代田区,Chiyoda-ku,-,2,1,291818,37073,254745,6691,26267
平成28,2016,2,13102,中央区,Chuo-ku,-,7,-,321102,26960,294142,7005,28144
平成28,2016,2,13103,港　区,Minato-ku,1,4,-,466271,56733,409538,11463,41077
平成28,2016,2,13104,新宿区,Shinjuku-ku,1,-,-,487434,34622,452812,14286,62437
平成28,2016,2,13105,文京区,Bunkyo-ku,-,2,-,319888,47950,271938,8809,38499
平成28,2016,2,13106,台東区,Taito-ku,-,2,1,373751,44918,328833,8739,44519
平成28,2016,2,13107,墨田区,Sumida-ku,-,5,-,370985,26915,344070,10371,50029
平成28,2016,2,13108,江東区,Koto-ku,2,20,1,740353,45947,694406,16951,54239
平成28,2016,2,13109,品川区,Shinagawa-ku,-,7,-,450122,34456,415666,13247,68606
平成28,2016,2,13110,目黒区,Meguro-ku,-,-,-,353061,22763,330298,12016,60006
平成28,2016,2,13111,大田区,Ota-ku,1,10,1,1206089,83002,1123087,35831,158249
平成28,2016,2,13112,世田谷区,Setagaya-ku,-,-,-,1596255,105462,1490793,52295,199145
平成28,2016,2,13113,渋谷区,Shibuya-ku,-,-,-,313080,15749,297331,10380,52516
平成28,2016,2,13114,中野区,Nakano-ku,1,-,1,439079,30115,408964,14134,75469
平成28,2016,2,13115,杉並区,Suginami-ku,-,-,-,817552,41911,775641,24455,116333
平成28,2016,2,13116,豊島区,Toshima-ku,-,-,-,397417,27997,369420,13960,69054
平成28,2016,2,13117,北　区,Kita-ku,1,2,1,471928,27613,444315,13973,68509
平成28,2016,2,13118,荒川区,Arakawa-ku,1,3,-,314888,35477,279411,8435,45502
平成28,2016,2,13119,板橋区,Itabashi-ku,1,1,-,800240,63883,736357,26156,107384
平成28,2016,2,13120,練馬区,Nerima-ku,-,-,-,1285900,65256,1220644,43066,159429
平成28,2016,2,13121,足立区,Adachi-ku,2,6,-,2099366,109335,1990031,64223,156021
平成28,2016,2,13122,葛飾区,Katsushika-ku,1,7,1,1019840,53348,966492,33605,116666
平成28,2016,2,13123,江戸川区,Edogawa-ku,1,6,-,1124204,66074,1058130,34643,134791
平成28,2016,2,,流域下水道,Drainage basin sewer system,7,2,1,232190,232190,-,1230,-
,,,,,,,,,,,,,
6-8  地域別下水道施設及び付属設備 （平成26～28年度末） ,,,,,,,,,,,,,
6-8  SEWERAGE FACILITIES AND EQUIPMENT BY DISTRICT ,,,,,,,,,,,,,
( End of Fiscal Years 2014-2016 ) ,,,,,,,,,,,,,
この表は都下水道局の事業実績である。              　　Data here are business figures of the Bureau of Sewerage，TMG.,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課      Source: Bureau of Sewerage， TMG,,,,,,,,,,,,,
