年次,Year,区分階層,項番 Item number,裁判所,Court,総数 Total／新受 Newly received,総数 Total／既済 Disposed,総数 Total／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／未済 Pending,控訴審通常訴訟 Ordinary appeal to court of second instance／新受 Newly received,控訴審通常訴訟 Ordinary appeal to court of second instance／既済 Disposed,控訴審通常訴訟 Ordinary appeal to court of second instance／未済 Pending,再審 Retrial procedure／新受 Newly received,再審 Retrial procedure／既済 Disposed,再審 Retrial procedure／未済 Pending,調停事件 Conciliation cases／新受 Newly received,調停事件 Conciliation cases／既済 Disposed,調停事件 Conciliation cases／未済 Pending,和解 Settlement／新受 Newly received,和解 Settlement／既済 Disposed,和解 Settlement／未済 Pending,督促 Demand for payment／新受 Newly received,督促 Demand for payment／既済 Disposed,督促 Demand for payment／未済 Pending,保全命令 Temporary restraining order／新受 Newly received,保全命令 Temporary restraining order／既済 Disposed,保全命令 Temporary restraining order／未済 Pending,その他の事件 Other cases／新受 Newly received／労働審判 Labor tribunal decisions,その他の事件 Other cases／新受 Newly received／借地非訟 Non-contentious tenancy cases,その他の事件 Other cases／新受 Newly received／強制執行 Compulsory execution,その他の事件 Other cases／新受 Newly received／担保権実行 Exercise of security rights,その他の事件 Other cases／新受 Newly received／破産 Bankruptcy,その他の事件 Other cases／新受 Newly received／会社更生 Company rehabilitation,その他の事件 Other cases／新受 Newly received／公示催告 Public notification,その他の事件 Other cases／新受 Newly received／過料 Noncriminal fines,その他の事件 Other cases／新受 Newly received／その他 Others,その他の事件 Other cases／既済 Disposed,その他の事件 Other cases／未済 Pending
平成27,2015,0,,総数,Total,386853,383033,94137,159070,155447,50106,2787,2779,468,76,80,12,35,36,9,744,802,753,1186,1213,413,44,42,20,6525,6431,1948,417,437,38,84665,84925,1811,5017,5019,266,1129,208,14405,2087,12420,41,222,30273,65502,125822,38293
平成28,2016,0,,総数,Total,432058,439692,86444,167324,167817,49610,2874,2916,426,66,68,10,31,35,5,615,679,689,1030,1134,309,36,43,13,6719,6727,1940,438,446,30,117349,117078,2082,5053,5035,285,1035,222,13674,1870,10817,1,255,26360,76289,137714,31045
平成28,2016,1,,地方裁判所, District courts,117827,123004,54946,47556,47086,26031,-,-,-,-,-,-,27,31,5,615,679,689,1030,1134,309,31,36,11,405,460,280,-,-,-,-,-,-,4481,4469,276,1035,222,13268,1870,10817,1,-,6529,29940,69109,27345
平成28,2016,2,1,東京, Tokyo,105698,110979,47914,44547,44021,24019,-,-,-,-,-,-,27,31,5,615,679,689,1030,1134,309,30,35,10,395,446,277,-,-,-,-,-,-,4261,4256,261,970,205,10490,1319,9496,1,-,5218,27094,60377,22344
平成28,2016,2,2,立川支部, Tachikawa Branch,12129,12025,7032,3009,3065,2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,10,14,3,-,-,-,-,-,-,220,213,15,65,17,2778,551,1321,-,-,1311,2846,8732,5001
平成28,2016,1,,簡易裁判所, Summary courts,314231,316688,31498,119768,120731,23579,2874,2916,426,66,68,10,4,4,-,-,-,-,-,-,-,5,7,2,6314,6267,1660,438,446,30,117349,117078,2082,572,566,9,-,-,406,-,-,-,255,19831,46349,68605,3700
平成28,2016,2,1,東京, Tokyo,296003,298538,29828,115245,116268,22444,2603,2662,354,62,65,9,4,4,-,-,-,-,-,-,-,3,6,-,5609,5608,1397,415,426,26,111776,111516,2031,561,555,9,-,-,401,-,-,-,240,15107,43977,61428,3558
平成28,2016,2,2,八丈島, Hachijojima ,77,76,3,7,5,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,14,14,-,-,-,-,-,-,-,-,-,-,-,51,2,53,-
平成28,2016,2,3,伊豆大島, Izu-oshima ,54,52,2,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,41,3,44,-
平成28,2016,2,4,新島, Niijima,14,14,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,2,3,5,-
平成28,2016,2,5,八王子, Hachioji ,3769,3751,416,1327,1314,314,50,47,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,137,43,6,5,1,1089,1082,23,3,3,-,-,-,1,-,-,-,-,717,447,1163,23
平成28,2016,2,6,立川, Tachikawa,4795,4827,386,1023,1047,263,76,67,22,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,207,209,70,7,5,2,1672,1675,13,3,3,-,-,-,-,-,-,-,7,1091,707,1820,15
平成28,2016,2,7,武蔵野, Musashino,4770,4654,442,1001,942,291,76,62,29,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,198,150,106,2,3,-,1465,1465,-,4,4,-,-,-,1,-,-,-,6,1410,606,2028,15
平成28,2016,2,8,青梅, Ome,2071,2116,159,275,277,65,9,9,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,38,9,6,6,-,431,431,2,1,1,-,-,-,-,-,-,-,1,1062,243,1354,79
平成28,2016,2,9,町田, Machida,2678,2660,262,884,873,198,58,67,5,2,2,-,-,-,-,-,-,-,-,-,-,1,1,1,126,123,34,2,1,1,890,883,13,-,-,-,-,-,3,-,-,-,1,350,361,710,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-2  民事事件の種類，裁判所別件数 （平成27， 28年） 20-2 CIVIL CASES BY KIND AND COURT ( 2015 and 2016 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
