年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
平成26,2014,0,13000,東京都,Tokyo-to,2947406,527390,12728,345535,8441,24350,352,68825,914
平成27,2015,0,13000,東京都,Tokyo-to,3012871,546155,12492,356639,8260,24924,327,70462,876
平成28,2016,0,13000,東京都,Tokyo-to,3057015,557698,12530,339778,8064,68211,1424,71422,856
平成28,2016,1,13100,区部,All ku,2028303,379163,8308,232553,5350,47891,983,44872,527
平成28,2016,2,13101,千代田区,Chiyoda-ku,10914,2189,29,1337,20,332,2,238,3
平成28,2016,2,13102,中央区,Chuo-ku,24030,4526,125,2591,71,690,20,507,6
平成28,2016,2,13103,港区,Minato-ku,43768,8629,187,5279,119,554,20,1070,5
平成28,2016,2,13104,新宿区,Shinjuku-ku,68275,12553,225,7587,142,1623,34,1586,19
平成28,2016,2,13105,文京区,Bunkyo-ku,42946,7886,140,5421,113,1152,26,919,5
平成28,2016,2,13106,台東区,Taito-ku,46462,9106,196,5453,123,1148,21,1058,9
平成28,2016,2,13107,墨田区,Sumida-ku,60872,10797,244,6783,161,1581,36,1502,14
平成28,2016,2,13108,江東区,Koto-ku,109594,17977,452,9871,260,1839,40,2392,50
平成28,2016,2,13109,品川区,Shinagawa-ku,81641,14306,343,9689,234,1626,46,1754,25
平成28,2016,2,13110,目黒区,Meguro-ku,55358,11226,215,7093,149,1471,33,1294,7
平成28,2016,2,13111,大田区,Ota-ku,164140,30558,708,19751,451,4400,74,3020,52
平成28,2016,2,13112,世田谷区,Setagaya-ku,181330,37120,707,23898,476,5242,80,3493,31
平成28,2016,2,13113,渋谷区,Shibuya-ku,43089,8437,190,5030,121,642,23,998,11
平成28,2016,2,13114,中野区,Nakano-ku,68259,13071,218,9429,161,1809,29,1468,11
平成28,2016,2,13115,杉並区,Suginami-ku,118675,23878,442,14656,285,3433,86,2527,23
平成28,2016,2,13116,豊島区,Toshima-ku,58096,11469,211,6838,143,1402,26,1389,6
平成28,2016,2,13117,北区,Kita-ku,88581,17335,380,9650,244,1627,32,2100,22
平成28,2016,2,13118,荒川区,Arakawa-ku,50198,8923,208,5133,120,1086,24,1237,20
平成28,2016,2,13119,板橋区,Itabashi-ku,128464,23029,512,13048,317,2539,52,2931,23
平成28,2016,2,13120,練馬区,Nerima-ku,157800,30981,617,18693,394,4377,87,3791,40
平成28,2016,2,13121,足立区,Adachi-ku,168685,32138,813,19328,514,3288,48,4261,66
平成28,2016,2,13122,葛飾区,Katsushika-ku,112163,20222,467,12580,317,2752,64,2682,31
平成28,2016,2,13123,江戸川区,Edogawa-ku,144963,22807,679,13415,415,3278,80,2655,48
平成28,2016,1,13200,市部,All shi,1002650,174347,4105,104967,2638,19900,435,25476,314
平成28,2016,2,13201,八王子市,Hachioji-shi,143461,25355,552,13283,341,3201,70,3397,41
平成28,2016,2,13202,立川市,Tachikawa-shi,43163,7630,196,4431,127,968,16,1104,12
平成28,2016,2,13203,武蔵野市,Musashino-shi,31922,6073,128,3638,86,747,22,958,7
平成28,2016,2,13204,三鷹市,Mitaka-shi,39823,7147,158,4476,101,924,17,907,13
平成28,2016,2,13205,青梅市,Ome-shi,36554,5240,159,2717,99,417,7,1168,13
平成28,2016,2,13206,府中市,Fuchu-shi,55121,9965,281,6196,186,932,26,1224,19
平成28,2016,2,13207,昭島市,Akishima-shi,28139,4847,121,3003,80,572,12,923,11
平成28,2016,2,13208,調布市,Chofu-shi,49453,9451,178,5906,117,913,16,1225,10
平成28,2016,2,13209,町田市,Machida-shi,110708,19103,423,12868,307,2375,50,2786,27
平成28,2016,2,13210,小金井市,Koganei-shi,25178,4945,103,3150,60,568,7,601,13
平成28,2016,2,13211,小平市,Kodaira-shi,43299,7897,181,4345,103,856,14,1041,15
平成28,2016,2,13212,日野市,Hino-shi,44763,7998,187,4728,118,846,24,1133,16
平成28,2016,2,13213,東村山市,Higashimurayama-shi,38657,7496,190,4237,122,998,21,1154,14
平成28,2016,2,13214,国分寺市,Kokubunji-shi,26615,4893,104,2935,67,645,17,673,5
平成28,2016,2,13215,国立市,Kunitachi-shi,17037,3221,92,1795,52,342,7,448,9
平成28,2016,2,13218,福生市,Fussa-shi,14323,1994,56,1258,37,14,1,466,10
平成28,2016,2,13219,狛江市,Komae-shi,19619,3860,79,2531,51,463,11,451,6
平成28,2016,2,13220,東大和市,Higashiyamato-shi,22312,3620,86,2199,60,101,2,594,7
平成28,2016,2,13221,清瀬市,Kiyose-shi,20427,3893,86,2602,46,431,12,598,8
平成28,2016,2,13222,東久留米市,Higashikurume-shi,32105,5256,101,3373,65,551,12,722,8
平成28,2016,2,13223,武蔵村山市,Musashimurayama-shi,18251,2613,77,1724,56,280,5,451,6
平成28,2016,2,13224,多摩市,Tama-shi,40066,5135,125,3435,86,739,18,727,12
平成28,2016,2,13225,稲城市,Inagi-shi,18268,2401,86,1324,51,303,11,387,5
平成28,2016,2,13227,羽村市,Hamura-shi,13662,1938,47,1059,20,64,3,356,4
平成28,2016,2,13228,あきる野市,Akiruno-shi,22275,3105,88,1686,54,300,9,758,11
平成28,2016,2,13229,西東京市,Nishitokyo-shi,47449,9271,221,6068,146,1350,25,1224,12
平成28,2016,1,13300,郡部,All gun,17067,2511,80,1311,56,213,5,681,11
平成28,2016,1,13350,島部,All islands,8995,1677,37,947,20,207,1,393,4
,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
