年度,Fiscal year,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,養護 Protective care／男 Male,養護 Protective care／女 Female,保健 Health／男 Male,保健 Health／女 Female,肢体不自由 Physical impairment／男 Male,肢体不自由 Physical impairment／女 Female,視聴言語 障害 Visual， auditory， and speech impairments／男 Male,視聴言語 障害 Visual， auditory， and speech impairments／女 Female,知的障害 Intellectual impairment／男 Male,知的障害 Intellectual impairment／女 Female,重症心身障害 Severe motor and intellectual impairments／男 Male,重症心身障害 Severe motor and intellectual impairments／女 Female,発達障害 Developmental impairment／男 Male 1),発達障害 Developmental impairment／女 Female 1),ぐ犯 Pre-delinquency／男 Male,ぐ犯 Pre-delinquency／女 Female,触法行為 Illegal behavior／男 Male,触法行為 Illegal behavior／女 Female,不登校 Truancy／男 Male,不登校 Truancy／女 Female,性格行動 Character／ behavioral problems／男 Male,性格行動 Character／ behavioral problems／女 Female,適性 Academic issues／男 Male,適性 Academic issues／女 Female,しつけ Disciplinary issues／男 Male,しつけ Disciplinary issues／女 Female,その他 Others／男 Male,その他 Others／女 Female
平成23,2011,25154,14852,10302,3928,3576,434,317,86,60,23,17,3610,1779,71,68,224,49,713,395,373,113,387,337,1593,1051,641,475,471,286,2298,1779
平成24,2012,26113,15384,10729,4174,3786,356,296,65,58,4,4,3677,1666,21,14,232,63,763,378,416,65,400,240,1776,1143,630,446,587,395,2283,2175
平成25,2013,26627,15524,11103,5790,5619,340,248,73,67,15,5,3557,1763,21,28,201,53,703,385,390,75,259,215,1864,988,563,339,474,297,1274,1021
平成26,2014,31761,18608,13153,8340,7142,398,282,78,77,21,6,3659,1728,30,36,204,66,787,350,397,73,330,230,1845,1416,613,396,488,345,1418,1006
平成27,2015,34614,20156,14458,9981,8404,373,267,73,81,17,6,3595,1682,36,34,168,68,808,411,442,93,310,237,1719,1364,650,312,473,429,1511,1070
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-6  児童相談所の相談受付状況 (平成23～27年度）18-6  CASES ASSUMED BY CHILD GUIDANCE OFFICES ( Fiscal Years 2011-2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 平成26年度までは，自閉症の相談受付件数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Number of consultation cases for autism up to FY2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
