年度,Fiscal year,徴収決定額 Premium decided,収納済額 Premium received,不納欠損額 Deficit from uncollectable accounts,収納未済額 Premium unreceived,雇用保険印紙売上金 Sales of revenue stamps,受給者実人員 Beneficiaries,支給金額 Benefits paid
平成24,2012,10,10,-,-,179645,2267,1096528
平成25,2013,4,4,-,-,182908,2289,1068753
平成26,2014,9,9,-,-,191099,2351,1074616
平成27,2015,478,476,-,2,194004,2362,1077540
平成28,2016,355,355,-,-,191779,2254,986493
,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　7  労働 7  LABOR,,,,,,,,
7-5  雇用保険 (日雇) 徴収及び支給状況 (平成24～28年度) 7-5  COLLECTION AND PAYMENT OF  EMPLOYMENT INSURANCE (DAY LABORERS) ( Fiscal Years 2012-2016 ),,,,,,,,
注) 「受給者実人員」は月平均である。「支給金額」以外の金額については，単位未満を切り捨ててある。,,,,,,,,
Note: “Beneficiaries” refer to monthly average. Without “Amount of benefits”，fractional sum less than a thousand yen is discarded.,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau          ,,,,,,,,
（単位　金額　千円）(In thousands of yen),,,,,,,,
