年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成24,2012,総数,Total,,,406.8,373,32012234,19982170,12030063
平成25,2013,総数,Total,,,406.8,373,32744315,20572638,12171675
平成26,2014,総数,Total,,,406.8,373,32627385,20465914,12161471
平成27,2015,総数,Total,,,406.8,373,33388283,20959882,12428401
平成28,2016,総数,Total,,,406.8,373,33780108,21255283,12524827
平成28,2016,小田急電鉄,Odakyu Electric Railway,,,26.5,23,4904932,3138770,1766162
平成28,2016,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,4785117,3056020,1729097
平成28,2016,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,119815,82750,37065
平成28,2016,西武鉄道,Seibu Railway,,,93.4,71,6910405,4628693,2281712
平成28,2016,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,3247343,2159799,1087544
平成28,2016,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,123990,80586,43404
平成28,2016,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,5103,2677,2426
平成28,2016,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,222,58,164
平成28,2016,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2864473,1946747,917726
平成28,2016,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,338270,221840,116430
平成28,2016,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,3435,1716,1719
平成28,2016,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,190678,131864,58814
平成28,2016,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,76863,44774,32089
平成28,2016,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,60028,38632,21396
平成28,2016,東京急行電鉄,Tokyu Corporation,,,60,75,5923160,3807040,2116120
平成28,2016,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1810101,1092987,717113
平成28,2016,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,539941,351140,188801
平成28,2016,東京急行電鉄,Tokyu Corporation,田園都市線,Den-En-Toshi Line,11.8,10,2199546,1508046,691500
平成28,2016,東京急行電鉄,Tokyu Corporation,大井町線,Oimachi Line,10.4,15,787993,483430,304562
平成28,2016,東京急行電鉄,Tokyu Corporation,池上線,Ikegami Line,10.9,15,355377,228306,127071
平成28,2016,東京急行電鉄,Tokyu Corporation,東急多摩川線,Tokyu Tamagawa Line,5.6,7,180988,117160,63828
平成28,2016,東京急行電鉄,Tokyu Corporation,世田谷線,Setagaya Line,5,10,49215,25970,23244
平成28,2016,京浜急行電鉄,Keikyu Corporation,,,18.3,20,1938029,1010006,928023
平成28,2016,京浜急行電鉄,Keikyu Corporation,本線,Main Line,11.8,14,1644454,934553,709901
平成28,2016,京浜急行電鉄,Keikyu Corporation,空港線,Airport Line,6.5,6,293575,75453,218122
平成28,2016,京王電鉄,Keio Corporation,,,77.6,66,7307670,4577046,2730624
平成28,2016,京王電鉄,Keio Corporation,京王線,Keio Line,64.9,50,6177443,3905165,2272278
平成28,2016,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,12.7,17,1130227,671881,458346
平成28,2016,京成電鉄,Keisei Electric Railway,,,23.9,19,1242318,734900,507418
平成28,2016,京成電鉄,Keisei Electric Railway,本線,Main Line,15.7,12,812708,444119,368589
平成28,2016,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,5.7,6,404373,274838,129535
平成28,2016,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,2.5,3,25237,15943,9294
平成28,2016,東武鉄道,Tobu Railway ,,,28.2,28,3055059,2062367,992692
平成28,2016,東武鉄道,Tobu Railway ,東武ｽｶｲﾂﾘｰﾗｲﾝ,Tobu Skytree Line,13.4,13,1460221,988144,472077
平成28,2016,東武鉄道,Tobu Railway ,大師線,Daishi Line,1,2,5109,3302,1807
平成28,2016,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,3.4,5,31097,19342,11755
平成28,2016,東武鉄道,Tobu Railway ,東上線,Tojo Line,10.4,10,1558632,1051579,507053
平成28,2016,北総鉄道,Hokuso Railway,,,2,2,29896,21671,8225
平成28,2016,北総鉄道,Hokuso Railway,北総線,Hokuso Line,2,2,29896,21671,8225
平成28,2016,高尾登山電鉄,Takao Tozan Railway,,,1.9,4,2155,19,2136
平成28,2016,高尾登山電鉄,Takao Tozan Railway,清滝高尾山,Kiyotaki-Takaosan,1,2,1385,19,1366
平成28,2016,高尾登山電鉄,Takao Tozan Railway,リフト,Chair Lift,0.9,2,770,-,770
平成28,2016,東京モノレール,Tokyo Monorail,,,17.8,11,523208,152170,371039
平成28,2016,御岳登山鉄道,Mitake Tozan Railway,,,1.1,4,519,3,516
平成28,2016,御岳登山鉄道,Mitake Tozan Railway,滝本御岳山,Takimoto-Mitakesan,1,2,457,3,454
平成28,2016,御岳登山鉄道,Mitake Tozan Railway,リフト,Chair Lift,0.1,2,62,-,62
平成28,2016,ゆりかもめ,Yurikamome Inc. ,,,14.7,16,249805,57130,192675
平成28,2016,東京臨海高速鉄道,Tokyo Waterfront Area Rapid TransitInc.,,,12.2,8,518590,263862,254728
平成28,2016,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,16,19,261766,167712,94054
平成28,2016,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,13.2,7,912596,633894,278703
,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,
4-12　私鉄の運輸成績 (平成24～28年度) 4-12 TRANSPORTATION BY PRIVATE RAILWAYS ( Fiscal Years 2012-2016 ),,,,,,,,,,
この表は東京都内分である。,,,,,,,,,,
Figures refer only to Tokyo Metropolis.,,,,,,,,,,
注) 乗換駅を重複して数えているので， 会社別の駅数と路線別の駅の合計とは必ずしも一致しない。,,,,,,,,,,
Note: Since transit stations are counted in duplicate， the total number of stations by company and by line are not always the same.,,,,,,,,,,
資料：私鉄各社 Source: Private railway companies,,,,,,,,,,
