年度,Fiscal year,個人保険 Individual Insurance／件数 Number,個人保険 Individual Insurance／金額 Value,団体保険 Group Insurance／被保険者数 Persons insured,団体保険 Group Insurance／金額 Value,個人年金保険 Individual Annuity Insurance／件数 Number,個人年金保険 Individual Annuity Insurance／金額 Value
平成24,2012,452667,3932730,-,-,4033,23342
平成25,2013,425157,3579078,-,-,3573,29574
平成26,2014,400465,3594775,-,-,2628,15379
平成27,2015,368733,3124791,-,-,1699,13660
平成28,2016,342184,2712824,-,-,1656,10809
,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　15  金融 15  FINANCE,,,,,,,
15-4  生命保険会社契約高 (2) 転換契約 (平成24～28年度) 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (2) CONVERTED POLICIES ( Fiscal Years 2012-2016 ),,,,,,,
資料：（一社）生命保険協会 「生命保険事業概況」（ホームページ） Source: The Life Insurance Association of Japan,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,
