事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
0,平成27年,2015,5147,1538,81130,77718,3609,223413,185411
1,保護施設,Public assistance facilities,36,-,-,-,36,2161,2112
2,救護施設,Relief facilities,10,-,-,-,10,911,981
2,更生施設,Rehabilitation facilities,10,-,-,-,10,790,863
2,医療保護施設,Medical facilities for persons requiring public assistance,10,-,…,…,10,…,…
2,授産施設（生活保護法）,Vocational facilities (Public Assistance Act),-,-,-,-,-,-,-
2,宿所提供施設（生活保護法）,Facilities providing accommodation (Public Assistance Act),6,-,-,-,6,460,268
1,老人福祉施設,Welfare facilities for the elderly,327,116,27,-,211,7022,6657
2,養護老人ホーム(一般）,Nursing homes (general),33,1,27,-,32,3371,3285
2,養護老人ホーム(盲),Nursing homes (visually impaired),1,-,-,-,1,100,99
2,軽費老人ホーム（A型),Low-cost homes (type A),8,-,-,-,8,600,547
2,軽費老人ホーム（B型),Low-cost homes (type B),2,-,-,-,2,100,59
2,軽費老人ホーム （ケアハウス）,Low-cost homes (care house),42,-,-,-,42,2057,1951
2,都市型軽費老人ホーム,Urban-style low-cost homes ,47,-,-,-,47,794,716
2,老人福祉センター（特A型）,Welfare centers (special type A),-,-,…,…,-,-,-
2,老人福祉センター（A型),Welfare centers (type A),70,29,…,…,41,…,…
2,老人福祉センター（B型),Welfare centers (type B),124,86,…,…,38,…,…
1,障害者支援施設等,Support facilities for persons with impairments， etc.,274,11,206,-,263,8118,5383
2,障害者支援施設,Support facilities  ,88,-,-,-,88,4728,5241
2,地域活動支援センター,Local activity support centers,172,11,206,…,161,3229,…
2,福祉ホーム,Group homes ,14,-,-,-,14,161,142
1,身体障害者社会参加支援施設,Support facilities for social participation of  persons with physical impairments,23,6,-,…,17,-,…
2,身体障害者福祉センター（Ａ型）,Welfare centers (type A),2,-,…,…,2,…,…
2,身体障害者福祉センター（Ｂ型）,Welfare centers (type B),6,4,…,…,2,…,…
2,障害者更生センター,Recreation and rehabilitation centers ,-,-,-,…,-,-,…
2,補装具製作施設,Prosthetic device making facilities,2,-,…,…,2,…,…
2,盲導犬訓練施設,Training facilities for guide dogs,1,-,…,…,1,…,…
2,点字図書館,Braille libraries,6,2,…,…,4,…,…
2,点字出版施設,Braille publishing facilities,5,-,…,…,5,…,…
2,聴覚障害者情報提供施設,Resource centers for persons with hearing impairments,1,-,…,…,1,…,…
1,婦人保護施設,Women's shelters,5,-,-,-,5,230,79
1,児童福祉施設等,Child welfare facilities， etc.,3322,1403,80868,77709,1919,149071,136788
2,助産施設,Midwifery homes,39,12,214,…,27,359,…
2,乳児院,Infant homes,10,-,-,-,10,507,416
2,母子生活支援施設 3),Living support facilities for single-mother families 3),34,-,-,-,34,680,1287
2,保育所等,Day care centers， etc.,2211,768,79425,76138,1443,139574,129142
2,小規模保育事業所,Small group day-care service,220,-,-,-,220,3417,3042
2,児童養護施設,Foster homes,55,-,-,-,55,2961,2687
2,障害児入所施設（福祉型）,Facilities for children with impairments (welfare type),9,-,-,-,9,620,321
2,障害児入所施設（医療型）,Facilities for children with impairments (medical care type),13,4,345,3,9,1087,552
2,児童発達支援センター（福祉型）,Child development support centers (welfare type),26,12,487,1314,14,511,621
2,児童発達支援センター（医療型）,Child development support centers (medical care type),5,4,145,98,1,35,7
2,情緒障害児短期治療施設,Short-term rehabilitation homes for children with emotional disorders,-,-,-,-,-,-,-
2,児童自立支援施設,Children's self-reliance support facilities,2,2,252,156,-,-,-
2,児童家庭支援センター,Child and family support centers,-,-,…,…,-,…,…
2,小型児童館,Child centers (small size),384,334,…,…,50,…,…
2,児童センター,Child centers,225,178,…,…,47,…,…
2,大型児童館A型,Large child centers type A,-,-,…,…,-,…,…
2,大型児童館B型,Large child centers type B,-,-,…,…,-,…,…
