年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成24,2012,平均,Average,99.4,82.2,100.4,100.5,92.5,103,102,99.7,98.7,94.3,102.1,101.1,112.5,92.2,99.9,83,96.8
平成25,2013,平均,Average,99.7,46.8,99.9,99,88,100.8,107.2,101.7,104.5,97.9,95.5,94.3,115.3,93.9,98.5,94,98.6
平成26,2014,平均,Average,97.1,15.3,96,98.4,82.8,94.7,107.1,99.1,104.9,100.8,91.4,87.2,107.6,86.4,94.4,90.4,100.9
平成27,2015,平均,Average,95.7,-,97.1,100.1,83.3,91.3,104.5,98.4,104.7,101.3,91.9,82.6,94,85.2,92.1,98.4,99.5
平成28,2016,平均,Average,96.1,-,97.8,99.8,89,92.3,107.2,99.6,101.5,103.5,95,85,82.1,88.2,88.3,103.2,97.6
平成28,2016,1,Jan.,80.2,-,79.9,77.4,71.8,82.5,94.2,80.2,78.8,82,77.9,81.3,78,69.2,76.3,77.7,87.8
平成28,2016,2,Feb.,76.6,-,79,76.6,70.1,73,85.2,76.1,76.5,84.5,72.7,76,69.7,70,78.9,73.2,86.6
平成28,2016,3,Mar.,85.5,-,86.5,83.4,71.8,79.9,91.5,86.4,109.1,85.5,83.6,79.6,73.8,74.4,81.3,96.5,89.3
平成28,2016,4,Apr.,80.5,-,81.5,75.2,89.9,74.5,91.2,85,80.3,89.4,76.8,84.4,78.8,74.3,81.3,81.7,90
平成28,2016,5,May,82.7,-,85.7,74.6,69,78,84.9,82.3,121.6,87,75.9,78.7,78.7,70.7,74.2,73.6,85.2
平成28,2016,6,June,151.5,-,141.3,163.7,162.5,150.9,164.3,149.5,186.9,170.6,157.2,97.1,102.9,162.5,121,201.8,129.3
平成28,2016,7,July,107.4,-,122.4,130.2,72.1,93.4,127.4,126.6,83.3,105.7,108.3,105.9,92.1,76.5,99.3,76.6,108.2
平成28,2016,8,Aug.,77.6,-,84.9,74.4,69.8,73.2,88.1,79.8,77.1,81.4,85.8,75.3,74.2,63.8,73.4,76.3,86.4
平成28,2016,9,Sept.,78.4,-,77.2,75.4,70.7,77.7,89.6,79.7,85.2,83.3,75.3,73.8,70.3,68.5,72.8,76.4,86.7
平成28,2016,10,Oct.,78.4,-,80.6,77.2,71.5,73.1,89.2,79.1,76.7,85,81.2,76.2,80.1,70,77.1,88.4,88.3
平成28,2016,11,Nov.,82.1,-,95,81.3,70.2,86,90.2,82.2,84.5,89.1,77.3,74.3,72.9,70.4,71.8,74.8,88.7
平成28,2016,12,Dec.,172.9,-,159.6,208.2,179.4,166.3,190.8,189.1,157.7,198.4,167.6,117.1,114.9,188,153.3,241.8,145.5
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-10  産業別常用労働者実質賃金指数 (現金給与総額)  (平成24～28年) 7-10  REAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2012-2016 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
 （平成22年平均＝100）   (2010 average＝100)  ,,,,,,,,,,,,,,,,,,,,
