税目階層,税目,Tax item,平成24年度 FY 2012,平成25年度 FY 2013,平成26年度 FY 2014,平成27年度 FY 2015,平成28年度 FY 2016
0,総額,Total,4247147,4491049,4739939,5183569,5236011
1,現年課税分,Current-year taxes,4213790,4459780,4711391,5154066,5211281
2,都民税,Metropolitan inhabitant tax,1557825,1687396,1802681,1769249,1718754
3,個人,For individuals,746278,805246,844743,863542,862977
3,法人,For corporations,773857,839978,913961,869373,847654
3,利子割,For interest income ,37690,42171,43977,36334,8123
2,事業税,Business tax,616903,727956,775874,940893,1092892
3,個人,For individuals,47411,47606,47947,48774,49902
3,法人,For corporations,569492,680350,727927,892119,1042990
2,地方消費税,Local consumption tax,351931,348932,422696,700423,632652
2,不動産取得税,Real estate acquisition tax,65923,72878,75949,76265,81047
2,都たばこ税,Prefectural tobacco tax,33792,20088,18134,17858,17244
2,ゴルフ場利用税,Golf course utilization tax,630,620,626,644,652
2,自動車取得税,Automobile acquisition tax,20225,18968,9177,13835,14347
2,軽油引取税,Gas oil delivery tax,39970,40380,39575,39328,39295
2,自動車税,Motor vehicle tax,109387,108175,106381,105253,104345
2,鉱区税,Mine production tax,2,2,2,2,2
2,固定資産税,Fixed assets tax,1106913,1120226,1140259,1162855,1177680
2,特別土地保有税,Special land possession tax,-,19,7,1,-
2,狩猟税,Hunting tax,5,5,5,4,4
2,事業所税,Establishment tax,95507,96532,98345,100851,102554
2,都市計画税,City planning tax,213706,216289,220056,224526,227595
2,宿泊税,Accommodation tax,1070,1315,1624,2076,2217
2,旧法による税,Taxes based on former laws,0,-,-,-,-
1,滞納繰越分,Arrears brought forward,33357,31269,28549,29503,24731
,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-7  都税収入済額 (1) 税目別 (平成24～平成28年度)21-7  METROPOLITAN TAXES COLLECTED (1) BY TAX ITEM ( Fiscal Years 2012-2016 ) ,,,,,,,
この表の税額は，各年度とも決算額（還付未済額を含む。）による。 ,,,,,,,
Each fiscal year's tax amounts noted in this table are based on the settlement (including unpaid refunds).,,,,,,,
資料：都主税局税制部歳入課 Source: Bureau of Taxation， TMG,,,,,,,
税目階層（0:総額　1:現年課税分・滞納繰越分　2:税目　3:個人・法人・利子割）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
