年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
平成23,2011,0,13000,東京都,Tokyo-to,465928,26731,20523,2421,1901,11932,11932,72261
平成24,2012,0,13000,東京都,Tokyo-to,471833,27299,22335,2728,1787,13683,13683,74971
平成25,2013,0,13000,東京都,Tokyo-to,479527,27528,21385,2814,1264,12235,12234,77633
平成26,2014,0,13000,東京都,Tokyo-to,482223,23484,22099,2845,1535,12555,12555,80369
平成27,2015,0,13000,東京都,Tokyo-to,480798,21835,21418,2837,1673,11618,11583,82999
平成27,2015,1,13100,区部,All ku,332339,14895,15233,1990,1210,8393,8525,52363
平成27,2015,2,13101,千代田区,Chiyoda-ku,2413,89,28,11,9,48,55,206
平成27,2015,2,13102,中央区,Chuo-ku,3220,213,198,47,18,153,123,453
平成27,2015,2,13103,港区,Minato-ku,7472,318,277,56,40,218,227,907
平成27,2015,2,13104,新宿区,Shinjuku-ku,13569,567,549,92,42,360,388,1520
平成27,2015,2,13105,文京区,Bunkyo-ku,6389,297,253,57,26,153,164,933
平成27,2015,2,13106,台東区,Taito-ku,9695,363,908,50,17,239,255,946
平成27,2015,2,13107,墨田区,Sumida-ku,9231,452,558,63,46,253,261,1620
平成27,2015,2,13108,江東区,Koto-ku,18706,805,795,118,82,449,441,3009
平成27,2015,2,13109,品川区,Shinagawa-ku,14277,604,568,78,42,310,317,1901
平成27,2015,2,13110,目黒区,Meguro-ku,7694,358,362,36,20,159,195,1224
平成27,2015,2,13111,大田区,Ota-ku,27730,1250,1355,150,83,597,588,4158
平成27,2015,2,13112,世田谷区,Setagaya-ku,24766,1260,1227,178,75,685,713,4188
平成27,2015,2,13113,渋谷区,Shibuya-ku,6751,314,284,42,31,208,227,860
平成27,2015,2,13114,中野区,Nakano-ku,10234,566,513,82,40,284,312,1450
平成27,2015,2,13115,杉並区,Suginami-ku,16332,766,762,94,55,351,416,2500
平成27,2015,2,13116,豊島区,Toshima-ku,10060,424,484,62,41,277,281,1240
平成27,2015,2,13117,北区,Kita-ku,17358,661,730,62,54,332,360,2326
平成27,2015,2,13118,荒川区,Arakawa-ku,9595,412,440,38,35,228,216,1254
平成27,2015,2,13119,板橋区,Itabashi-ku,21105,904,937,108,94,549,512,3677
平成27,2015,2,13120,練馬区,Nerima-ku,23624,1090,992,139,87,613,615,4658
平成27,2015,2,13121,足立区,Adachi-ku,29959,1351,1333,160,110,839,780,5302
平成27,2015,2,13122,葛飾区,Katsushika-ku,17595,770,845,112,61,438,441,3209
平成27,2015,2,13123,江戸川区,Edogawa-ku,24564,1061,835,155,102,650,638,4822
平成27,2015,1,13200,市部,All shi,143966,6749,5985,831,450,3115,2982,29831
平成27,2015,2,13201,八王子市,Hachioji-shi,15474,892,866,86,80,140,118,4229
平成27,2015,2,13202,立川市,Tachikawa-shi,7162,301,316,38,24,196,197,1428
平成27,2015,2,13203,武蔵野市,Musashino-shi,4233,211,214,26,11,104,127,1120
平成27,2015,2,13204,三鷹市,Mitaka-shi,5712,315,196,31,21,157,149,1123
平成27,2015,2,13205,青梅市,Ome-shi,6192,275,207,29,17,221,140,1064
平成27,2015,2,13206,府中市,Fuchu-shi,8502,394,377,38,24,221,232,1791
平成27,2015,2,13207,昭島市,Akishima-shi,3986,201,224,19,11,106,115,883
平成27,2015,2,13208,調布市,Chofu-shi,8274,328,219,43,24,183,180,1409
平成27,2015,2,13209,町田市,Machida-shi,15698,673,602,131,30,284,285,3397
平成27,2015,2,13210,小金井市,Koganei-shi,3199,190,190,18,12,59,79,663
平成27,2015,2,13211,小平市,Kodaira-shi,6376,290,245,39,17,172,167,1370
平成27,2015,2,13212,日野市,Hino-shi,6062,299,213,39,18,129,118,1232
平成27,2015,2,13213,東村山市,Higashimurayama-shi,7249,258,246,28,23,132,102,1253
平成27,2015,2,13214,国分寺市,Kokubunji-shi,3681,176,120,26,13,54,80,740
平成27,2015,2,13215,国立市,Kunitachi-shi,2512,100,97,22,11,69,68,520
平成27,2015,2,13218,福生市,Fussa-shi,2210,97,72,10,5,59,66,394
平成27,2015,2,13219,狛江市,Komae-shi,2819,137,97,21,9,53,55,449
平成27,2015,2,13220,東大和市,Higashiyamato-shi,3213,158,190,20,5,83,71,640
平成27,2015,2,13221,清瀬市,Kiyose-shi,4338,151,167,23,13,58,59,611
平成27,2015,2,13222,東久留米市,Higashikurume-shi,4745,220,71,27,16,76,59,936
平成27,2015,2,13223,武蔵村山市,Musashimurayama-shi,3145,132,233,12,6,102,95,643
平成27,2015,2,13224,多摩市,Tama-shi,4980,232,239,35,19,138,125,1017
平成27,2015,2,13225,稲城市,Inagi-shi,2703,135,68,28,12,57,45,498
平成27,2015,2,13227,羽村市,Hamura-shi,1800,80,72,6,7,44,42,448
平成27,2015,2,13228,あきる野市,Akiruno-shi,2792,158,121,12,4,85,74,681
平成27,2015,2,13229,西東京市,Nishitokyo-shi,6909,346,323,24,18,133,134,1292
