区分階層,区分,Section,総数 Total,事務 Administrative employees,技術 Technically skilled employees,医療福祉 Health and welfare employees,技能労務 Public field worker
0,総数,Total,38128,14536,8765,8514,6313
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,24192,10977,4221,8487,507
2,政策企画局,Office of the Governor for Policy Planning,120,117,3,-,-
2,総務局,Bureau of General Affairs,2461,2241,185,1,34
2,財務局,Bureau of Finance,434,253,174,-,7
2,主税局,Bureau of Taxation,2923,2922,1,-,-
2,生活文化局　　　　　,Bureau of Citizens and Cultural affairs      ,390,327,61,-,2
2,オリンピック・パラリンピック準備局,Bureau of Tokyo 2020 Olympic and Paralympic Games Preparation,228,193,35,-,-
2,都市整備局,Bureau of Urban Development          ,1146,467,679,-,-
2,環境局,Bureau of Environment,474,235,234,-,5
2,福祉保健局,Bureau of Social Welfare and Public Health,4112,1513,463,2069,67
2,産業労働局,Bureau of Industrial and Labor Affairs ,1224,706,477,10,31
2,建設局,Bureau of Construction,2395,906,1453,-,36
2,港湾局,Bureau of Port and Harbor,622,254,325,-,43
2,会計管理局,Bureau of Accounting,115,115,-,-,-
2,青少年・治安対策本部,Office for Youth Affairs and Public Safety,44,43,1,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6812,386,6,6407,13
2,中央卸売市場,Central Wholesale Market,624,233,122,-,269
2,収用委員会,Secretariat to Expropriation Commission,30,28,2,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
2,公営企業体,Public Enterprises,12938,2659,4490,5,5784
2,交通局,Bureau of Transportation,6556,617,547,5,5387
1,水道局,Bureau of Waterworks,3863,1567,1994,-,302
2,下水道局,Bureau of Sewerage,2519,475,1949,-,95
2,行政委員会事務局,Executive Offices of Administrative Commission ,850,774,54,22,-
2,教育委員会,Board of Education ,668,618,28,22,-
1,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,63,56,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (平成28年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) TOKYO METROPOLITAN GOVERNMENT ( Apr. 1， 2016 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
