年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成24,2012,平均,Average,99.6,109.4,97.5,99.9,95.6,99.7,100.4,98,98.6,101.6,103.9,98.4,94.2,100,104.8,99.4,99.2
平成25,2013,平均,Average,99.5,103,98.4,98.6,68.7,98.6,99.1,94.3,98.4,100.4,114.4,101.9,94.3,103.2,106.9,93.1,100.5
平成26,2014,平均,Average,100.5,113.9,98.3,97.9,58.3,99.9,98.6,93.8,97.9,101.3,126,102.5,96.2,105.3,108,93.4,103.3
平成27,2015,平均,Average,100.2,-,99,89.6,51.9,100.3,100.6,93.7,98.2,101.7,130.5,93.2,97.8,107.9,109.8,94.7,106.5
平成28,2016,平均,Average,101.1,-,100.2,91.1,42,101.2,100.6,93.5,100.4,102.9,136.2,92.9,101.1,108.5,111.3,93.7,106.8
平成28,2016,1,Jan.,100.1,-,99.2,91.4,42.1,100.1,100.7,93.1,98.5,101,132.9,92.7,97,108,109.5,93.7,105.1
平成28,2016,2,Feb.,100.1,-,99.3,91.9,41.8,100.1,101.1,92.9,98.3,100.8,132.9,93.4,96.7,106.8,109.1,94.4,105.9
平成28,2016,3,Mar.,99.8,-,99.5,92,41.5,99.8,100.7,92.7,97.8,101.2,134.5,92.5,101.4,102.8,108.7,91.2,105.7
平成28,2016,4,Apr.,102.1,-,101.6,93.4,43.2,103,102.7,93.7,101.1,104.6,137.6,91.7,101.4,106.4,113.1,92.9,108.7
平成28,2016,5,May,101.8,-,101,92.7,42.5,102.2,101,93.8,101.4,103.9,137.1,92.4,102.1,108.7,113,92.9,107.6
平成28,2016,6,June,101.8,-,100.8,91.3,42.2,102.3,101.1,93.8,101.3,104.1,136.7,93,103.5,110,112.6,93.7,107.5
平成28,2016,7,July,101.3,-,101,90.6,41.6,101.2,100.8,93.7,101.2,103.4,136.4,92.9,103.5,109.6,111.8,93.7,106.9
平成28,2016,8,Aug.,100.9,-,100.6,90.9,41.4,100.9,100.2,93.5,101.2,103.1,137.4,92.5,102.7,104.7,111.2,93.8,106.9
平成28,2016,9,Sept.,101.3,-,100.2,91.2,41.5,100.8,99.9,93.7,100.8,102.9,137.7,92.6,103.3,110.1,111.4,93.8,106.9
平成28,2016,10,Oct.,101,-,99.6,88.7,41.5,101.5,99.6,93.7,100.9,103,137.2,93.2,101.8,111.3,111.6,91.8,106.5
平成28,2016,11,Nov.,101.2,-,99.7,89.2,41.5,101.4,99.7,93.8,100.9,103.1,137.1,93.8,100.6,111.6,111.7,96,106.9
平成28,2016,12,Dec.,101.2,-,99.3,90.4,42.8,101.3,99.7,93.6,101.2,103.2,137.2,93.9,99.3,111.9,111.7,96,106.4
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-12  産業別常用労働者雇用指数 (平成24～28年) 7-12  EMPLOYMENT INDICES OF REGULAR WORKERS BY INDUSTRY ( 2012-2016 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成22年平均＝100） (2010 average＝100),,,,,,,,,,,,,,,,,,,,
