施設名,住所,電話番号,電話問合せ時間,休館日,レクチャーアンプまたはポータブルアンプ,テレビ,ＤＶＤ,ＣＤ,プロジェクター,ＡＥＤ,舞台,誰でもトイレ
市民会館 （萌え木ホール）,東京都小金井市前原町3-33-25,042-385-5116,9：00～21：30,第2・第4　火曜日,〇,〇,〇,〇,〇,〇,,〇
東小金井駅開設記念会館（マロンホール）,東京都小金井市東町3-７-21,0422-30-0660,9：00～21：30,第2・第4　木曜日,〇,〇,〇,〇,〇,〇,〇,〇
前原暫定集会施設,東京都小金井市前原町3-33-27,042-387-9810,9：00～21：30,第2・第4　月曜日,〇,,,〇,〇,,,〇
婦人会館,東京都小金井市梶野町5-10-32,042-383-1137,9：00～21：30,第2・第4　月曜日,〇,〇,〇,〇,〇,〇,,〇
上之原会館,東京都小金井市本町5-6-19,042-381-9911,9：00～21：30,第2・第4　月曜日,〇,〇,〇,〇,〇,〇,,〇
前原町西之台会館,東京都小金井市前原町3-8-1,042-385-9563,9：00～21：30,第2・第4　水曜日,〇,〇,〇,〇,〇,〇,,〇
桜町上水会館,東京都小金井市桜町2-8-13,042-385-7355,9：00～21：30,第2・第4　水曜日,〇,〇,〇,〇,〇,〇,,〇
貫井北町集会場,東京都小金井市貫井北町3-31-17,042-322-3472,9：00～17：00,水曜日,,〇,〇,,,〇,,
貫井北町中之久保集会所,東京都小金井市貫井北町1-18-21,042-387-0245,9：00～17：00,月曜日,,〇,〇,,,〇,,
前原町丸山台集会所,東京都小金井市前原町4-18-14,042-385-9274,9：00～17：00,月曜日,,〇,〇,,,〇,,
貫井南町三楽集会所,東京都小金井市貫井南町3-6-18,042-385-3879,9：00～17：00,水曜日,〇,〇,〇,,,〇,,〇
東町友愛会館,東京都小金井市東町4-10-2,042-384-1532,9：00～17：00,月曜日,〇,〇,〇,,,〇,〇,〇
中町桜並集会所,東京都小金井市中町3-19-12,042-381-7199,9：00～17：00,月曜日,〇,,,,,〇,,〇
貫井北五集会所,東京都小金井市貫井北町5-16-13,042-323-2615,9：00～17：00,月曜日,〇,〇,〇,,,〇,,〇
中町天神前集会所,東京都小金井市中町1-7-7,042-383-8773,9：00～17：00,水曜日,〇,〇,〇,,,〇,,〇
東町集会所(東ｾﾝﾀｰ内),東京都小金井市東町1-39-1,042-384-4422,9：00～21：30,第1・第3　火曜日,〇,〇,〇,,,〇,,〇
