自動体外式除細動器（ＡＥＤ）設置場所について,,,,,,,
令和4年9月22日,,,,,,,現在
№,設　　置　　施　　設,設　置　場　所　,所 管 課,機種名（リース及び委託先・指定管理者調達を除く）,"納品年月日／
リース期間","パッド交換
年月日",台数
1,総合体育館,1階ロビー,生涯学習課スポーツ振興係,日本光電 AED-2150,H31.2.19,R3.5,1
2,市役所本庁舎,1階施設管理室,管財課,,H30.6.1～H35.5.31,賃貸借（交換付）,1
3,市役所第二庁舎,1階受付（広聴係執務室）,広報秘書課,フィリップス FRx+e,R2.7.31,R4.5.25,1
4,小金井市福祉共同作業所,1階事務室,自立生活支援課,,R2.7.1～R7.6.30,リース（保守含む）,1
5,障害者福祉センター,1階事務室,自立生活支援課,,R2.10.1,,1
6,本町高齢者在宅サービスセンター,1階事務室入口付近,介護福祉課,日本光電 AED-3150,R2.7.27,,1
7,桜町高齢者在宅サービスセンター（きた包括）,1階事務室入口付近,介護福祉課,,H25.7.30,,1
8,中町高齢者在宅サービスセンター（ひがし包括）,1階事務室入口付近,介護福祉課,,H25.7.30,,1
9,小金井みなみ地域包括支援センター,小金井あんず苑1階受付,介護福祉課,,H25.7.30,,1
10,第一小学校,1階職員室,学務課,日本光電 AED-3150,R2.6.4,,1
11,第二小学校,1階来客用玄関,学務課,日本光電 AED-3150,R2.6.4,,1
12,第三小学校,1階用務主事室,学務課,日本光電 AED-3150,R2.6.4,,1
13,第四小学校,1階職員室,学務課,日本光電 AED-3150,R2.6.4,,1
14,東小学校,1階主事室,学務課,日本光電 AED-3150,R2.6.4,,1
15,前原小学校,1階用務員室,学務課,日本光電 AED-3150,R2.6.4,,1
16,本町小学校,1階東側昇降口,学務課,日本光電 AED-3150,R2.6.4,,1
17,緑小学校,1階職員室,学務課,日本光電 AED-3150,R2.6.4,,1
18,南小学校,1階小会議室,学務課,日本光電 AED-3150,R2.6.4,,1
19,第一中学校,1階職員用玄関,学務課,日本光電 AED-3150,R2.6.4,,1
20,第二中学校,1階主事室,学務課,日本光電 AED-3150,R2.6.4,,1
21,東中学校,1階北校舎北中央出入口,学務課,日本光電 AED-3150,R2.6.4,,1
22,緑中学校,1階職員室,学務課,日本光電 AED-3150,R2.6.4,,1
23,南中学校,2階職員用玄関,学務課,日本光電 AED-3150,R2.6.4,,1
24,栗山公園健康運動センター,1階事務室,生涯学習課スポーツ振興係,日本光電 AED-2150,H31.2.19,R3.5,1
25,上水公園運動施設,1階事務室,生涯学習課スポーツ振興係,日本光電 AED-2150,H31.2.19,R3.5,1
26,市テニスコート場,1階事務室,生涯学習課スポーツ振興係,日本光電 AED-2150,H31.2.19,R3.5,1
27,図書館本館,1階カウンター,図書館,日本光電 AED-3150,R2.7.22,,1
28,公民館本館（旧：本町分館）,1階事務室,公民館,フィリップス FRx+e,R2.7.15,,1
29,公民館貫井南分館,1階事務室,公民館,フィリップス FRx+e,R2.7.15,,1
30,公民館東分館,1階事務室,公民館,フィリップス FRx+e,R2.7.15,,1
31,公民館緑分館,1階事務室,公民館,フィリップス FRx+e,R2.7.15,,1
32,はけの森美術館,1階事務室,コミュニティ文化課,,R2.4.1～R6.3.31,R3.11.12,1
33,西之台会館,1階事務室,コミュニティ文化課,,R2.4.1～R6.3.31,R3.11.9,1
34,東小金井駅開設記念会館,1階事務室,コミュニティ文化課,,R2.4.1～R6.3.31,R3.11.11,1
35,婦人会館,1階事務室,コミュニティ文化課,,R2.4.1～R6.3.31,R3.11.11,1
36,上之原会館,1階事務室,コミュニティ文化課,,R2.4.1～R6.3.31,R3.11.11,1
37,上水会館,1階事務室,コミュニティ文化課,,R2.4.1～R6.3.31,R3.11.11,1
38,北一会館,1階事務室,ごみ対策課（中間処理場）,日本光電 AED-3150,R2.8.21,R5.1,1
39,保健センター,健康課カウンター下,健康課,日本光電 AED-3150,R2.5.25,,1
40,くりのみ保育園,1階事務室,保育課,日本光電 AED-3150,R3.2.17,,1
41,わかたけ保育園,1階事務室,保育課,日本光電 AED-3150,R3.2.17,,1
42,小金井保育園,1階事務室,保育課,日本光電 AED-3150,R3.2.17,,1
43,さくら保育園,1階事務室,保育課,日本光電 AED-3150,R3.2.17,,1
44,けやき保育園,1階事務室,保育課,日本光電 AED-3150,R3.2.17,,1
45,清里山荘,1階フロント受付,生涯学習課,日本光電 AED-3150,R2.7.21,R4.11,1
46,第１分団,消防ポンプ車内,地域安全課,日本光電 AED-3100,R4.6.1～R9.5.31,リース（保守含む）,1
47,第２分団,消防ポンプ車内,地域安全課,日本光電 AED-3100,R4.6.1～R9.5.31,リース（保守含む）,1
48,第５分団,消防ポンプ車内,地域安全課,日本光電 AED-3100,R4.6.1～R9.5.31,リース（保守含む）,1
49,CoCoパトロール車,車内,地域安全課,日本光電 AED-3100,R4.6.1～R9.5.31,リース（保守含む）,1
50,第３分団,消防ポンプ車内,地域安全課,日本光電 AED-3100,R4.6.1～R9.5.31,リース（保守含む）,1
51,第４分団,消防ポンプ車内,地域安全課,日本光電 AED-3100,R4.6.1～R9.5.31,リース（保守含む）,1
52,本町児童館,1階事務室,児童青少年課,,R4.7.1～R9.6.30,リース（保守含む）,1
53,東児童館,1階事務室,児童青少年課,,R4.7.1～R9.6.30,リース（保守含む）,1
54,緑児童館,1階事務室,児童青少年課,,R4.7.1～R9.6.30,リース（保守含む）,1
55,消防指揮車,車内,地域安全課,日本光電 AED-3100,R4.6.1～R9.5.31,リース（保守含む）,1
56,滄浪泉園,管理事務所内,環境政策課,日本光電 AED-2150,H29.10.4,,1
57,小金井 宮地楽器ホール（市民交流センター）,1階入口横,コミュニティ文化課,,R1.6.17,,1
58,環境配慮住宅型研修施設（楽習館）,1階入口付近,環境政策課,日本光電 AED-3100,H30.5.24,,1
59,児童発達支援センター（きらり）,1階玄関靴置き場,自立生活支援課,,R2.7.15～R7.7.14,リース（保守含む）,1
60,公民館貫井北分館,2階事務室,公民館,フィリップス FRx+e,R3.1.22,,1
61,東小金井事業創造センター（KO-TO）,1階シェアスペース,経済課,日本光電 AED-3150,R3.3.26,,1
62,さくらなみ学童保育所,1階事務室,児童青少年課,日本光電 AED-3150,R3.5.21,,1
63,たけとんぼ学童保育所,1階事務室,児童青少年課,日本光電 AED-3150,R3.5.21,,1
64,あかね学童保育所 Ａ館,1階事務室,児童青少年課,日本光電 AED-3150,R3.5.21,,1
65,あかね学童保育所 Ｂ館,1階事務室,児童青少年課,日本光電 AED-3150,R2.3.27,R4.7.12,1
66,さわらび学童保育所,1階事務室,児童青少年課,日本光電 AED-3150,R3.5.21,,1
67,まえはら学童保育所,1階事務室,児童青少年課,日本光電 AED-3150,R3.5.21,,1
68,みなみ学童保育所,1階事務室,児童青少年課,日本光電 AED-3150,R3.5.21,,1
69,コーポくりのみ,１階談話室,まちづくり推進課住宅係,日本光電 AED-3100,H29.7.6,R1.8.28,1
70,シルバーピアグリーン,１階談話室,まちづくり推進課住宅係,日本光電 AED-3100,H29.7.6,R1.8.28,1
71,コンフォール貫井,１階談話室,まちづくり推進課住宅係,日本光電 AED-3100,H29.7.6,R1.8.28,1
72,ボヌールはけの道,１階談話室,まちづくり推進課住宅係,日本光電 AED-3100,H29.7.6,R1.8.28,1
73,グリーンタウン小金井,３号棟１階談話室前廊下,まちづくり推進課住宅係,日本光電 AED-3100,H29.7.6,R1.8.28,1
74,文化財センター,１階受付,生涯学習課,日本光電 AED-3100,H30.6.28,R3.1,1
75,貫井北町集会場,１階入口,コミュニティ文化課,,H31.4.1～R6.3.31,R3.6.2,1
76,貫井北町中之久保集会所,１階入口,コミュニティ文化課,,H31.4.1～R6.3.31,R3.6.2,1
77,前原町丸山台集会所,１階入口,コミュニティ文化課,,H31.4.1～R6.3.31,R3.6.2,1
78,貫井南町三楽集会所,１階入口,コミュニティ文化課,,H31.4.1～R6.3.31,R3.6.2,1
79,東町友愛会館,１階入口,コミュニティ文化課,,H31.4.1～R6.3.31,R3.6.2,1
80,中町桜並集会所,１階入口,コミュニティ文化課,,H31.4.1～R6.3.31,R3.6.2,1
81,貫井北五集会所,１階入口,コミュニティ文化課,,H31.4.1～R6.3.31,R3.6.2,1
82,中町天神前集会所,１階入口,コミュニティ文化課,,H31.4.1～R6.3.31,R3.6.2,1
83,小金井にし地域包括支援センター,1階事務室,介護福祉課,,R1.6.21,R1.6.21,1
84,前原暫定集会施設,１階入口,コミュニティ文化課,日本光電 AED-3150,R2.4.1～R6.3.31,R3.11.11,1
85,一中クラブハウス,１階事務室前,生涯学習課,日本光電 AED-3150,R2.7.22,R4.11,1
86,まえはら暫定第3学童保育所,1階育成室,児童青少年課,日本光電 AED-3150,R3.3.31,,1
87,みどり暫定第3学童保育所,1階育成室,児童青少年課,日本光電 AED-3150,R3.3.31,,1
88,みなみ暫定第3学童保育所,2階育成室,児童青少年課,日本光電 AED-3150,R4.3.31,,1
89,保健センター,集団接種会場,健康課,日本光電 AED-3150,R4.3.31,,1
90,もくせい教室（シャトー小金井）,3階職員室,指導室,,R3.6.1～R8.5.31,リース（保守含）,1
91,子どもオンブズパーソン相談室,4階事務室,児童青少年課,,R4.9.1～R9.8.31,リース（保守含む）,1
合　     　計,,,,,,,91
