,,施設等名,所在地,電話番号
こども園,私立,小金井けやきの森認定こども園,東京都東京都小金井市緑町1-6-16,042-401-1638
特定保育施設,私立,光明第二保育園,東京都東京都小金井市貫井南町1-13-17,042-381-8706
特定保育施設,私立,ひなぎく保育園,東京都東京都小金井市梶野町2-7-5,0422-55-4417
特定保育施設,私立,愛の園保育園,東京都東京都小金井市貫井北町5-8-1,042-325-1045
特定保育施設,私立,しんあい保育園,東京都東京都小金井市本町3-5-9,042-381-2263
特定保育施設,私立,貫井保育園,東京都東京都小金井市貫井南町4-29-21,042-381-3575
特定保育施設,私立,こむぎ保育園,東京都東京都小金井市東町4-21-8,042-381-1589
特定保育施設,私立,ひまわり保育園,東京都東京都小金井市中町1-5-21,042-383-2788
特定保育施設,私立,アスクむさし小金井保育園,東京都東京都小金井市本町5-19-2,042-386-8505
特定保育施設,私立,駅前コスモ保育園,東京都東京都小金井市東町4-42-1-206,042-383-7755
特定保育施設,私立,小金井北プチ・クレイシュ,東京都小金井市緑町4-5-7,042-382-0130
特定保育施設,私立,うぃず武蔵小金井保育園,東京都小金井市貫井北町3-21-5,042-316-4912
特定保育施設,私立,第二コスモ保育園,東京都小金井市梶野町5-8-20-B,042-316-6464
特定保育施設,私立,グローバルキッズ武蔵小金井園,東京都小金井市本町1-19-8,042-387-8022
特定保育施設,私立,キッズガーデン東小金井駅前,東京都小金井市梶野町5-11-5,042-316-6857
特定保育施設,私立,第六コスモ保育園,東京都小金井市梶野町5-3-25-211,042-383-3838
特定保育施設,私立,まなびの森保育園武蔵小金井,東京都小金井市本町3-12-13,042-387-3120
特定保育施設,私立,ｷｯｽﾞｶﾞｰﾃﾞﾝ武蔵小金井,東京都小金井市本町1-19-3,042-401-2526
特定保育施設,私立,ﾄﾞﾘｰﾑｷｯｽﾞ小金井,東京都小金井市東町3-7-17,042-230-5130
特定保育施設,私立,武蔵小金井雲母,東京都小金井市中町3-26-7,042-380-5031
特定保育施設,私立,小金井公園ハイジ保育園,東京都小金井市関野町2-6-7,042-316-6674
特定保育施設,私立,東京工学院きしゃぽっぽ保育園,東京都小金井市前原町5-1-29（東京工学院専門学校内）,042-387-4819
特定保育施設,私立,第十コスモ保育園,東京都小金井市東町4-10-9,042-380-7777
特定保育施設,私立,キッズガーデン小金井桜町,東京都小金井市桜町2-1-6,042-316-5170
特定保育施設,私立,しんあいのぞみ保育園,東京都小金井市本町3-5-3,042-401-1721
特定保育施設,公立,くりのみ保育園,東京都小金井市東町3-1-16,042-383-1180
特定保育施設,公立,わかたけ保育園,東京都小金井市前原町3-11-12,042-383-1181
特定保育施設,公立,小金井保育園,東京都小金井市本町5-6-19,042-381-2237
特定保育施設,公立,さくら保育園,東京都小金井市貫井北町3-30-6,042-383-1182
特定保育施設,公立,けやき保育園,東京都小金井市梶野町1-2-3,0422-60-0770
特定地域型保育事業,特定地域型保育事業,こどものへや保育室,東京都小金井市東町5-23-17,042-381-3000
特定地域型保育事業,特定地域型保育事業,また明日保育園,東京都小金井市貫井南町4-14-14ヴィレッジ・パル1F,042-386-8280
特定地域型保育事業,特定地域型保育事業,第四コスモ保育園,東京都小金井市梶野町5-8-25-101,042-381-6464
特定地域型保育事業,特定地域型保育事業,みらいえ保育園武蔵小金井駅前,東京都小金井市本町1-18-3　２階,0422-27-6736
特定地域型保育事業,特定地域型保育事業,ひがし保育園,東京都小金井市東町4－31－17,042-386-3204
特定地域型保育事業,特定地域型保育事業,みらいえ保育園武蔵小金井南,東京都小金井市本町1-8-1,0422-27-6726
特定地域型保育事業,特定地域型保育事業,Ark　ゆめの保育園,東京都小金井市本町2-7-33,042-316-3160
特定地域型保育事業,特定地域型保育事業,家庭的保育室おひさまルーム,東京都小金井市前原町1-6-16,042-316-3209
特定地域型保育事業,特定地域型保育事業,家庭的保育室オテテ,東京都小金井市緑町5-13-17ベル小金井103,070-5081-1623
