番号,施設名,住所,電話
1,たまむし学童保育所,東京都小金井市東町4-25-7,042-385-9280
2,あかね学童保育所,東京都小金井市梶野町5-7-33,042-385-3370
3,ほんちょう学童保育所,東京都小金井市本町5-4-25,042-385-3360
4,さくらなみ学童保育所,東京都小金井市本町1-2-13,042-383-1183
5,さわらび学童保育所,東京都小金井市貫井南町3-6-27,042-383-5489
6,たけとんぼ学童保育所,東京都小金井市桜町2-3-60,042-383-5488
7,まえはら学童保育所,東京都小金井市前原町3-3-16,042-383-1179
8,みどり学童保育所,東京都小金井市緑町4-18-25,042-383-1178
9,みなみ学童保育所,東京都小金井市前原町2-2-21,042-383-1167
10,本町児童館,小金井市本町5-4-25,042-383-1176
11,東児童館,小金井市東町4-25-7,042-383-1177
12,貫井南児童館,小金井市貫井南町4-3-23,042-383-9777
13,緑児童館,小金井市緑町4-18-25,042-383-6910
