,名称,所在地,電話番号
認証保育所,小金井プチ・クレイシュ,東京都小金井市本町1－8－14,042-382－7007
認証保育所,にじいろ保育園武蔵小金井,東京都小金井市本町6－14－45,042-316－1081
認証保育所,回帰船保育所,東京都小金井市中町2-24-16東京農工大小金井キャンパス内,042-384－1839
認証保育所,東京学芸大　学芸の森保育園,東京都小金井市貫井北町4-1-1,042－324－6629
認証保育所,ココファン・ナーサリー東小金井,東京都小金井市緑町1-2-39,042-386-5087
保育室　　　(定期利用保育事業),こどもの家保育園,東京都小金井市貫井南町4－20－31,042-381－7914
保育室　　　(定期利用保育事業),どろんこ保育所,東京都小金井市本町3-12-30,042-385-1642
家庭福祉員,瀧川　依子,東京都小金井市東町2－22－25,0422-32－3555
家庭福祉員,加藤　文乃,東京都小金井市貫井南町3-6-24,042-384－5854
家庭福祉員,小針　紀子,東京都小金井市緑町5－15－20,042-38４－7412
家庭福祉員,平島　るみ子,東京都小金井市本町2-13-3,042-385-6635
病後児定期利用,くるみ保育室,東京都小金井市梶野町4-20-3,0422-38-7669
企業主導型保育事業,ぬくいのもりほいくえん,東京都小金井市貫井北町3-4-8,042-402-7011
企業主導型保育事業,プリンセスプリンス保育園小金井,東京都小金井市前原町3-18-20,042-316-5017
