"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","とても関心がある[人]","少し関心がある[人]","どちらともいえない[人]","あまり関心がない[人]","全く関心がない[人]","無回答[人]"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","全体",,"658","396","205","33","10","7","7"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","男性（計）","248","132","90","13","7","6","0"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","男性 18～29歳","23","6","10","2","2","3","0"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","男性 30～39歳","35","8","21","3","1","2","0"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","男性 40～49歳","41","15","19","5","2","0","0"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","男性 50～59歳","49","28","17","2","1","1","0"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","男性 60～69歳","39","31","7","1","0","0","0"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","男性 70歳以上","60","43","16","0","1","0","0"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","男性 無回答","1","1","0","0","0","0","0"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","女性（計）","400","259","113","18","3","1","6"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","女性 18～29歳","28","9","15","3","1","0","0"
"202003","プラスチックごみ","Q19. あなたは、レジ袋やペットボトル等が海洋に流出することで、国際的な問題となっている海洋プラスチックごみに関心がありますか。（１つ選択）","性・年代別","女性 30～39歳","65","32","27","4","1","0","1"
