区分,単位,全市場合計23,全市場合計24,全市場合計25,全市場合計26,全市場合計27,全市場野菜26,全市場野菜27,全市場果実26,全市場果実27,全市場野菜・果実26,全市場野菜・果実27,築地市場合計23,築地市場合計24,築地市場合計25,築地市場合計26,築地市場合計27,築地市場野菜26,築地市場野菜27,築地市場果実26,築地市場果実27,築地市場野菜・果実26,築地市場野菜・果実27,大田市場合計23,大田市場合計24,大田市場合計25,大田市場合計26,大田市場合計27,大田市場野菜26,大田市場野菜27,大田市場果実26,大田市場果実27,大田市場野菜・果実26,大田市場野菜・果実27,豊島市場合計23,豊島市場合計24,豊島市場合計25,豊島市場合計26,豊島市場合計27,豊島市場野菜26,豊島市場野菜27,豊島市場果実26,豊島市場果実27,淀橋市場合計23,淀橋市場合計24,淀橋市場合計25,淀橋市場合計26,淀橋市場合計27,淀橋市場野菜26,淀橋市場野菜27,淀橋市場果実26,淀橋市場果実27,板橋市場合計23,板橋市場合計24,板橋市場合計25,板橋市場合計26,板橋市場合計27,板橋市場野菜26,板橋市場野菜27,板橋市場果実26,板橋市場果実27,世田谷合計23,世田谷合計24,世田谷合計25,世田谷合計26,世田谷市場合計27,世田谷市場野菜26,世田谷市場野菜27,世田谷市場果実26,世田谷市場果実27,北足立市場合計23,北足立市場合計24,北足立市場合計25,北足立市場合計26,北足立市場合計27,北足立市場野菜26,北足立市場野菜27,北足立市場果実26,北足立市場果実27,多摩ニュータウン合計（野菜・果実）23,多摩ニュータウン合計（野菜・果実）24,多摩ニュータウン合計（野菜・果実）25,多摩ニュータウン合計（野菜・果実）26,多摩ニュータウン合計（野菜・果実）27,葛西市場合計23,葛西市場合計24,葛西市場合計25,葛西市場合計26,葛西市場合計27,葛西市場野菜26,葛西市場野菜27,葛西市場果実26,葛西市場果実27
集計業者数,社,315,310,312,309,301,183,178,106,99,20,24,101,100,103,99,101,77,78,18,17,4,6,147,146,145,144,135,71,63,61,58,12,14,10,10,10,10,10,4,5,6,5,17,15,15,15,15,9,9,6,6,8,8,8,8,8,4,4,4,4,5,5,5,6,6,3,3,3,3,15,15,15,15,15,12,13,3,2,3,3,3,4,4,9,8,8,8,7,3,3,5,4
経常赤字会社の割合,社,148,122,106,91,81,53,47,30,29,8,5,59,50,42,30,34,26,27,3,5,1,2,54,49,36,40,29,20,12,14,14,6,3,5,4,5,7,4,3,1,4,3,12,7,5,1,4,0,2,1,2,3,3,6,3,3,0,1,3,2,1,0,2,4,2,2,1,2,1,7,6,6,3,3,1,2,2,1,1,1,2,1,0,6,2,2,2,2,1,1,1,1
経常赤字会社の割合,％,46.98,39.35,33.97,29.45,26.91,28.96,26.40,28.30,29.29,40.00,20.83,58.42,50.00,40.78,30.30,33.66,33.77,34.62,16.67,29.41,25.00,33.33,36.73,33.56,24.83,27.78,21.48,28.17,19.05,22.95,24.14,50.00,21.43,50.00,40.00,50.00,70.00,40.00,75.00,20.00,66.67,60.00,70.59,46.67,33.33,6.67,26.67,,22.22,16.67,33.33,37.50,37.50,75.00,37.50,37.50,,25.00,75.00,50.00,20.00,,40.00,66.67,33.33,66.67,33.33,66.67,33.33,46.67,40.00,40.00,20.00,20.00,8.33,15.38,66.67,50.00,33.33,33.33,66.67,25.00,,66.67,25.00,25.00,25.00,28.57,33.33,33.33,20.00,25.00
債務超過会社の割合,社,105,109,105,100,89,56,54,38,27,6,8,39,41,40,36,38,25,27,8,7,3,4,51,52,47,45,37,21,17,22,17,2,3,1,4,4,5,2,1,1,4,1,5,4,5,5,5,4,4,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,0,0,4,4,5,4,3,2,2,2,1,1,1,1,1,1,3,2,1,2,1,1,1,1,0
債務超過会社の割合,％,33.33,35.16,33.65,32.36,29.57,30.60,30.34,35.85,27.27,30.00,33.33,38.61,41.00,38.83,36.36,37.62,32.47,34.62,44.44,41.18,75.00,66.67,34.69,35.62,32.41,31.25,27.41,29.58,26.98,36.07,29.31,16.67,21.43,10.00,40.00,40.00,50.00,20.00,25.00,20.00,66.67,20.00,29.41,26.67,33.33,33.33,33.33,44.44,44.44,16.67,16.67,,,,,,,,,,20.00,20.00,40.00,33.33,33.33,66.67,66.67,,,26.67,26.67,33.33,26.67,20.00,16.67,15.38,66.67,50.00,33.33,33.33,33.33,25.00,25.00,33.33,25.00,12.50,25.00,14.29,33.33,33.33,20.00,
売上高平均,万円,140991,141942,141977,147218,152442,143524,146105,128738,119663,278966,334651,82723,80184,79806,82839,86441,76639,77080,119383,136356,37742,66708,168965,172237,177004,184097,193300,177749,191845,153789,127881,375722,470861,92134,92711,94635,84612,85960,91820,75341,79807,96579,158210,176865,163794,163437,164848,204665,209476,101596,97906,124792,119560,112209,113143,107669,182958,171363,43328,43975,98697,93444,97567,102450,99722,129586,124153,75315,75291,257373,255040,242723,260683,270749,296335,285245,118075,176523,280704,290307,291441,229925,259829,157117,142073,138421,141507,166623,285915,293365,54862,71567
資産平均,万円,23266,24187,25007,25403,26199,25002,25707,23156,20808,40988,52088,13389,13653,13982,14457,14548,14167,14133,17528,18520,6233,8686,30724,31949,32902,32501,34281,30744,33138,29594,24960,57681,78037,9932,10366,9853,9996,10525,14018,12505,7315,8544,20833,24776,24378,25194,23480,21545,22008,30666,25689,11558,10632,10053,10509,10560,15879,15966,5139,5153,17735,16182,18866,17346,17279,28548,28239,6144,6318,39576,40975,49286,57108,61444,69494,69470,7566,9281,34800,38211,36427,25661,26372,14154,12179,12961,14112,16570,22888,24499,8847,10623
収益性売上総利益率,％,11.82,11.88,12.34,12.07,12.27,12.24,12.70,10.84,10.21,14.28,13.92,12.64,12.46,13.41,13.13,12.96,14.08,14.16,10.04,9.54,19.77,14.69,12.30,12.23,12.61,12.36,12.71,12.44,13.20,11.19,10.40,14.59,14.40,8.66,10.18,10.59,7.63,9.16,6.47,10.01,8.53,8.49,9.85,10.27,10.89,11.34,11.61,10.18,10.37,14.84,15.58,8.53,9.24,9.39,9.23,9.87,9.43,10.15,8.38,8.78,10.83,10.44,9.48,8.97,10.14,9.73,11.09,7.67,8.57,10.79,11.07,11.29,10.87,10.66,11.33,11.15,6.24,5.58,12.79,12.09,11.27,11.88,10.57,9.34,10.44,10.79,10.76,11.06,10.82,11.25,10.59,10.47
収益性営業利益率,％,0.50,0.52,0.62,0.69,0.89,0.71,0.99,0.53,0.25,0.99,1.54,-0.34,-0.10,0.24,0.36,0.33,0.44,0.48,0.12,0.00,0.48,-0.08,0.89,0.81,0.97,1.00,1.32,1.02,1.56,0.92,0.46,1.10,1.84,-0.41,-0.21,-0.16,-2.46,-0.90,-4.18,-2.01,-1.15,-0.04,-0.40,-0.44,-0.73,-0.16,0.17,0.04,0.26,-0.79,-0.12,-0.07,0.02,-0.22,-0.08,0.09,-0.04,-0.14,-0.26,1.00,0.53,0.62,-0.49,-0.37,0.16,-0.19,0.70,-0.67,-0.73,0.96,1.07,0.81,0.95,0.68,1.17,0.87,-1.32,-1.33,1.09,-0.05,-0.48,0.56,0.26,-0.22,0.40,0.37,0.49,0.66,0.56,0.81,0.27,0.17
収益性経常利益率,％,0.59,0.79,0.93,0.97,1.06,1.07,1.14,0.55,0.49,1.52,1.65,-0.17,0.26,0.52,0.57,0.36,0.61,0.37,0.45,0.37,0.62,0.31,0.92,1.03,1.15,1.15,1.34,1.28,1.46,0.72,0.64,1.68,1.90,-0.02,-0.22,-0.05,-1.19,-0.11,-1.92,-0.19,-0.62,-0.04,-0.03,0.18,-0.13,0.31,0.48,0.39,0.47,0.08,0.52,0.02,0.17,-0.03,0.29,0.12,0.41,0.22,-0.19,-0.27,0.18,0.85,-0.73,-0.31,-0.19,-0.50,-0.25,0.02,-0.08,1.19,1.35,2.15,2.01,2.02,2.25,2.25,-0.40,-0.44,0.28,0.39,-0.06,0.87,0.58,-0.26,0.48,0.60,0.49,0.64,0.37,0.59,0.85,0.78
