科目,金額(千円),前期比(％)/構成比(％)
第１経常損益の部,,
営業損益,,
卸売業務,,
受託手数料,6210899,
（受託物品取扱額）,112988909,
買付販売損益,,
純売上高,318162686,
売上原価,304247865,
買付販売利益金額,13914821,
販売利益金額,20125720,
兼業業務,,
売上高,68719458,
売上原価,65388376,
兼業業務利益,3331082,
売上総利益,23456802,
販売費及び一般管理費,20974274,
売上高割使用料,1092318,
面積割使用料,555351,
出荷奨励金,438985,
完納奨励金,736069,
役員報酬,885551,
従業員給料手当,7340247,
福利厚生費,1719529,
退職給与金,199712,
退職給付引当金繰入,281535,
役員賞与,0,
役員退職金,0,
役員退職慰労引当金,33471,
その他人件費,123866,
運搬費,2170430,
受託品事故損,12113,
交際費,210320,
減価償却費,336328,
公租公課,189735,
貸倒引当金繰入,-82030,
その他,4730744,
営業利益金額,2482528,
営業外損益,,
営業外収益,1138775,
受取利息及び配当金,819036,
その他営業外収益,319739,
営業外費用,464353,
支払利息及び割引料,220696,
その他営業外費用,243657,
経常利益金額,3156950,
第２特別損益の部,,
特別利益,1463318,
固定資産売却益,1015768,
投資有価証券売却益,207606,
貸倒引当金戻入,42181,
その他,197763,
特別損失,454837,
固定資産売却損,0,
投資有価証券売却損,0,
その他,454837,
税引前当期純利益,4165431,
法人税等,553175,
法人税等調整額,163397,
当期純利益,3448859,
売上高合計及び前期比受託販売,112988909,96.5
売上高合計及び前期比買付販売,318162686,100.7
売上高合計及び前期比卸売業務計,431151595,99.6
売上高合計及び前期比兼業業務,68719458,99.6
売上高合計及び前期比売上高合計,499871053,99.6
役職員の状況員数役員（常勤）(人),57,
役職員の状況員数役員（非常勤）(人),19,
役職員の状況員数営業関係従業員(人),832,
役職員の状況員数事務関係従業員(人),292,
役職員の状況員数役職員合計(人),1200,
役職員の状況平均年令役員（常勤）(才),63.6,
役職員の状況平均年令役員（非常勤）(才),59.9,
役職員の状況平均年令営業関係従業員(才),43.0,
役職員の状況平均年令事務関係従業員(才),42.2,
役職員の状況平均年令役職員全体(才),44.1,
役職員の状況平均勤続年数役員（常勤）(年),22.1,
役職員の状況平均勤続年数役員（非常勤）(年),3.7,
役職員の状況平均勤続年数営業関係従業員(年),16.5,
役職員の状況平均勤続年数事務関係従業員(年),16.8,
役職員の状況平均勤続年数役職員全体(年),16.6,
卸売の相手方及び構成比仲卸業者,229911930,53.3
卸売の相手方及び構成比売買参加者,120558216,28.0
卸売の相手方及び構成比その他,80681449,18.7
卸売の相手方及び構成比その他開設区域内,33409190,41.4
卸売の相手方及び構成比その他開設区域外,47272259,58.6
