区分,単位,全市場合計23,全市場合計24,全市場合計25,全市場合計26,全市場合計27,北足立合計23,北足立合計24,北足立合計25,北足立合計26,北足立合計27,大田市場合計23,大田市場合計24,大田市場合計25,大田市場合計26,大田市場合計27,板橋市場合計23,板橋市場合計24,板橋市場合計25,板橋市場合計26,板橋市場合計27,葛西市場合計23,葛西市場合計24,葛西市場合計25,葛西市場合計26,葛西市場合計27,世田谷市場合計23,世田谷市場合計24,世田谷市場合計25,世田谷市場合計26,世田谷市場合計27
集計業者数,社,44,44,43,42,41,7,7,7,7,6,18,18,17,16,16,8,7,7,7,7,6,7,7,7,7,5,5,5,5,5
経常赤字会社の割合,社,14,14,15,15,12,3,3,2,5,1,6,6,3,5,4,3,3,2,2,2,1,2,7,3,4,1,0,1,0,1
経常赤字会社の割合,％,31.82,31.82,34.88,35.71,29.27,42.86,42.86,28.57,71.43,16.67,33.33,33.33,17.65,31.25,25.00,37.50,42.8628.57,,28.57,28.57,16.67,28.57,100.00,42.86,57.14,20.00,,20.00,,20.00
債務超過会社の割合,社,13,14,14,14,18,3,4,4,4,3,5,5,4,5,7,2,3,3,3,3,2,2,3,2,4,1,0,0,0,1
債務超過会社の割合,％,29.55,31.82,32.56,33.33,43.90,42.86,57.14,57.14,57.14,50.00,27.78,27.78,23.53,31.25,43.75,25.00,42.86,42.86,42.86,42.86,33.33,28.57,42.86,28.57,57.14,20.00,,,,20.00
売上高平均,万円,71162,71298,73270,77092,80416,25641,26259,25525,25911,29127,101827,102780,108119,116696,119076,43234,41943,45751,47518,48839,32466,29284,29117,28768,29081,115620,120935,121966,131071,134327
資産平均,万円,17917,18351,19267,20481,21008,6849,6690,6613,6536,7108,19883,21177,23828,24748,24152,19388,20111,20077,24955,27060,6566,6570,6179,6182,5707,37601,38536,38663,40109,40575
収益性売上総利益率,％,16.65,16.71,16.38,17.34,17.01,17.58,19.70,20.75,20.20,21.48,14.64,14.37,13.70,14.68,14.42,24.14,27.51,26.37,29.68,29.81,18.32,17.78,17.41,18.27,17.33,17.68,17.32,17.59,17.57,16.61
収益性営業利益率,％,-0.03,0.28,0.31,0.57,0.56,-0.31,0.17,0.21,-0.43,0.27,-0.16,0.17,0.09,0.32,0.57,-1.63,-0.29,1.01,0.70,2.01,0.19,-0.55,-0.74,-0.09,-0.67,1.37,1.19,0.98,1.67,0.26
収益性経常利益率,％,-0.05,0.39,0.42,0.55,0.42,0.01,0.06,0.34,-0.29,0.74,-0.17,0.28,0.31,0.24,0.33,-1.72,-0.41,0.93,1.04,1.93,0.69,0.49,-0.65,0.03,-0.58,1.06,1.18,0.89,1.58,0.14
