科目,金額(千円),前期比(％)/構成比(％)
第１経常損益の部,,
営業損益,,
卸売業務,,
受託手数料,27921444,
（受託物品取扱額）,344317894,
買付販売損益,,
純売上高,186626319,
売上原価,178542117,
買付販売利益金額,8084202,
販売利益金額,36005646,
兼業業務,,
売上高,27412575,
売上原価,24684221,
兼業業務利益,2728354,
売上総利益,38734000,
販売費及び一般管理費,35931455,
売上高割使用料,1390529,
面積割使用料,1484037,
出荷奨励金,4393711,
完納奨励金,5116643,
役員報酬,908567,
従業員給料手当,9458517,
福利厚生費,2185877,
退職給与金,34927,
退職給付引当金繰入,381607,
役員賞与,58465,
役員退職金,4509,
役員退職慰労引当金,57169,
その他人件費,816796,
運搬費,865034,
受託品事故損,2741234,
交際費,320302,
減価償却費,521928,
公租公課,159131,
貸倒引当金繰入,22443,
その他,5010029,
営業利益金額,2802545,
営業外損益,,
営業外収益,973687,
受取利息及び配当金,216007,
その他営業外収益,757680,
営業外費用,113674,
支払利息及び割引料,30983,
その他営業外費用,82691,
経常利益金額,3662558,
第２特別損益の部,,
特別利益,142001,
固定資産売却益,25326,
投資有価証券売却益,0,
貸倒引当金戻入,30000,
その他,86675,
特別損失,71955,
固定資産売却損,404,
投資有価証券売却損,0,
その他,71551,
税引前当期純利益,3732604,
法人税等,1200083,
法人税等調整額,163483,
当期純利益,2369038,
売上高合計及び前期比受託販売,344317894,105.7
売上高合計及び前期比買付販売,186626319,105.4
売上高合計及び前期比卸売業務計,530944213,105.6
売上高合計及び前期比兼業業務,27412575,98.1
売上高合計及び前期比売上高合計,558356788,105.2
役職員の状況員数役員（常勤）(人),73,
役職員の状況員数役員（非常勤）(人),14,
役職員の状況員数営業関係従業員(人),1211,
役職員の状況員数事務関係従業員(人),336,
役職員の状況員数役職員合計(人),1634,
役職員の状況平均年令役員（常勤）(才),62,
役職員の状況平均年令役員（非常勤）(才),62.6,
役職員の状況平均年令営業関係従業員(才),42.2,
役職員の状況平均年令事務関係従業員(才),40.6,
役職員の状況平均年令役職員全体(才),42.9,
役職員の状況平均勤続年数役員（常勤）(年),18.9,
役職員の状況平均勤続年数役員（非常勤）(年),7.7,
役職員の状況平均勤続年数営業関係従業員(年),14.7,
役職員の状況平均勤続年数事務関係従業員(年),14.2,
役職員の状況平均勤続年数役職員全体(年),14.7,
卸売の相手方及び構成比仲卸業者,289477793,54.5
卸売の相手方及び構成比売買参加者,212407914,40
卸売の相手方及び構成比その他,29058506,5.5
卸売の相手方及び構成比その他開設区域内,12469557,42.9
卸売の相手方及び構成比その他開設区域外,16588949,57.1
