区分,単位,食肉市場合計23,食肉市場合計24,食肉市場合計25,食肉市場合計26,食肉市場合計27
集計業者数,社,27,28,26,25,26
経常赤字会社の割合,社,11,14,13,7,6
経常赤字会社の割合,％,40.74,50.00,50.00,28.00,23.08
債務超過会社の割合,社,4,2,2,2,2
債務超過会社の割合,％,14.81,7.14,7.69,8.00,7.69
売上高平均,万円,282536,275857,312287,342056,393001
資産平均,万円,66661,71298,73904,75245,79494
収益性売上総利益率,％,8.50,8.94,7.74,7.40,7.00
収益性営業利益率,％,0.43,-0.17,-0.59,-0.07,0.21
収益性経常利益率,％,-0.02,-0.03,-0.28,0.07,0.26
収益性総資本経常利益率,％,-0.10,-0.11,-1.20,0.31,1.27
効率性総資本回転率,回,4.24,3.87,4.23,4.55,4.94
効率性売掛債権回転日数,日,29.16,33.77,32.01,31.19,30.94
効率性買掛債務回転日数,日,12.25,12.29,10.45,10.27,10.12
効率性商品回転日数,日,10.40,10.74,11.99,10.95,10.01
安全性手元流動性比率,日,24.48,26.72,22.49,21.13,19.34
安全性流動比率,％,205.70,205.60,202.03,189.28,194.52
安全性自己資本比率,％,25.02,24.89,23.64,24.67,22.71
安全性借入金比率,％,53.16,55.85,53.48,53.96,56.82
安全性金利負担率,％,0.24,0.24,0.21,0.18,0.15
生産性従事員一人当たり売上高,万円,17700,16939,17924,19704,22507
生産性従事員一人当たり売上総利益,万円,1504,1515,1388,1457,1577
生産性従事員一人当たり人件費,万円,619,653,609,581,572
