科目,金額(千円),前期比(％)/構成比(％)
第１経常損益の部,,
営業損益,,
卸売業務,,
受託手数料,0,
（受託物品取扱額）,0,
買付販売損益,,
純売上高,6002329,
売上原価,5370874,
買付販売利益金額,631455,
販売利益金額,631455,
兼業業務,,
売上高,980354,
売上原価,960224,
兼業業務利益,20130,
売上総利益,651585,
販売費及び一般管理費,652952,
売上高割使用料,7628,
面積割使用料,19633,
出荷奨励金,0,
完納奨励金,7084,
役員報酬,44469,
従業員給料手当,262780,
福利厚生費,38084,
退職給与金,6222,
退職給付引当金繰入,4306,
役員賞与,1300,
役員退職金,0,
役員退職慰労引当金,0,
その他人件費,36256,
運搬費,73044,
受託品事故損,0,
交際費,7628,
減価償却費,12658,
公租公課,20808,
貸倒引当金繰入,15100,
その他,95952,
営業利益金額,-1367,
営業外損益,,
営業外収益,15681,
受取利息及び配当金,687,
その他営業外収益,14994,
営業外費用,6573,
支払利息及び割引料,1103,
その他営業外費用,5470,
経常利益金額,7741,
第２特別損益の部,,
特別利益,140,
固定資産売却益,0,
投資有価証券売却益,0,
貸倒引当金戻入,140,
その他,0,
特別損失,9605,
固定資産売却損,0,
投資有価証券売却損,0,
その他,9605,
税引前当期純利益,-1724,
法人税等,478,
法人税等調整額,0,
当期純利益,-2202,
売上高合計及び前期比受託販売,0,
売上高合計及び前期比買付販売,6002329,101.8
売上高合計及び前期比卸売業務計,6002329,101.8
売上高合計及び前期比兼業業務,980354,103.8
売上高合計及び前期比売上高合計,6982683,102.1
役職員の状況員数役員（常勤）(人),9,
役職員の状況員数役員（非常勤）(人),14,
役職員の状況員数営業関係従業員(人),30,
役職員の状況員数事務関係従業員(人),21,
役職員の状況員数役職員合計(人),74,
役職員の状況平均年令役員（常勤）(才),61.3,
役職員の状況平均年令役員（非常勤）(才),67.1,
役職員の状況平均年令営業関係従業員(才),46.6,
役職員の状況平均年令事務関係従業員(才),43.3,
役職員の状況平均年令役職員全体(才),51.3,
役職員の状況平均勤続年数役員（常勤）(年),22.8,
役職員の状況平均勤続年数役員（非常勤）(年),9.0,
役職員の状況平均勤続年数営業関係従業員(年),12.0,
役職員の状況平均勤続年数事務関係従業員(年),8.1,
役職員の状況平均勤続年数役職員全体(年),11.6,
卸売の相手方及び構成比仲卸業者,155750,2.6
卸売の相手方及び構成比売買参加者,553020,9.2
卸売の相手方及び構成比その他,5293559,88.2
卸売の相手方及び構成比その他開設区域内,1128488,21.3
卸売の相手方及び構成比その他開設区域外,4165071,78.7
