区分,種類,合計,東京シティ青果,東京青果,東京荏原青果,東京神田青果市場,東京豊島青果,東京新宿ベジフル,東京富士青果,東京荏原ベジフル,東京千住青果,東京ニュータウン青果,
受託物品,野菜(千円),273184297,44778284,100758533,27985960,9655919,22833747,32417913,3541179,4324095,26802721,85946,
受託物品,輸入野菜(千円),3471421,621260,1389777,104930,607635,148501,275702,56684,35251,229809,1872,
受託物品,果実(千円),92309006,12359680,44885411,3660140,5031505,5385731,10266035,731062,298214,9621940,69288,
受託物品,輸入果実(千円),30923,421,22678,1599,1758,2922,742,0,236,567,0,
受託物品,その他(千円),2867677,703399,757141,2617,301,247229,507692,0,72864,576240,194,
受託物品,当年度計（Ａ）(千円),371863324,58463044,147813540,31755246,15297118,28618130,43468084,4328925,4730660,37231277,157300,
受託物品,前年度計（Ｂ）(千円),351776797,55623678,137183709,30758200,14181817,28997198,39943464,3745764,4608567,36566929,167471,
受託物品,前年対比（Ａ/Ｂ）(％),105.71,105.1,107.75,103.24,107.86,98.69,108.82,115.57,102.65,101.82,93.93,
買付物品,野菜(千円),109003723,10730430,31601571,11077114,4112625,10380620,10881899,2147129,3671698,19138134,5262503,
買付物品,輸入野菜(千円),8822630,2072836,1731785,697905,357093,901253,830265,181964,125830,1812084,111615,
買付物品,果実(千円),67890121,8803110,29723781,12352008,964954,1700636,4042451,305669,1220084,7777229,1000199,
買付物品,輸入果実(千円),12299191,2431481,277189,306525,54222,2720546,1862375,1771,180803,4402486,61793,
買付物品,その他(千円),3540761,235627,1270951,225907,274965,292101,425171,0,199359,612952,3728,
買付物品,当年度計（Ａ）(千円),201556426,24273484,64605277,24659459,5763859,15995156,18042161,2636533,5397774,33742885,6439838,
買付物品,前年度計（Ｂ）(千円),191236389,25618254,61094752,23189657,4481725,14617674,17196329,2422857,5045379,32259824,5309938,
買付物品,前年対比（Ａ/Ｂ）(％),105.4,94.75,105.75,106.34,128.61,109.42,104.92,108.82,106.98,104.6,121.28,
合計,野菜(千円),382188020,55508714,132360104,39063074,13768544,33214367,43299812,5688308,7995793,45940855,5348449,
合計,輸入野菜(千円),12294051,2694096,3121562,802835,964728,1049754,1105967,238648,161081,2041893,113487,
合計,果実(千円),160199127,21162790,74609192,16012148,5996459,7086367,14308486,1036731,1518298,17399169,1069487,
合計,輸入果実(千円),12330114,2431902,299867,308124,55980,2723468,1863117,1771,181039,4403053,61793,
合計,その他(千円),6408438,939026,2028092,228524,275266,539330,932863,0,272223,1189192,3922,
合計,当年度計（Ａ）(千円),573419750,82736528,212418817,56414705,21060977,44613286,61510245,6965458,10128434,70974162,6597138,
合計,前年度計（Ｂ）(千円),543013186,81241932,198278461,53947857,18663542,43614872,57139793,6168621,9653946,68826753,5477409,
合計,前年対比（Ａ/Ｂ）(％),105.6,101.84,107.13,104.57,112.85,102.29,107.65,112.92,104.91,103.12,120.44,
構成比,受託物品(％),64.85,70.66,69.59,56.29,72.63,64.15,70.67,62.15,46.71,52.46,2.38,
構成比,買付物品(％),35.15,29.34,30.41,43.71,27.37,35.85,29.33,37.85,53.29,47.54,97.62,
構成比,合計(％),100,100,100,100,100,100,100,100,100,100,100,
,,,,,,,,,,,,,（注）消費税込み
