区分,単位,1億円未満,1億円以上3億円未満,3億円以上5億円未満,5億円以上10億円未満,10億円以上30億円未満,30億円以上,平均
集計業者数,社,149,169,84,70,54,15,541
経常赤字会社の割合,社,84,67,24,11,9,0,195
経常赤字会社の割合,％,56.38,39.64,28.57,15.71,16.67,0.00,36.04
債務超過会社の割合,社,99,86,25,18,10,0,238
債務超過会社の割合,％,66.44,50.89,29.76,25.71,18.52,0.00,43.99
１社当り売上高平均,万円,5630,18400,38413,69187,172183,572282,55269
１社当り資産平均,万円,3280,7486,12464,19818,42611,114490,15169
収益性売上総利益率,％,23.27,19.19,16.87,17.82,13.77,9.35,14.32
収益性営業利益率,％,-3.24,-0.30,-0.51,0.64,0.71,0.45,0.28
収益性経常利益率,％,-1.51,0.06,0.31,0.81,0.84,0.97,0.67
収益性総資本経常利益率,％,-2.60,0.14,0.95,2.83,3.41,4.86,2.44
効率性総資本回転数,回,1.72,2.46,3.08,3.49,4.04,5,3.64
効率性売掛債権回転日数,日,32.11,29.52,29.17,31.23,30.34,23.97,28.49
効率性買掛債務回転日数,日,27.51,19.84,17.79,18.16,18.67,11.83,16.75
効率性商品回転日数,日,9.38,8.27,11.08,8.83,6.74,4.38,7.02
安全性手元流動性比率,日,30.01,27.85,23.49,27.56,21.17,18.29,22.57
安全性流動比率,％,58.23,153.03,163.24,176.71,169.39,190.93,157.94
安全性自己資本比率,％,-61.82,-10.77,22.53,23.28,26.58,38.03,16.88
安全性借入金比率,％,138.3,88.78,57.84,54.69,48.95,35.73,59.75
安全性金利負担率,％,0.76,0.31,0.17,0.21,0.12,0.01,0.15
生産性従業員一人当り売上高,万円,1852,3406,4545,5393,8369,15087,6425
生産性従業員一人当り売上総利益,万円,431,654,767,961,1152,1411,920
生産性従業員一人当り人件費,万円,290,423,500,561,581,674,517
