科目,全体(千円),水産物(千円),青果(千円),花き(千円),食肉(千円),
売上高,914281693,320281799,458849083,32970577,102180234,
期首商品棚卸高,9974554,5175387,2132286,131543,2535338,
仕入高,799606987,274616724,402588174,27307636,95094453,
期末商品棚卸高,10159515,5298171,2176312,78059,2606973,
売上原価,799422026,274493940,402544148,27361120,95022818,
売上総利益,114859667,45787859,56304935,5609457,7157416,
販売費・一般管理費,109667113,45091489,52212714,5423807,6939103,
人件費,57402110,25863859,25898748,3045001,2594502,
その他,52265003,19227630,26313966,2378806,4344601,
営業利益,5192554,696370,4092221,185650,218313,
営業外収益,7697525,2487057,4836353,72541,301574,
受取利息・配当金,364558,157357,147472,5669,54060,
雑収入,7332967,2329700,4688881,66872,247514,
営業外費用,5683415,1251578,4055333,118474,258030,
支払利息・割引料,1536243,635381,616436,72954,211472,
雑損失,4147172,616197,3438897,45520,46558,
経常利益,7206664,1931849,4873241,139717,261857,
サンプル数(社、名),982,614,301,41,26,
業者総数(社、名),1122,706,343,47,26,
