種別,卸売業者水産物(百万円),卸売業者青果(百万円),卸売業者食肉(百万円),卸売業者花き(百万円),卸売業者計(百万円),仲卸業者等仲卸業者水産物(百万円),仲卸業者等仲卸業者青果(百万円),仲卸業者等仲卸業者食肉(百万円),仲卸業者等仲卸業者花き(百万円),仲卸業者等仲卸業者計(百万円),仲卸業者等関連事業者(百万円),仲卸業者等買出人(百万円),仲卸業者等その他(百万円),仲卸業者等計(百万円),合計(百万円),合計(％),備考
売上高割使用料,1162,1338,195,223,2918,30,197,15,8,250,9,,,258,3176,27.4,
施設使用料,577,1518,212,435,2741,511,910,223,155,1799,840,204,2851,5695,8436,72.6,
施設使用料卸売業者売場,189,678,9,128,1003,,,,,,,,,,1003,8.6,
施設使用料仲卸業者売場,,,,,,388,462,25,96,972,,,,972,972,8.4,
施設使用料関連事業者営業所,,,,,,,,,,,396,,3,398,398,3.4,
施設使用料事務所,335,662,53,147,1197,103,432,46,52,632,240,6,563,1441,2637,22.7,
施設使用料事務所（買参･買出人等）,,,,,,,,,,,,135,25,160,160,1.4,
施設使用料荷さばき場,,114,4,61,179,,,,2,3,,25,256,285,464,4.0,
施設使用料作業所,,,11,,11,13,,27,,41,62,3,93,200,211,1.8,
施設使用料バナナ発酵室,,,,,,,,,,,,,25,25,25,0.2,
施設使用料買荷保管所,,,,,,,,,,,13,14,,27,27,0.2,
施設使用料倉庫,20,20,3,19,62,2,8,3,1,14,52,10,78,154,216,1.9,
施設使用料冷蔵庫,,,6,57,63,,,77,,77,4,8,366,455,517,4.5,
施設使用料冷蔵室,,,123,,123,,,45,,45,,,149,194,318,2.7,
施設使用料車両置場,,1,,,1,,,,,,,,906,906,907,7.8,
施設使用料,,,,,,,,,,,,,226,226,226,1.9,
施設使用料厚生会館,,,,,,,,,,,,,92,92,92,0.8,
施設使用料市場用地,33,44,1,23,101,5,6,1,3,16,72,2,63,153,254,2.2,
施設使用料その他,,,,,1,,,,,,,,7,8,8,0.1,
合計,1738,2856,406,658,5659,541,1107,238,164,2049,849,204,2851,5953,11611,,
合計(％),15.0,24.6,3.5,5.7,48.7,4.7,9.5,2.0,1.4,17.6,7.3,1.8,24.6,51.3,,100.0,
,,,,,,,,,,,,,,,,,※築地市場の水産卸組合、淀橋市場及び多摩NT市場の仲卸組合、食肉市場の仲卸組合が負担している売場使用料は、それぞれ水産物卸、青果仲卸、食肉仲卸へ計上した。
,,,,,,,,,,,,,,,,,※数値は単位未満を四捨五入してあるので、小計・合計数値と内訳数値の合計とは一致しない場合がある。
