科目,平成27年度（Ａ）(千円),平成27年度（Ａ）構成比(％),平成26年度（Ｂ）(千円),平成26年度（Ｂ）構成比(％),対前年度指数（Ａ/Ｂ）(％)
流動資産現金・預金,593220,35.39,591183,35.47,100.34
流動資産売掛金,715143,42.66,681374,40.88,104.96
流動資産受取手形,52508,3.13,45951,2.76,114.27
流動資産有価証券,0,0.00,0,0.00,
流動資産荷主前渡金,0,0.00,0,0.00,
流動資産（当座資産計）,1360871,81.19,1318508,79.11,103.21
流動資産商品,64216,3.83,58294,3.50,110.16
流動資産短期貸付金,0,0.00,0,0.00,
流動資産その他,36331,2.17,34794,2.09,104.42
流動資産貸倒引当金,-8458,-0.50,-7197,-0.43,
流動資産計,1452960,86.68,1404399,84.27,103.46
固定資産建物・設備等,212133,12.66,209932,12.60,101.05
固定資産減価償却累計額,-186474,-11.12,-178014,-10.68,
固定資産土地,630,0.04,630,0.04,100.00
固定資産建設仮勘定,0,0.00,0,0.00,
固定資産（有形固定資産計）,26289,1.57,32548,1.95,80.77
固定資産（無形固定資産計）,11474,0.68,12991,0.78,88.32
固定資産投資有価証券,2233,0.13,1027,0.06,217.43
固定資産子会社株式,10000,0.60,10000,0.60,100.00
固定資産出資金,1270,0.08,1270,0.08,100.00
固定資産長期貸付金,20000,1.19,20000,1.20,100.00
固定資産開設者預託保証金,6700,0.40,6700,0.40,100.00
固定資産長期前払費用,868,0.05,1022,0.06,84.93
固定資産その他,155458,9.27,176634,10.60,88.01
固定資産貸倒引当金,-11000,-0.66,0,0.00,
固定資産（投資その他の資産計）,185529,11.07,216653,13.00,85.63
固定資産計,223292,13.32,262192,15.73,85.16
繰延資産,0,0.00,0,0.00,
資産合計,1676252,100.00,1666591,100.00,100.58
流動負債受託販売未払金,0,0.00,0,0.00,
流動負債買掛金,570266,34.02,529747,31.79,107.65
流動負債支払手形,257709,15.37,245151,14.71,105.12
流動負債短期借入金,21436,1.28,28300,1.70,75.75
流動負債未払税金,9146,0.55,15508,0.93,58.98
流動負債賞与引当金,12050,0.72,4720,0.28,255.30
流動負債その他,28428,1.70,20634,1.24,137.77
流動負債計,899035,53.63,844060,50.65,106.51
固定負債長期借入金,51410,3.07,59670,3.58,86.16
固定負債退職給付引当金,25736,1.54,27937,1.68,92.12
固定負債その他,47581,2.84,41952,2.52,113.42
固定負債計,124727,7.44,129559,7.77,96.27
負債合計,1023762,61.07,973619,58.42,105.15
純資産資本金,72000,4.30,72000,4.32,100.00
純資産資本剰余金,5000,0.30,5000,0.30,100.00
純資産利益剰余金,615400,36.71,618602,37.12,99.48
純資産（うち当期純利益）,-2202,-0.13,1140,0.07,
純資産自己株式,-39910,-2.38,-2630,-0.16,
純資産その他株主資本,0,0.00,0,0.00,
純資産評価・換算差額等,0,0.00,0,0.00,
純資産新株予約権,0,0.00,0,0.00,
純資産計,652490,38.93,692972,41.58,94.16
負債・純資産合計,1676252,100.00,1666591,100.00,100.58
