年,1,23,24,25,26,27,元年比(業者),元年比(％)
全体法人(社),1400,1149,1122,1104,1089,1061,,
全体(業者),1794,1244,1212,1185,1164,1122,-672,62.5
全体個人(名),394,95,90,81,75,61,,
水産物部法人(社),885,729,706,690,678,651,,
水産物部(業者),1236,814,787,764,746,706,-530,57.1
水産物部個人(名),351,85,81,74,68,55,,
青果部法人(社),459,343,340,340,338,337,,
青果部(業者),502,353,349,347,345,343,-159,68.3
青果部個人(名),43,10,9,7,7,6,,
花き部法人(社),6,49,48,48,47,47,,
花き部(業者),6,49,48,48,47,47,41,783.3
花き部個人(名),0,0,0,0,0,0,,
食肉部法人(社),50,28,28,26,26,26,,
食肉部(業者),50,28,28,26,26,26,-24,52.0
食肉部個人(名),0,0,0,0,0,0,,
