種別,内容,単価（円）,備考
卸売業者売場,１月１m2につき,530,
仲卸業者売場,１月１m2につき,2090,
関連事業者営業所,１月１m2につき,2320,
事務所,１月１m2につき,2150,
事務所,１月１m2につき（売買参加者及び買出人団体等）,(1160),
集会所,１回（３時間以内につき）,5000,
集会所,１回（３時間以内につき）（５０m2未満）,(2000),
荷さばき場,１月１m2につき,530,
作業所,１月１m2につき,1370,
バナナ発酵室,１月１m2につき,1490,
買荷保管所,１月１m2につき,253(246),
桟橋,総トン数１トンにつき２４時間ごと,15,
倉庫,１月１m2につき,1000,
倉庫,１月１m2につき（市場で取扱う販売物品以外）,(625),
冷蔵庫,１月１ｍ3につき,1220,
冷蔵庫第１号,-40℃以下,(1190),
冷蔵庫第２号,20℃以下-30℃未満,(930),
冷蔵庫第３号,-10℃以下-20℃未満,(840),
冷蔵庫第４号,10℃以下-2℃未満,(595),
通過物,１トンにつき,10000,
通過物,生鮮水産物・その他加工品,(1330),
通過物,野菜・その他加工品,(335),
通過物,果実・その他加工品,(665),
通過物,鳥肉・鳥卵・肉類・加工品・漬物,(1330),
通過物,花き,(265),
車両置場,１月１m2につき,660,
車両置場,（売買参加者及び買出人団体等）,(355),
その他の施設,１月１m2につき,800,
その他の施設,厚生会館,(615),
その他の施設,建物工作物の敷地,(800),
その他の施設,さら地,(440),
その他の施設,その他,(190),
食肉市場作業所,１月１m2につき,715(695),
食肉市場冷蔵室,１月１m2につき,"3,990(3,890)",
食肉市場内臓取引室,１月１m2につき,950(925),
,,,※条例で規定する上限額と異なる使用料単価を規則で別に定めている場合、その単価は（）で表記した。
