種別,卸売業者水産物,卸売業者青果,卸売業者食肉,卸売業者花き,卸売業者計,仲卸業者水産物,仲卸業者青果,仲卸業者食肉,仲卸業者花き,仲卸業者計,関連事業者,買出人,その他,仲卸業者等計,合計,合計％,備考
売上高割使用料,1162,1338,195,223,2918,30,197,15,8,250,9,,,258,3176,27.4,
施設使用料,577,1518,212,435,2741,511,910,223,155,1799,840,204,2851,5695,8436,72.6,
卸売業者売場,189,678,9,128,1003,,,,,,,,,,1003,8.6,
仲卸業者売場,,,,,,388,462,25,96,972,,,,972,972,8.4,
関連事業者営業所,,,,,,,,,,,396,,3,398,398,3.4,
事務所,335,662,53,147,1197,103,432,46,52,632,240,6,563,1441,2637,22.7,
事務所(買参･買出人等),,,,,,,,,,,,135,25,160,160,1.4,
荷さばき場,,114,4,61,179,,,,2,3,,25,256,285,464,4,
作業所,,,11,,11,13,,27,,41,62,3,93,200,211,1.8,
バナナ発酵室,,,,,,,,,,,,,25,25,25,0.2,
買荷保管所,,,,,,,,,,,13,14,,27,27,0.2,
倉庫,20,20,3,19,62,2,8,3,1,14,52,10,78,154,216,1.9,
冷蔵庫,,,123,,123,,,45,,45,,,149,194,318,2.7,
車両置場,,1,,,1,,,,,,,,906,906,907,7.8,
車両置場(買参･買出人等),,,,,,,,,,,,,226,226,226,1.9,
厚生会館,,,,,,,,,,,,,92,92,92,0.8,
市場用地,33,44,1,23,101,5,6,1,3,16,72,2,63,153,254,2.2,
その他,,,,,1,,,,,,,,7,8,8,0.1,
合計,1738,2856,406,658,5659,541,1107,238,164,2049,849,204,2851,5953,11611,,
合計％,15,24.6,3.5,5.7,48.7,4.7,9.5,2,1.4,17.6,7.3,1.8,24.6,51.3,,100,
,,,,,,,,,,,,,,,,,（単位：百万円、税込）
,,,,,,,,,,,,,,,,,※築地市場の水産卸組合、淀橋市場及び多摩NT市場の仲卸組合、食肉市場の仲卸組合が負担している売場使用料は、それぞれ水産物卸、青果仲卸、食肉仲卸へ計上した。
,,,,,,,,,,,,,,,,,※数値は単位未満を四捨五入してあるので、小計・合計数値と内訳数値の合計とは一致しない場合がある。
