区分,単位,全市場23,全市場24,全市場25,全市場26,全市場27,築地市場合計23,築地市場合計24,築地市場合計25,築地市場合計26,築地市場合計27,築地市場鮮魚26,築地市場鮮魚27,築地市場大物26,築地市場大物27,築地市場特種物26,築地市場特種物27,築地市場海老26,築地市場海老27,築地市場蛸26,築地市場蛸27,築地市場北洋冷凍26,築地市場北洋冷凍27,築地市場煉製品26,築地市場煉製品27,築地市場合物26,築地市場合物27,築地市場塩干物26,築地市場塩干物27,足立市場合計23,足立市場合計24,足立市場合計25,足立市場合計26,足立市場合計27,足立市場鮮魚26,足立市場鮮魚27,足立市場大物26,足立市場大物27,足立市場特種物26,足立市場特種物27,足立市場塩干・加工品類26,足立市場塩干・加工品類27,大田市場合計23,大田市場合計24,大田市場合計25,大田市場合計26,大田市場合計27,大田市場鮮魚・大物・特種物26,大田市場鮮魚・大物・特種物27,大田市場冷凍・塩干・加工品類26,大田市場冷凍・塩干・加工品類27
集計業者数,社,657,658,652,622,614,585,590,583,553,541,140,142,187,180,91,92,29,31,5,5,32,31,26,23,20,17,23,20,47,44,45,46,46,11,12,18,16,4,4,13,14,25,24,24,23,27,18,21,5,6
経常赤字会社の割合,社,405,317,260,258,236,353,270,224,211,195,46,42,77,73,33,28,9,10,2,2,15,13,11,9,11,11,7,7,34,31,25,34,30,10,9,13,9,3,3,8,9,18,16,11,13,11,10,10,3,1
経常赤字会社の割合,％,61.64,48.18,39.88,41.48,38.44,60.34,45.76,38.42,38.16,36.04,32.86,29.58,41.18,40.56,36.26,30.43,31.03,32.26,40.00,40.00,46.88,41.94,42.31,39.13,55.00,64.71,30.43,35.00,72.34,70.45,55.56,73.91,65.22,90.91,75.00,72.22,56.25,75.00,75.00,61.54,64.29,72.00,66.67,45.83,56.52,40.74,55.56,47.62,60.00,16.67
債務超過会社の割合,社,343,337,316,295,275,303,300,279,257,238,67,61,83,77,44,40,14,16,1,2,15,15,12,10,9,7,12,10,21,20,21,22,19,6,4,8,5,2,3,6,7,19,17,16,16,18,12,14,4,4
債務超過会社の割合,％,52.21,51.22,48.47,47.43,44.79,51.79,50.85,47.86,46.47,43.99,47.86,42.96,44.39,42.78,48.35,43.48,48.28,51.61,20.00,40.00,46.88,48.39,46.15,43.48,45.00,41.18,52.17,50.00,44.68,45.45,46.67,47.83,41.30,54.55,33.33,44.44,31.25,50.00,75.00,46.15,50.00,76.00,70.83,66.67,69.57,66.67,66.67,66.67,80.00,66.67
売上高平均,万円,41726,43617,45370,46273,52163,44165,46135,48083,48740,55269,61294,70047,36656,46470,47081,44645,49686,49601,18375,16553,76940,81226,58027,70801,42342,34247,38385,56637,24618,26139,25056,22748,26173,16252,20528,25313,33851,31280,28100,22069,21687,16824,13773,17554,33988,34217,40945,41796,8944,7690
資産平均,万円,12169,12290,12482,12619,14069,12887,13005,13337,13507,15169,13076,16269,12010,14134,17151,15748,11125,12341,12746,11601,20542,21519,11603,13433,11400,11448,11245,14601,7452,7390,6200,5774,6126,2350,3868,7957,9247,4610,4822,6006,4868,4230,3705,3514,4970,5557,5967,6747,1382,1391
収益性売上総利益率,％,15.40,14.67,14.91,14.77,14.30,15.47,14.67,14.92,14.85,14.32,14.78,14.70,16.29,13.95,17.47,18.70,14.05,13.77,19.53,16.59,9.65,9.69,13.13,12.41,12.24,14.29,12.33,11.57,13.67,13.96,14.76,14.25,14.28,13.81,13.49,14.43,14.73,16.50,18.03,13.27,12.72,16.30,17.07,14.90,12.70,13.47,12.33,13.23,18.87,18.20
収益性営業利益率,％,-0.83,-0.32,0.17,0.00,0.22,-0.75,-0.27,0.22,0.08,0.28,0.39,0.57,0.46,0.23,-0.21,0.43,0.04,0.43,1.71,0.20,-0.62,-0.53,-0.07,-0.10,-1.83,-0.59,-0.44,0.01,-1.99,-1.01,-0.47,-1.53,-0.66,-1.90,-1.77,-1.51,-0.34,0.57,0.24,-1.74,-0.68,-2.31,-2.52,-1.55,-0.79,-0.57,-0.75,-0.54,-1.60,-1.11
収益性経常利益率,％,-0.44,0.10,0.55,0.40,0.60,-0.37,0.16,0.60,0.49,0.67,0.64,0.86,0.84,0.72,0.20,0.71,0.42,0.57,4.58,2.88,0.32,0.33,0.35,0.23,-1.75,-0.70,0.25,0.49,-1.68,-0.85,-0.21,-1.08,-0.39,-1.78,-1.02,-0.86,-0.14,0.40,-0.09,-1.27,-0.42,-1.06,-1.27,-0.63,-0.57,-0.25,-0.60,-0.30,-0.10,0.63
