区分,単位,3億円未満,3億円以上5億円未満,5億円以上10億円未満,10億円以上20億円未満,20億円以上,平均
集計業者数,社,35,15,22,30,33,135
経常赤字会社の割合,社,12,5,4,3,5,29
経常赤字会社の割合,％,34.29,33.33,18.18,10.00,15.15,21.48
債務超過会社の割合,社,17,6,6,4,4,37
債務超過会社の割合,％,48.57,40.00,27.27,13.33,12.12,27.41
１社当り売上高平均,万円,13673,41065,73866,140498,580633,193300
１社当り資産平均,万円,4589,7822,10807,26344,100662,34281
収益性売上総利益率,％,17.45,11.84,11.79,11.19,13.03,12.71
収益性営業利益率,％,-3.74,-0.58,0.7,0.72,1.69,1.32
収益性経常利益率,％,1.16,0.17,0.8,1,1.5,1.34
収益性総資本経常利益率,％,3.46,0.9,5.49,5.33,8.65,7.55
効率性総資本回転数,回,2.98,5.25,6.84,5.33,5.77,5.64
効率性売掛債権回転日数,日,15.71,12.02,12.88,14.3,16.69,15.94
効率性買掛債務回転日数,日,10.09,11.25,11.74,10.78,11.77,11.57
効率性商品回転日数,日,2.02,1.7,1.79,2.18,2.14,2.11
安全性手元流動性比率,日,38.38,22.87,23.63,23.03,27.12,26.35
安全性流動比率,％,194.56,164,200.99,184.18,217.13,208.95
安全性自己資本比率,％,22.18,19.42,1.88,39.67,46.24,41.33
安全性借入金比率,％,60.7,59.2,71.13,39.08,27.43,33.62
安全性金利負担率,％,0.16,0.12,0.1,0.16,0.08,0.1
生産性従業員一人当り売上高,万円,3108,6921,9559,10181,15353,12576
生産性従業員一人当り売上総利益,万円,542,819,1127,1139,2000,1598
生産性従業員一人当り人件費,万円,317,483,603,624,706,643
