科目,金額(千円),前期比(％)/構成比(％)
第１経常損益の部,,
営業損益,,
卸売業務,,
受託手数料,7335438,
（受託物品取扱額）,76321591,
買付販売損益,,
純売上高,5761906,
売上原価,5440861,
買付販売利益金額,321045,
販売利益金額,7656483,
兼業業務,,
売上高,1677465,
売上原価,1272609,
兼業業務利益,404856,
売上総利益,8061339,
販売費及び一般管理費,7647642,
売上高割使用料,208226,
面積割使用料,413254,
出荷奨励金,77237,
完納奨励金,512,
役員報酬,478543,
従業員給料手当,2987653,
福利厚生費,578491,
退職給与金,86284,
退職給付引当金繰入,3556,
役員賞与,0,
役員退職金,4000,
役員退職慰労引当金,12575,
その他人件費,540860,
運搬費,123222,
受託品事故損,30453,
交際費,32660,
減価償却費,319164,
公租公課,71673,
貸倒引当金繰入,21831,
その他,1657448,
営業利益金額,413697,
営業外損益,,
営業外収益,140686,
受取利息及び配当金,51417,
その他営業外収益,89269,
営業外費用,14328,
支払利息及び割引料,12151,
その他営業外費用,2177,
経常利益金額,540055,
第２特別損益の部,,
特別利益,3312,
固定資産売却益,0,
投資有価証券売却益,0,
貸倒引当金戻入,3312,
その他,0,
特別損失,66664,
固定資産売却損,26,
投資有価証券売却損,4485,
その他,62153,
税引前当期純利益,476703,
法人税等,181805,
法人税等調整額,9220,
当期純利益,285678,
売上高合計及び前期比受託販売,76321591,98.8
売上高合計及び前期比買付販売,5761906,167.9
売上高合計及び前期比卸売業務計,82083497,101.7
売上高合計及び前期比兼業業務,1677465,105.7
売上高合計及び前期比売上高合計,83760962,101.8
役職員の状況員数役員（常勤）(人),48,
役職員の状況員数役員（非常勤）(人),18,
役職員の状況員数営業関係従業員(人),528,
役職員の状況員数事務関係従業員(人),108,
役職員の状況員数役職員合計(人),702,
役職員の状況平均年令役員（常勤）(才),57.5,
役職員の状況平均年令役員（非常勤）(才),62.6,
役職員の状況平均年令営業関係従業員(才),39.4,
役職員の状況平均年令事務関係従業員(才),42.1,
役職員の状況平均年令役職員全体(才),41.7,
役職員の状況平均勤続年数役員（常勤）(年),20.8,
役職員の状況平均勤続年数役員（非常勤）(年),10.9,
役職員の状況平均勤続年数営業関係従業員(年),11.7,
役職員の状況平均勤続年数事務関係従業員(年),11.1,
役職員の状況平均勤続年数役職員全体(年),12.2,
卸売の相手方及び構成比仲卸業者,19166723,23.4
卸売の相手方及び構成比売買参加者,62363266,76.0
卸売の相手方及び構成比その他,553508,0.7
卸売の相手方及び構成比その他開設区域内,491894,88.9
卸売の相手方及び構成比その他開設区域外,61614,11.1
