"年度","請求内容","請求件数[件]","決定区分 公開[件]","決定区分 一部公開[件]","決定区分 非公開[件]","決定区分 不存在[件]","決定区分 存否応答拒否[件]","請求者区分 区内 個人[件]","請求者区分 区内 法人等[件]","請求者区分 区外 個人[件]","請求者区分 区外 法人等[件]","取下げ[件]"
"2016","飲食店等営業許可情報","47","8","41","0","2","0","1","8","2","36","0"
"2016","その他","128","31","87","4","12","0","27","10","35","56","9"
"2016","合計","175","39","128","4","14","0","28","18","37","92","9"
"2017","飲食店等営業許可情報","72","16","54","0","5","0","3","9","13","47","2"
"2017","その他","80","17","55","2","5","0","11","18","32","19","5"
"2017","合計","152","33","109","2","10","0","14","27","45","66","7"
"2018","飲食店等営業許可情報","42","4","39","0","0","0","0","8","1","33","0"
"2018","その他","123","43","69","3","17","1","26","17","41","39","3"
"2018","合計","165","47","108","3","17","1","26","25","42","72","3"
"2019","飲食店等営業許可情報","55","2","53","0","2","0","0","5","4","46","1"
"2019","その他","160","65","76","3","24","0","39","31","36","53","5"
"2019","合計","215","67","129","3","26","0","39","36","40","99","6"
"2020","飲食店等営業許可情報","52","7","46","0","2","0","0","6","4","42","0"
"2020","その他","187","77","84","10","55","0","43","52","54","38","4"
"2020","合計","239","84","130","10","57","0","43","58","58","80","4"

"令和3年度港区行政資料集　情報公開制度実施状況","Ver202103",,,,,,,,,,,
