男女・年,15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち正規の職員・従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員／うちパート･アルバイト（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
実数／男女計／平成23年平均,11694,7420,7062,6899,5925,177,797,162,572,120,6330,   －,   －,   －,358,4270,798,1817,1655,63.5,60.4,4.8
実数／男女計／平成24年平均,11730,7406,7070,6905,5946,180,780,165,563,107,6358,   －,   －,   －,336,4321,776,1777,1769,63.1,60.3,4.5
実数／男女計／平成25年平均,11776,7475,7163,6992,6011,182,798,172,578,111,6432,3742,2164,1391,312,4294,749,1682,1863,63.5,60.8,4.2
実数／男女計／平成26年平均,11840,7599,7312,7117,6110,202,805,195,571,102,6594,3820,2228,1404,287,4236,737,1605,1893,64.2,61.8,3.8
実数／男女計／平成27年平均,11925,7675,7400,7203,6175,209,820,196,553,99,6701,3916,2250,1459,275,4245,723,1600,1922,64.4,62.1,3.6
実数／男女計／平成28年平均,12065,7768,7517,7329,6275,237,817,188,534,94,6843,4058,2248,1481,251,4292,734,1558,2000,64.4,62.3,3.2
実数／男女計／平成29年平均,12158,7908,7682,7467,6400,244,824,214,552,89,6997,4169,2281,1497,226,4244,744,1521,1979,65,63.2,2.9
実数／男女計／平成30年平均,12251,8133,7922,7678,6497,288,893,244,584,91,7180,4292,2386,1622,211,4110,690,1453,1968,66.4,64.7,2.6
実数／男女計／平成31年・令和元年平均,12343,8254,8061,7813,6620,313,880,248,608,80,7312,4397,2417,1619,193,4077,683,1375,2018,66.9,65.3,2.3
実数／男女計／令和２年平均,12409,8362,8104,7719,6612,274,833,385,610,76,7373,4513,2352,1541,258,4039,651,1298,2089,67.4,65.3,3.1
実数／男女計／令和３年平均,12386,8397,8146,7844,6729,268,847,302,585,82,7422,4569,2317,1534,252,3979,654,1294,2030,67.8,65.8,3
実数／男／平成23年平均,5756,4336,4122,4050,3906,89,55,72,412,19,3672,   －,   －,   －,214,1418,433,64,920,75.3,71.6,4.9
実数／男／平成24年平均,5768,4328,4130,4057,3899,93,65,72,409,20,3679,   －,   －,   －,198,1439,425,63,951,75,71.6,4.6
実数／男／平成25年平均,5787,4315,4130,4060,3905,90,64,70,414,22,3674,2502,764,387,185,1468,418,64,986,74.6,71.4,4.3
実数／男／平成26年平均,5815,4353,4183,4112,3947,100,65,71,396,18,3745,2538,787,389,170,1459,410,68,981,74.9,71.9,3.9
実数／男／平成27年平均,5853,4401,4232,4155,3983,107,65,77,394,17,3792,2595,789,403,169,1449,387,74,988,75.2,72.3,3.8
実数／男／平成28年平均,5920,4429,4288,4226,4041,118,67,62,379,22,3859,2672,774,403,142,1489,389,70,1030,74.8,72.4,3.2
実数／男／平成29年平均,5962,4466,4332,4261,4074,118,70,71,384,17,3909,2720,770,412,134,1494,399,72,1022,74.9,72.7,3
実数／男／平成30年平均,6000,4542,4418,4337,4107,147,82,81,405,16,3959,2772,814,462,123,1456,370,70,1016,75.7,73.6,2.7
実数／男／平成31年・令和元年平均,6040,4584,4470,4385,4151,154,80,86,425,17,3997,2784,839,462,113,1449,368,71,1010,75.9,74,2.5
実数／男／令和２年平均,6067,4638,4485,4339,4114,137,88,146,422,12,4028,2817,817,443,153,1426,363,71,991,76.4,73.9,3.3
実数／男／令和３年平均,6046,4628,4471,4361,4139,121,100,111,406,13,4022,2819,789,428,157,1413,358,79,976,76.5,73.9,3.4
実数／女／平成23年平均,5938,3084,2940,2849,2019,89,741,91,160,101,2658,   －,   －,   －,144,2853,365,1753,735,51.9,49.5,4.7
実数／女／平成24年平均,5962,3078,2940,2848,2047,86,715,92,154,87,2680,   －,   －,   －,138,2883,351,1714,818,51.6,49.3,4.5
実数／女／平成25年平均,5989,3160,3033,2932,2106,92,733,101,164,90,2757,1240,1400,1004,127,2826,330,1618,877,52.8,50.6,4
実数／女／平成26年平均,6026,3247,3129,3005,2163,102,740,124,174,84,2849,1282,1441,1015,117,2776,328,1537,912,53.9,51.9,3.6
実数／女／平成27年平均,6072,3274,3168,3048,2192,102,755,119,159,82,2909,1321,1461,1056,106,2796,336,1526,934,53.9,52.2,3.2
実数／女／平成28年平均,6144,3338,3229,3103,2234,119,750,126,155,72,2984,1386,1473,1078,110,2804,345,1489,970,54.3,52.6,3.3
実数／女／平成29年平均,6197,3442,3349,3206,2326,126,754,143,168,72,3088,1450,1511,1084,92,2750,345,1449,957,55.5,54,2.7
実数／女／平成30年平均,6250,3591,3504,3341,2390,140,811,163,180,75,3221,1521,1572,1160,87,2654,319,1383,951,57.5,56.1,2.4
実数／女／平成31年・令和元年平均,6303,3670,3590,3428,2469,159,800,162,183,63,3315,1614,1579,1157,80,2627,315,1304,1008,58.2,57,2.2
実数／女／令和２年平均,6342,3724,3619,3380,2498,137,744,239,188,64,3346,1697,1535,1098,105,2613,288,1227,1098,58.7,57.1,2.8
実数／女／令和３年平均,6340,3769,3674,3483,2590,147,746,191,179,69,3400,1750,1528,1107,95,2566,297,1215,1054,59.4,57.9,2.5
対前年増減数／男女計／平成23年平均,306,303,334,333,309,-11,35,-1,1,1,335,   －,   －,   －,-31,7,4,72,-69,1,1.3,-0.7
対前年増減数／男女計／平成24年平均,36,-14,8,6,21,3,-17,3,-9,-13,28,   －,   －,   －,-22,51,-22,-40,114,-0.4,-0.1,-0.3
対前年増減数／男女計／平成25年平均,46,69,93,87,65,2,18,7,15,4,74,   －,   －,   －,-24,-27,-27,-95,94,0.4,0.5,-0.3
対前年増減数／男女計／平成26年平均,64,124,149,125,99,20,7,23,-7,-9,162,78,64,13,-25,-58,-12,-77,30,0.7,1,-0.4
対前年増減数／男女計／平成27年平均,85,76,88,86,65,7,15,1,-18,-3,107,96,22,55,-12,9,-14,-5,29,0.2,0.3,-0.2
対前年増減数／男女計／平成28年平均,140,93,117,126,100,28,-3,-8,-19,-5,142,142,-2,22,-24,47,11,-42,78,0,0.2,-0.4
