年・期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成30年平均,401,662,707,350,1233,296,227,400,498,228,330,773,601
実数／男女計／平成31年・令和元年平均,387,666,761,330,1239,300,229,413,479,237,373,780,638
実数／男女計／令和２年平均,359,664,792,352,1217,341,260,420,430,221,417,796,636
実数／男女計／平成31年・令和元年７～９月平均,407,692,770,322,1245,290,229,404,525,239,391,780,655
実数／男女計／平成31年・令和元年10～12月平均,400,634,758,318,1226,350,237,410,513,240,370,784,604
実数／男女計／令和２年１～３月平均,341,633,801,372,1233,273,260,398,447,258,379,845,619
実数／男女計／令和２年４～６月平均,349,610,740,357,1226,388,232,448,377,181,436,801,625
実数／男女計／令和２年７～９月平均,350,685,815,344,1171,368,288,386,430,218,427,754,641
実数／男女計／令和２年10～12月平均,395,726,811,336,1239,335,260,446,465,226,424,783,658
実数／男女計／令和３年１～３月平均,384,664,799,391,1251,292,254,443,399,245,413,829,562
実数／男女計／令和３年４～６月平均,368,636,827,331,1193,354,229,394,386,201,417,833,637
実数／男女計／令和３年７～９月平均,311,670,844,351,1211,375,264,478,419,174,436,817,613
実数／男女計／令和３年10～12月平均,373,647,899,425,1201,368,283,441,439,210,393,827,652
実数／男／平成30年平均,322,477,502,272,617,132,135,249,222,84,147,195,338
実数／男／平成31年・令和元年平均,301,471,516,254,612,151,132,258,214,93,162,186,363
実数／男／令和２年平均,284,463,537,263,600,166,147,259,193,99,180,187,365
実数／男／平成31年・令和元年７～９月平均,323,495,522,249,610,154,135,263,237,93,155,187,383
実数／男／平成31年・令和元年10～12月平均,318,433,532,244,616,192,126,252,226,87,181,193,326
実数／男／令和２年１～３月平均,263,436,546,272,600,133,153,246,203,97,185,206,354
実数／男／令和２年４～６月平均,269,440,486,275,610,194,124,280,176,99,176,184,366
実数／男／令和２年７～９月平均,282,487,569,253,589,176,164,235,187,102,178,166,374
実数／男／令和２年10～12月平均,320,490,548,251,600,163,148,278,205,100,183,191,367
実数／男／令和３年１～３月平均,295,464,546,281,596,150,163,266,174,100,190,217,320
実数／男／令和３年４～６月平均,281,454,562,249,610,173,135,233,171,94,153,194,351
実数／男／令和３年７～９月平均,246,469,584,262,606,170,151,280,170,75,195,177,331
実数／男／令和３年10～12月平均,293,456,606,324,595,175,164,263,185,77,176,184,379
実数／女／平成30年平均,80,185,205,78,617,164,92,150,277,144,183,579,263
実数／女／平成31年・令和元年平均,85,195,244,76,627,149,97,155,264,144,211,593,275
実数／女／令和２年平均,75,200,254,89,618,175,113,160,237,121,236,609,271
実数／女／平成31年・令和元年７～９月平均,84,197,247,73,634,136,95,142,288,146,236,594,271
実数／女／平成31年・令和元年10～12月平均,82,201,227,74,611,158,110,157,287,153,189,591,277
実数／女／令和２年１～３月平均,79,197,255,100,633,141,108,153,245,161,194,639,265
実数／女／令和２年４～６月平均,79,170,254,81,616,194,108,169,202,82,261,617,259
実数／女／令和２年７～９月平均,68,198,246,91,583,192,124,151,243,115,249,589,267
実数／女／令和２年10～12月平均,75,236,263,85,639,172,112,168,259,126,241,591,291
実数／女／令和３年１～３月平均,90,200,252,110,655,142,91,176,225,145,223,612,242
実数／女／令和３年４～６月平均,88,182,265,82,583,181,94,162,215,107,264,639,286
実数／女／令和３年７～９月平均,66,201,260,89,605,204,113,199,248,98,241,640,282
実数／女／令和３年10～12月平均,80,191,293,101,606,193,120,178,254,133,217,642,273
対前年・対前年同期増減数／男女計／平成30年平均,27,-21,18,5,39,-29,-3,19,43,16,-8,12,38
対前年・対前年同期増減数／男女計／平成31年・令和元年平均,-14,4,54,-20,6,4,2,13,-19,9,43,7,37
対前年・対前年同期増減数／男女計／令和２年平均,-28,-2,31,22,-22,41,31,7,-49,-16,44,16,-2
対前年・対前年同期増減数／男女計／平成31年・令和元年７～９月平均,-1,81,75,-46,-81,25,-1,-14,5,27,55,-10,89
対前年・対前年同期増減数／男女計／平成31年・令和元年10～12月平均,9,-16,67,-16,43,68,-12,40,-9,-10,45,-30,-22
対前年・対前年同期増減数／男女計／令和２年１～３月平均,-25,-54,11,28,31,19,22,-2,18,35,15,75,-56
対前年・対前年同期増減数／男女計／令和２年４～６月平均,-24,-41,15,21,-58,83,20,12,-70,-65,70,17,7
対前年・対前年同期増減数／男女計／令和２年７～９月平均,-57,-7,45,22,-74,78,59,-18,-95,-21,36,-26,-14
対前年・対前年同期増減数／男女計／令和２年10～12月平均,-5,92,53,18,13,-15,23,36,-48,-14,54,-1,54
対前年・対前年同期増減数／男女計／令和３年１～３月平均,43,31,-2,19,18,19,-6,45,-48,-13,34,-16,-57
対前年・対前年同期増減数／男女計／令和３年４～６月平均,19,26,87,-26,-33,-34,-3,-54,9,20,-19,32,12
対前年・対前年同期増減数／男女計／令和３年７～９月平均,-39,-15,29,7,40,7,-24,92,-11,-44,9,63,-28
対前年・対前年同期増減数／男女計／令和３年10～12月平均,-22,-79,88,89,-38,33,23,-5,-26,-16,-31,44,-6
対前年・対前年同期増減数／男／平成30年平均,19,-5,14,3,23,-27,-4,17,15,-4,2,-9,19
対前年・対前年同期増減数／男／平成31年・令和元年平均,-21,-6,14,-18,-5,19,-3,9,-8,9,15,-9,25
対前年・対前年同期増減数／男／令和２年平均,-17,-8,21,9,-12,15,15,1,-21,6,18,1,2
対前年・対前年同期増減数／男／平成31年・令和元年７～９月平均,-15,39,35,-33,-69,31,0,-17,-1,25,14,3,71
対前年・対前年同期増減数／男／平成31年・令和元年10～12月平均,10,-22,26,-21,28,69,-20,21,-8,0,19,-20,-36
対前年・対前年同期増減数／男／令和２年１～３月平均,-13,-58,13,3,3,35,9,5,0,16,39,25,-27
対前年・対前年同期増減数／男／令和２年４～６月平均,-19,-21,8,20,-15,34,1,4,-14,-11,12,-1,5
対前年・対前年同期増減数／男／令和２年７～９月平均,-41,-8,47,4,-21,22,29,-28,-50,9,23,-21,-9
対前年・対前年同期増減数／男／令和２年10～12月平均,2,57,16,7,-16,-29,22,26,-21,13,2,-2,41
対前年・対前年同期増減数／男／令和３年１～３月平均,32,28,0,9,-4,17,10,20,-29,3,5,11,-34
対前年・対前年同期増減数／男／令和３年４～６月平均,12,14,76,-26,0,-21,11,-47,-5,-5,-23,10,-15
対前年・対前年同期増減数／男／令和３年７～９月平均,-36,-18,15,9,17,-6,-13,45,-17,-27,17,11,-43
対前年・対前年同期増減数／男／令和３年10～12月平均,-27,-34,58,73,-5,12,16,-15,-20,-23,-7,-7,12
対前年・対前年同期増減数／女／平成30年平均,9,-16,4,2,17,-3,1,0,28,19,-10,23,20
対前年・対前年同期増減数／女／平成31年・令和元年平均,5,10,39,-2,10,-15,5,5,-13,0,28,14,12
対前年・対前年同期増減数／女／令和２年平均,-10,5,10,13,-9,26,16,5,-27,-23,25,16,-4
対前年・対前年同期増減数／女／平成31年・令和元年７～９月平均,14,41,39,-12,-13,-6,0,4,5,2,41,-11,18
対前年・対前年同期増減数／女／平成31年・令和元年10～12月平均,-1,6,42,5,16,-1,7,18,-2,-10,27,-10,13
対前年・対前年同期増減数／女／令和２年１～３月平均,-11,4,-2,25,28,-14,14,-6,18,19,-24,50,-28
対前年・対前年同期増減数／女／令和２年４～６月平均,-6,-20,8,0,-43,49,20,9,-54,-55,59,18,2
対前年・対前年同期増減数／女／令和２年７～９月平均,-16,1,-1,18,-51,56,29,9,-45,-31,13,-5,-4
対前年・対前年同期増減数／女／令和２年10～12月平均,-7,35,36,11,28,14,2,11,-28,-27,52,0,14
対前年・対前年同期増減数／女／令和３年１～３月平均,11,3,-3,10,22,1,-17,23,-20,-16,29,-27,-23
対前年・対前年同期増減数／女／令和３年４～６月平均,9,12,11,1,-33,-13,-14,-7,13,25,3,22,27
対前年・対前年同期増減数／女／令和３年７～９月平均,-2,3,14,-2,22,12,-11,48,5,-17,-8,51,15
対前年・対前年同期増減数／女／令和３年10～12月平均,5,-45,30,16,-33,21,8,10,-5,7,-24,51,-18
,,,,,,,,,,,,,
東京の労働力統計データ（令和３年10～12月期平均）,,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,,
