男女・年,正規／総数（千人）,正規／15～24歳（千人）,正規／25～34歳（千人）,正規／35～44歳（千人）,正規／45～54歳（千人）,正規／55～64歳（千人）,正規／65歳以上（千人）,非正規／総数（千人）,非正規／15～24歳（千人）,非正規／25～34歳（千人）,非正規／35～44歳（千人）,非正規／45～54歳（千人）,非正規／55～64歳（千人）,非正規／65歳以上（千人）
実数／男女計／平成29年平均,4169,290,1144,1170,1005,455,107,2281,333,363,397,478,391,320
実数／男女計／平成30年平均,4292,302,1183,1167,1066,465,109,2386,390,326,416,487,403,364
実数／男女計／平成31年・令和元年平均,4397,298,1221,1170,1103,500,106,2417,410,323,406,493,405,380
実数／男女計／令和２年平均,4513,292,1268,1175,1116,536,127,2352,394,306,363,504,404,380
実数／男女計／令和３年平均,4569,296,1304,1169,1107,568,127,2317,362,290,356,498,406,404
実数／男／平成29年平均,2720,148,677,788,710,333,64,770,153,134,93,86,135,169
実数／男／平成30年平均,2772,145,682,780,758,338,69,814,190,126,100,76,137,185
実数／男／平成31年・令和元年平均,2784,145,694,766,750,360,68,839,194,130,99,89,134,193
実数／男／令和２年平均,2817,130,705,752,766,383,81,817,190,122,91,93,128,192
実数／男／令和３年平均,2819,135,709,733,763,399,80,789,167,117,91,83,133,198
実数／女／平成29年平均,1450,142,467,382,294,122,43,1511,180,229,303,391,257,151
実数／女／平成30年平均,1521,157,502,387,308,126,40,1572,199,201,316,411,266,179
実数／女／平成31年・令和元年平均,1614,153,527,404,352,140,38,1579,216,193,307,404,271,187
実数／女／令和２年平均,1697,162,563,423,350,152,46,1535,203,184,272,411,275,189
実数／女／令和３年平均,1750,161,595,436,343,169,47,1528,195,173,265,414,274,206
対前年増減数／男女計／平成30年平均,123,12,39,-3,61,10,2,105,57,-37,19,9,12,44
対前年増減数／男女計／平成31年・令和元年平均,105,-4,38,3,37,35,-3,31,20,-3,-10,6,2,16
対前年増減数／男女計／令和２年平均,116,-6,47,5,13,36,21,-65,-16,-17,-43,11,-1,0
対前年増減数／男女計／令和３年平均,56,4,36,-6,-9,32,0,-35,-32,-16,-7,-6,2,24
対前年増減数／男／平成30年平均,52,-3,5,-8,48,5,5,44,37,-8,7,-10,2,16
対前年増減数／男／平成31年・令和元年平均,12,0,12,-14,-8,22,-1,25,4,4,-1,13,-3,8
対前年増減数／男／令和２年平均,33,-15,11,-14,16,23,13,-22,-4,-8,-8,4,-6,-1
対前年増減数／男／令和３年平均,2,5,4,-19,-3,16,-1,-28,-23,-5,0,-10,5,6
対前年増減数／女／平成30年平均,71,15,35,5,14,4,-3,61,19,-28,13,20,9,28
対前年増減数／女／平成31年・令和元年平均,93,-4,25,17,44,14,-2,7,17,-8,-9,-7,5,8
対前年増減数／女／令和２年平均,83,9,36,19,-2,12,8,-44,-13,-9,-35,7,4,2
対前年増減数／女／令和３年平均,53,-1,32,13,-7,17,1,-7,-8,-11,-7,3,-1,17
,,,,,,,,,,,,,,
東京の労働力統計データ（令和３年平均）,,,,,,,,,,,,,,
第８表　年齢階級、雇用形態別の役員を除く雇用者数,,,,,,,,,,,,,,
注）正規：正規の職員･従業員,,,,,,,,,,,,,,
注）非正規：非正規の職員･従業員,,,,,,,,,,,,,,
