区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12406,12432,-26,-0.2,6055,6079,-24,-0.4,6351,6353,-2,0
〔就業状態〕／労働力人口,8343,8398,-55,-0.7,4595,4633,-38,-0.8,3748,3765,-17,-0.5
〔就業状態〕／労働力人口／就業者数,8027,8127,-100,-1.2,4386,4468,-82,-1.8,3641,3659,-18,-0.5
〔就業状態〕／労働力人口／就業者数／自営業主数,586,745,-159,-21.3,407,469,-62,-13.2,179,276,-97,-35.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,79,65,14,21.5,7,8,-1,-12.5,72,57,15,26.3
〔就業状態〕／労働力人口／就業者数／雇用者数,7292,7249,43,0.6,3934,3961,-27,-0.7,3358,3288,70,2.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4489,4489,0,0,2759,2772,-13,-0.5,1730,1718,12,0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2263,2247,16,0.7,748,788,-40,-5.1,1516,1460,56,3.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1467,1409,58,4.1,377,398,-21,-5.3,1091,1011,80,7.9
〔就業状態〕／労働力人口／完全失業者数,316,271,45,16.6,209,165,44,26.7,107,106,1,0.9
〔就業状態〕／非労働力人口,4053,4027,26,0.6,1455,1442,13,0.9,2599,2585,14,0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）,8027,8127,-100,-1.2,4386,4468,-82,-1.8,3641,3659,-18,-0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7753,7429,324,4.4,4292,4193,99,2.4,3462,3236,226,7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6703,6426,277,4.3,4106,3979,127,3.2,2596,2447,149,6.1
