男女・年,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成29年平均,434,716,724,367,1272,327,257,515,515,271,372,803,606,503
実数／男女計／平成30年平均,466,691,747,377,1304,298,256,546,567,285,368,809,650,557
実数／男女計／平成31年・令和元年平均,457,728,795,355,1292,301,260,542,540,298,408,819,703,564
実数／男女計／令和２年平均,429,711,830,374,1273,343,305,547,481,273,455,839,711,533
実数／男女計／令和３年平均,418,679,890,398,1279,350,295,564,474,269,453,874,666,537
実数／男／平成29年平均,359,500,513,290,638,160,154,315,239,116,155,230,348,313
実数／男／平成30年平均,380,496,530,298,659,133,149,344,258,106,155,218,370,321
実数／男／平成31年・令和元年平均,365,509,544,278,644,152,152,340,251,122,169,212,405,330
実数／男／令和２年平均,346,489,567,284,629,168,172,341,221,125,193,214,419,318
実数／男／令和３年平均,332,477,609,301,636,169,173,339,211,116,194,221,380,314
実数／女／平成29年平均,75,215,211,77,634,168,103,200,276,155,217,573,258,188
実数／女／平成30年平均,86,196,217,78,645,165,107,202,310,178,213,592,280,237
実数／女／平成31年・令和元年平均,93,220,251,77,648,149,109,202,289,176,239,607,298,234
実数／女／令和２年平均,83,221,263,91,644,176,133,206,260,148,263,625,292,215
実数／女／令和３年平均,86,202,281,97,644,181,122,225,263,153,259,653,286,223
対前年増減数／男女計／平成30年平均,32,-25,23,10,32,-29,-1,31,52,14,-4,6,44,54
対前年増減数／男女計／平成31年・令和元年平均,-9,37,48,-22,-12,3,4,-4,-27,13,40,10,53,7
対前年増減数／男女計／令和２年平均,-28,-17,35,19,-19,42,45,5,-59,-25,47,20,8,-31
対前年増減数／男女計／令和３年平均,-11,-32,60,24,6,7,-10,17,-7,-4,-2,35,-45,4
対前年増減数／男／平成30年平均,21,-4,17,8,21,-27,-5,29,19,-10,0,-12,22,8
対前年増減数／男／平成31年・令和元年平均,-15,13,14,-20,-15,19,3,-4,-7,16,14,-6,35,9
対前年増減数／男／令和２年平均,-19,-20,23,6,-15,16,20,1,-30,3,24,2,14,-12
対前年増減数／男／令和３年平均,-14,-12,42,17,7,1,1,-2,-10,-9,1,7,-39,-4
対前年増減数／女／平成30年平均,11,-19,6,1,11,-3,4,2,34,23,-4,19,22,49
対前年増減数／女／平成31年・令和元年平均,7,24,34,-1,3,-16,2,0,-21,-2,26,15,18,-3
対前年増減数／女／令和２年平均,-10,1,12,14,-4,27,24,4,-29,-28,24,18,-6,-19
対前年増減数／女／令和３年平均,3,-19,18,6,0,5,-11,19,3,5,-4,28,-6,8
,,,,,,,,,,,,,,
東京の労働力統計データ（令和３年平均）,,,,,,,,,,,,,,
第４表　主な産業別就業者数,,,,,,,,,,,,,,
