区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12383,12429,-46,-0.4,6044,6075,-31,-0.5,6339,6354,-15,-0.2
〔就業状態〕／労働力人口,8399,8313,86,1,4623,4660,-37,-0.8,3777,3653,124,3.4
〔就業状態〕／労働力人口／就業者数,8140,8022,118,1.5,4459,4499,-40,-0.9,3681,3522,159,4.5
〔就業状態〕／労働力人口／就業者数／自営業主数,574,546,28,5.1,411,396,15,3.8,163,150,13,8.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,83,87,-4,-4.6,11,20,-9,-45,72,67,5,7.5
〔就業状態〕／労働力人口／就業者数／雇用者数,7430,7357,73,1,4006,4066,-60,-1.5,3425,3291,134,4.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4598,4541,57,1.3,2801,2818,-17,-0.6,1797,1723,74,4.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2337,2283,54,2.4,821,829,-8,-1,1516,1454,62,4.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1547,1467,80,5.5,438,468,-30,-6.4,1110,999,111,11.1
〔就業状態〕／労働力人口／完全失業者数,259,291,-32,-11,163,161,2,1.2,96,131,-35,-26.7
〔就業状態〕／非労働力人口,3977,4106,-129,-3.1,1419,1411,8,0.6,2558,2694,-136,-5
〔就業者の活動状況別内訳〕／就業者数（再掲）,8140,8022,118,1.5,4459,4499,-40,-0.9,3681,3522,159,4.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7821,7735,86,1.1,4336,4375,-39,-0.9,3485,3359,126,3.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6747,6655,92,1.4,4136,4144,-8,-0.2,2611,2511,100,4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,244,279,-35,-12.5,105,142,-37,-26.1,139,137,2,1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,830,800,30,3.8,95,90,5,5.6,735,711,24,3.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,319,287,32,11.1,123,124,-1,-0.8,196,163,33,20.2
〔就業者の主な産業別内訳〕／建設業,384,421,-37,-8.8,312,348,-36,-10.3,73,74,-1,-1.4
〔就業者の主な産業別内訳〕／製造業,690,702,-12,-1.7,485,497,-12,-2.4,205,205,0,0
〔就業者の主な産業別内訳〕／情報通信業,881,854,27,3.2,614,599,15,2.5,267,255,12,4.7
