年,男女計／１～29人（千人）,男女計／30～499人（千人）,男女計／500人以上（千人）,男／１～29人（千人）,男／30～499人（千人）,男／500人以上（千人）,女／１～29人（千人）,女／30～499人（千人）,女／500人以上（千人）
実数／平成23年平均,1783,1991,2045,1018,1112,1237,765,879,808
実数／平成24年平均,1746,1968,2105,1010,1104,1250,736,863,855
実数／平成25年平均,1717,2001,2167,967,1121,1296,750,881,872
実数／平成26年平均,1726,2022,2296,959,1131,1370,767,891,926
実数／平成27年平均,1717,2062,2379,961,1131,1405,756,931,974
実数／平成28年平均,1704,2108,2474,953,1144,1444,750,964,1030
実数／平成29年平均,1720,2111,2573,949,1139,1498,772,972,1075
実数／平成30年平均,1737,2164,2699,960,1163,1532,777,1001,1167
実数／平成31年・令和元年平均,1744,2201,2767,929,1197,1553,815,1004,1214
実数／令和２年平均,1681,2234,2836,909,1195,1594,772,1039,1242
実数／令和３年平均,1667,2231,2918,877,1196,1639,790,1035,1279
対前年増減数／平成24年平均,-37,-23,60,-8,-8,13,-29,-16,47
対前年増減数／平成25年平均,-29,33,62,-43,17,46,14,18,17
対前年増減数／平成26年平均,9,21,129,-8,10,74,17,10,54
対前年増減数／平成27年平均,-9,40,83,2,0,35,-11,40,48
対前年増減数／平成28年平均,-13,46,95,-8,13,39,-6,33,56
対前年増減数／平成29年平均,16,3,99,-4,-5,54,22,8,45
対前年増減数／平成30年平均,17,53,126,11,24,34,5,29,92
対前年増減数／平成31年・令和元年平均,7,37,68,-31,34,21,38,3,47
対前年増減数／令和２年平均,-63,33,69,-20,-2,41,-43,35,28
対前年増減数／令和３年平均,-14,-3,82,-32,1,45,18,-4,37
,,,,,,,,,
東京の労働力統計データ（令和３年平均）,,,,,,,,,
第7表　企業の従業者規模別非農林業雇用者数,,,,,,,,,
