区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,12386,12409,-23,-0.2,6046,6067,-21,-0.3,6340,6342,-2,0
〔就業状態〕／労働力人口,8397,8362,35,0.4,4628,4638,-10,-0.2,3769,3724,45,1.2
〔就業状態〕／労働力人口／就業者数,8146,8104,42,0.5,4471,4485,-14,-0.3,3674,3619,55,1.5
〔就業状態〕／労働力人口／就業者数／自営業主数,585,610,-25,-4.1,406,422,-16,-3.8,179,188,-9,-4.8
〔就業状態〕／労働力人口／就業者数／家族従業者数,82,76,6,7.9,13,12,1,8.3,69,64,5,7.8
〔就業状態〕／労働力人口／就業者数／雇用者数,7422,7373,49,0.7,4022,4028,-6,-0.1,3400,3346,54,1.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4569,4513,56,1.2,2819,2817,2,0.1,1750,1697,53,3.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2317,2352,-35,-1.5,789,817,-28,-3.4,1528,1535,-7,-0.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1534,1541,-7,-0.5,428,443,-15,-3.4,1107,1098,9,0.8
〔就業状態〕／労働力人口／完全失業者数,252,258,-6,-2.3,157,153,4,2.6,95,105,-10,-9.5
〔就業状態〕／非労働力人口,3979,4039,-60,-1.5,1413,1426,-13,-0.9,2566,2613,-47,-1.8
〔就業者の活動状況別内訳〕／就業者数（再掲）,8146,8104,42,0.5,4471,4485,-14,-0.3,3674,3619,55,1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7844,7719,125,1.6,4361,4339,22,0.5,3483,3380,103,3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6729,6612,117,1.8,4139,4114,25,0.6,2590,2498,92,3.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,268,274,-6,-2.2,121,137,-16,-11.7,147,137,10,7.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,847,833,14,1.7,100,88,12,13.6,746,744,2,0.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,302,385,-83,-21.6,111,146,-35,-24,191,239,-48,-20.1
〔就業者の主な産業別内訳〕／建設業,418,429,-11,-2.6,332,346,-14,-4,86,83,3,3.6
〔就業者の主な産業別内訳〕／製造業,679,711,-32,-4.5,477,489,-12,-2.5,202,221,-19,-8.6
〔就業者の主な産業別内訳〕／情報通信業,890,830,60,7.2,609,567,42,7.4,281,263,18,6.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,398,374,24,6.4,301,284,17,6,97,91,6,6.6
〔就業者の主な産業別内訳〕／卸売業，小売業,1279,1273,6,0.5,636,629,7,1.1,644,644,0,0
〔就業者の主な産業別内訳〕／金融業，保険業,350,343,7,2,169,168,1,0.6,181,176,5,2.8
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,295,305,-10,-3.3,173,172,1,0.6,122,133,-11,-8.3
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,564,547,17,3.1,339,341,-2,-0.6,225,206,19,9.2
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,474,481,-7,-1.5,211,221,-10,-4.5,263,260,3,1.2
