区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12381,12384,-3,0,6045,6060,-15,-0.2,6337,6324,13,0.2
〔就業状態〕／労働力人口,8330,8262,68,0.8,4611,4568,43,0.9,3719,3694,25,0.7
〔就業状態〕／労働力人口／就業者数,8102,8049,53,0.7,4475,4433,42,0.9,3627,3616,11,0.3
〔就業状態〕／労働力人口／就業者数／自営業主数,579,587,-8,-1.4,398,420,-22,-5.2,181,168,13,7.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,86,66,20,30.3,16,8,8,100,70,58,12,20.7
〔就業状態〕／労働力人口／就業者数／雇用者数,7380,7354,26,0.4,4035,3984,51,1.3,3346,3370,-24,-0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4510,4382,128,2.9,2820,2804,16,0.6,1690,1577,113,7.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2296,2505,-209,-8.3,778,827,-49,-5.9,1519,1678,-159,-9.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1546,1687,-141,-8.4,436,465,-29,-6.2,1109,1222,-113,-9.2
〔就業状態〕／労働力人口／完全失業者数,229,213,16,7.5,136,135,1,0.7,92,78,14,17.9
〔就業状態〕／非労働力人口,4035,4114,-79,-1.9,1425,1488,-63,-4.2,2610,2626,-16,-0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）,8102,8049,53,0.7,4475,4433,42,0.9,3627,3616,11,0.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7753,7732,21,0.3,4341,4324,17,0.4,3411,3408,3,0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6609,6554,55,0.8,4109,4105,4,0.1,2501,2450,51,2.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,268,289,-21,-7.3,131,144,-13,-9,137,145,-8,-5.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,876,888,-12,-1.4,102,76,26,34.2,774,813,-39,-4.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,349,317,32,10.1,133,109,24,22,216,208,8,3.8
〔就業者の主な産業別内訳〕／建設業,441,415,26,6.3,348,325,23,7.1,92,90,2,2.2
〔就業者の主な産業別内訳〕／製造業,694,682,12,1.8,482,464,18,3.9,212,217,-5,-2.3
〔就業者の主な産業別内訳〕／情報通信業,861,831,30,3.6,586,570,16,2.8,275,261,14,5.4
〔就業者の主な産業別内訳〕／運輸業，郵便業,417,397,20,5,304,294,10,3.4,113,103,10,9.7
〔就業者の主な産業別内訳〕／卸売業，小売業,1313,1284,29,2.3,628,632,-4,-0.6,685,652,33,5.1
〔就業者の主な産業別内訳〕／金融業，保険業,297,275,22,8,153,133,20,15,144,142,2,1.4
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,287,299,-12,-4,181,177,4,2.3,106,122,-16,-13.1
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,544,523,21,4,328,323,5,1.5,217,200,17,8.5
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,467,499,-32,-6.4,214,233,-19,-8.2,253,265,-12,-4.5
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,315,305,10,3.3,133,117,16,13.7,182,188,-6,-3.2
〔就業者の主な産業別内訳〕／教育，学習支援業,447,411,36,8.8,203,197,6,3,243,214,29,13.6
〔就業者の主な産業別内訳〕／医療，福祉,879,890,-11,-1.2,248,236,12,5.1,631,653,-22,-3.4
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,602,696,-94,-13.5,348,414,-66,-15.9,255,282,-27,-9.6
〔雇用者の主な産業別内訳〕／建設業,384,341,43,12.6,295,263,32,12.2,90,79,11,13.9
〔雇用者の主な産業別内訳〕／製造業,664,633,31,4.9,464,436,28,6.4,200,197,3,1.5
〔雇用者の主な産業別内訳〕／情報通信業,799,801,-2,-0.2,546,546,0,0,252,255,-3,-1.2
〔雇用者の主な産業別内訳〕／運輸業，郵便業,391,372,19,5.1,281,272,9,3.3,110,100,10,10
〔雇用者の主な産業別内訳〕／卸売業，小売業,1251,1233,18,1.5,596,600,-4,-0.7,655,633,22,3.5
〔雇用者の主な産業別内訳〕／金融業，保険業,292,273,19,7,150,133,17,12.8,142,141,1,0.7
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,254,260,-6,-2.3,163,153,10,6.5,91,108,-17,-15.7
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,443,398,45,11.3,266,246,20,8.1,176,153,23,15
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,399,447,-48,-10.7,174,203,-29,-14.3,225,245,-20,-8.2
