年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1442えのきだけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成26年９月,2014,9,403,112,89,227,162,285,115,108,587,254,90,280,316,129,...,240,814,231,260,193,132,126,228,1300,318,622,871,153,862,1826,505,339,737,215,377,887,263,1089,744,1376,1286,2410,390,706,626,698,957,1807,572,826,534,...,667,664,294,427,...,464,1121,1152,...,863,...,...,...,...,220,859,186,215,306
平成26年10月,2014,10,411,124,93,247,175,289,123,81,581,247,83,285,325,128,440,233,824,244,261,193,132,129,209,831,203,495,378,151,704,1786,414,321,631,164,345,878,252,969,773,1422,...,1960,374,521,539,675,751,1724,562,790,466,...,501,671,285,417,...,517,...,1107,471,...,...,...,...,...,217,825,180,205,301
平成26年10月上旬,2014,10上,407,136,90,231,198,...,125,84,597,239,91,...,...,...,469,...,...,...,...,...,...,...,238,856,229,508,421,...,772,1841,...,...,...,176,...,...,250,979,...,...,...,1991,361,522,546,707,776,...,...,...,463,...,529,...,...,...,...,498,...,1126,491,...,...,...,...,...,219,...,181,206,300
平成26年10月中旬,2014,10中,417,142,91,239,170,289,134,80,582,260,82,285,325,128,434,233,824,244,261,193,132,129,227,817,206,519,372,151,706,1771,414,321,631,172,345,878,254,978,773,1422,...,1884,385,496,535,674,749,1724,562,790,482,...,493,671,285,417,...,505,...,1132,467,...,...,...,...,...,218,825,179,204,298
平成26年10月下旬,2014,10下,408,95,100,269,157,...,110,80,564,243,74,...,...,...,417,...,...,...,...,...,...,...,163,821,173,459,340,...,633,1747,...,...,...,143,...,...,252,951,...,...,...,2007,376,546,535,644,726,...,...,...,453,...,481,...,...,...,...,549,...,1063,455,...,...,...,...,...,212,...,181,207,305
平成26年11月上旬,2014,11上,405,95,104,...,147,...,112,76,593,242,82,...,...,...,408,...,...,...,...,...,...,...,125,737,152,423,320,...,506,1727,...,...,...,122,...,...,245,879,...,...,...,2017,393,588,577,644,715,...,...,...,...,421,491,...,...,...,...,...,...,...,436,...,...,...,...,...,219,...,179,208,306
平成26年11月中旬,2014,11中,407,107,119,...,153,279,118,76,602,255,73,287,325,126,397,223,829,253,259,194,138,129,122,679,131,433,321,151,449,1770,449,313,591,119,306,882,246,875,765,1383,...,2144,427,582,608,629,724,1665,548,792,...,430,497,662,288,425,...,...,...,...,422,...,...,...,...,...,218,859,181,208,309
銘柄改正年月,,,,,,,,,,,,H26.7,H26.1,,,,,H26.1,,,,,,,,,,,,H26.1,,H26.1,,,,,,,,,,H26.1,H26.1,H26.1,,,,,H26.1,H26.1,H26.1,H26.1,,,,,,,,,,,,,,,H26.1,H26.1,H26.1,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成26年11月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
