年月,西暦（年）,月,消費者物価指数(平成22年=100）/全国,消費者物価指数(平成22年=100）/東京都区部,戦前基準指数(昭和9～11年=1)/企業物価指数,注1)消費水準指数全国(平成22年=100）/二人以上の世帯,注1)消費水準指数全国(平成22年=100）/二人以上の世帯のうち勤労者世帯,東京都生計分析調査（勤労者世帯）/実収入（円）,東京都生計分析調査（勤労者世帯）/消費支出（円）,東京都生計分析調査（勤労者世帯）/注3)/平均消費性向（％）,東京都生計分析調査（勤労者世帯）/注4)/公共的料金負担率（％）,注2)実質賃金指数東京都/調査産業計
平成5年平均,1993,,100.6,103.1,708.1,108.8,107.8,677044,397896,71.6,26.2,-
平成6年平均,1994,,101.2,103.8,693.7,107.9,106.7,669665,395193,70.9,27,-
平成7年平均,1995,,101.1,103.5,687.2,107.5,106.5,648892,380868,70.7,27.8,-
平成8年平均,1996,,101.2,103.5,688,108,107.3,629627,379877,72.6,28.5,-
平成9年平均,1997,,103.1,104.9,698.4,108.1,107.8,655940,386106,71.7,28.9,-
平成10年平均,1998,,103.7,105.7,687.5,105.8,106,656646,377118,69.2,27.4,-
平成11年平均,1999,,103.4,105.3,664.3,104.7,103.9,642848,366762,68.5,28.2,-
平成12年平均,2000,,102.7,104.2,664.2,103.9,103.4,643946,372835,69.7,28.9,-
平成13年平均,2001,,101.9,103.1,658,102.8,103,628068,364721,69.8,29.5,-
平成14年平均,2002,,101,102.1,645.7,103,102.5,633711,361608,68.2,29.4,-
平成15年平均,2003,,100.7,101.6,637.3,102.3,101.5,583065,355982,73.2,29.8,-
平成16年平均,2004,,100.7,101.5,644.7,102.6,102.9,596372,362122,72.7,30.1,-
平成17年平均,2005,,100.4,101,665,102.6,103,578340,352303,72.8,29.5,-
平成18年平均,2006,,100.7,101.1,692.7,100.5,100,585818,350664,72.4,29.5,102.6
平成19年平均,2007,,100.7,101.2,711.9,101.4,100.7,574514,346256,73,29.9,103.7
平成20年平均,2008,,102.1,102.2,736.6,99.5,99.3,581293,343972,72.4,29.2,103.8
平成21年平均,2009,,100.7,101,664.4,99.7,99.4,598723,359096,74.1,29.1,99.2
平成22年平均,2010,,100,100,668.5,100,100,615748,363141,73.2,28.4,100
平成23年平均,2011,,99.7,99.5,680.9,97.9,97.3,565071,337458,73.8,30.2,99.8
平成24年平均,2012,,99.7,99,674.4,98.8,98.6,575440,348158,75.2,29.6,99.8
平成25年平均,2013,,100,99.1,711.1,100.2,100,578628,363721,78.2,30,100.8
平成23年12月,2011,12,99.4,99.3,673,111.7,109.2,922411,370209,49,25.2,186.7
平成24年1月,2012,1,99.6,99.1,670.1,96.2,95.7,469832,342172,89.2,29.1,80.5
平成24年2月,2012,2,99.8,99.1,675.6,97.1,96.7,525311,305537,71.1,33.2,80.8
平成24年3月,2012,3,100.3,99.5,689.5,102.5,101.4,525587,370774,85.7,28,86.6
平成24年4月,2012,4,100.4,99.5,688.2,105.2,107.5,500312,389197,94.7,38.8,83.7
平成24年5月,2012,5,100.1,99.2,679.7,97.3,93.7,463145,341678,95.3,29.7,82.1
平成24年6月,2012,6,99.6,98.8,671.8,94.8,93.6,779220,334559,54.9,25.7,159.1
平成24年7月,2012,7,99.3,98.7,665.2,96.6,97,638884,357590,71.6,26.8,106.8
平成24年8月,2012,8,99.4,98.8,666.1,97.4,96.3,520112,334604,79.2,27.8,81.5
平成24年9月,2012,9,99.6,98.9,669,93.7,95.8,487533,340720,86.8,30.2,84
平成24年10月,2012,10,99.6,99.1,668.1,96.6,97.3,529505,352841,82,32.7,82.3
平成24年11月,2012,11,99.2,98.7,670.8,96.6,96.3,500671,336663,84.3,27.1,83.4
平成24年12月,2012,12,99.3,98.7,678.2,111,111.6,965169,371557,47,25.3,187.2
