年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1442えのきだけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成26年４月,2014,4,383,110,80,283,162,277,108,81,582,243,100,278,305,119,...,218,812,230,249,182,134,123,206,760,200,498,381,156,651,1765,451,326,685,139,408,938,283,940,734,1305,...,2003,409,502,646,673,859,1626,512,707,...,496,...,628,348,460,...,...,...,...,...,...,...,...,1444,...,219,835,181,209,320
平成26年５月,2014,5,392,100,82,235,133,285,106,83,574,228,108,287,312,116,...,225,807,227,255,187,138,125,175,800,181,582,351,155,604,1842,473,326,732,150,400,966,267,1126,724,1304,...,2035,443,485,594,632,765,1666,489,684,...,561,...,667,352,457,...,...,...,...,...,...,431,810,1465,...,226,844,195,209,316
平成26年５月上旬,2014,5上,397,94,85,219,147,...,106,83,578,234,117,...,...,...,...,...,...,...,...,...,...,...,173,788,177,530,378,...,645,1941,...,...,...,150,...,...,267,1077,...,...,...,2045,412,477,601,667,777,...,...,...,...,532,...,...,...,...,...,...,...,...,...,...,456,885,1506,...,227,...,222,210,326
平成26年５月中旬,2014,5中,399,102,84,235,126,285,104,83,563,231,103,287,312,116,...,225,807,227,255,187,138,125,183,796,180,599,347,155,609,1826,473,326,732,152,400,966,273,1127,724,1304,...,2003,459,500,594,647,776,1666,489,684,...,573,...,667,352,457,...,...,...,...,...,...,423,822,1420,...,226,844,184,211,315
平成26年５月下旬,2014,5下,379,104,78,251,127,...,107,85,582,220,104,...,...,...,...,...,...,...,...,...,...,...,170,815,186,617,327,...,557,1760,...,...,...,147,...,...,262,1175,...,...,...,2058,458,477,588,583,742,...,...,...,...,579,...,...,...,...,...,...,...,...,...,...,416,723,1468,...,225,...,180,206,306
平成26年６月上旬,2014,6上,375,97,77,209,127,...,100,84,590,234,109,...,...,...,...,...,...,...,...,...,...,...,135,716,182,653,305,...,571,1798,...,...,...,141,...,...,266,1781,...,...,1626,1898,476,423,553,535,678,...,...,...,...,621,...,...,...,...,...,...,2083,...,...,...,379,637,...,4559,220,...,182,208,305
平成26年６月中旬,2014,6中,388,97,95,244,129,292,97,81,589,223,95,279,317,123,...,229,791,239,255,188,135,125,141,720,177,707,316,155,597,1717,499,339,931,140,385,954,251,1943,742,1290,1460,1784,473,444,571,530,663,1648,490,652,...,608,...,643,331,431,...,...,1812,...,...,...,373,604,...,3229,219,855,181,208,297
銘柄改正年月,,,,,,,,,,,,,H26.1,H25.7,H25.7,,,H26.1,,,,,,,,,,,,H26.1,,H26.1,,,H25.7,,,,,,,H26.1,H26.1,H26.1,,,,,H26.1,H26.1,H26.1,H26.1,,,,,,,,,,,,,,,H25.7,H26.1,H26.1,,,H25.7,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H26.1,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成26年6月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
