年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1442えのきだけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成26年６月,2014,6,384,97,85,229,128,292,97,83,586,229, 100,279,317,123,...,229,791,239,255,188,135,125,147,773,188,681,321,155,609,1826,499,339,931,145,385,954,259,2028,742,1290,1491,1854,479,465,569,544,681,1648,490,652,...,624,...,643,331,431,...,...,1832,...,...,...,366,608,...,3333,220,855,183,208,300
平成26年７月,2014,7,377,106,94,231,156,271,103,86,566,239, 105,282,317,119,...,224,802,239,258,193,134,125,171,922,208,692,358,154,604,1877,482,330,1045,155,366,921,241,2169,731,1273,1183,1775,468,453,577,571,714,1640,465,658,...,636,...,644,298,428,...,...,1426,2245,...,946,325,522,...,2143,213,842,181,209,298
平成26年７月上旬,2014,7上,368,100,87,264,137,...,97,86,553,234, 106,...,...,...,...,...,...,...,...,...,...,...,189,853,208,669,360,...,596,1962,...,...,...,159,...,...,243,2331,...,...,1300,1784,475,463,584,548,682,...,...,...,...,614,...,...,...,...,...,...,1582,2298,...,1031,335,546,...,2054,212,...,179,206,300
平成26年７月中旬,2014,7中,389,110,78,203,148,271,114,83,572,244, 103,282,317,119,...,224,802,239,258,193,134,125,173,929,209,726,338,154,611,1889,482,330,1045,160,366,921,237,2266,731,1273,1148,1768,466,433,594,578,732,1640,465,658,...,627,...,644,298,428,...,...,1478,2170,...,927,332,518,...,2073,211,842,185,216,301
平成26年７月下旬,2014,7下,372,108,117,225,183,...,98,90,572,239, 104,...,...,...,...,...,...,...,...,...,...,...,150,985,208,681,375,...,606,1781,...,...,...,147,...,...,242,1911,...,...,1102,1773,462,463,553,587,729,...,...,...,...,667,...,...,...,...,...,...,1216,2266,...,881,307,504,...,2301,215,...,180,204,292
平成26年８月上旬,2014,8上,402,116,113,220,152,...,103,81,587,254, 97,...,...,...,...,...,...,...,...,...,...,...,132,1001,225,626,394,...,581,1487,...,...,...,158,...,...,245,1578,...,...,1053,1593,476,407,489,541,695,...,...,...,735,...,...,...,...,...,...,643,1155,1593,...,877,296,536,...,...,218,...,182,208,290
平成26年８月中旬,2014,8中,386,135,116,270,159,278,116,84,555,292, 103,281,317,124,...,240,837,237,263,193,129,125,158,1014,260,659,419,152,582,1521,564,326,807,172,390,915,249,1298,744,1350,1140,1696,425,471,490,559,690,1567,469,644,805,...,...,656,298,432,...,596,1102,1372,...,849,296,535,...,...,212,834,187,216,293
銘柄改正年月,,,,,,,,,,,,H26.7,H26.1,,,,,H26.1,,,,,,,,,,,,H26.1,,H26.1,,,,,,,,,,H26.1,H26.1,H26.1,,,,,H26.1,H26.1,H26.1,H26.1,,,,,,,,,,,,,,,H26.1,H26.1,H26.1,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成26年8月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
