年月,西暦（年）,月,東京都区部,札幌,仙台,千葉,横浜,川崎,名古屋,京都,大阪,神戸,広島,北九州,福岡,さいたま,新潟,静岡,浜松,堺,岡山,熊本
平成16年平均,2004,,101.5,101,101.5,101.2,100.2,100.7,101.3,101.3,103.2,100.9,100.6,100.9,101.4,101.1,101.5,100.5,-,-,100.2,100.5
平成17年平均,2005,,101,100.9,100.9,100.7,99.8,100.5,100.6,100.9,102.1,100.6,100.1,100.2,101.1,100.8,101,100,-,-,100.1,99.9
平成18年平均,2006,,101.1,101.1,101.2,101,100.2,100.8,100.8,100.8,102.2,100.6,100.3,100.3,101.2,100.7,101.4,99.5,-,-,100.5,99.9
平成19年平均,2007,,101.2,101,101.4,101,100.5,100.9,101.1,100.8,102.1,100.5,100.4,100.5,101.1,100.9,100.9,99.7,-,-,100.8,99.8
平成20年平均,2008,,102.2,103,102.5,102,101.8,101.8,102.3,101.8,102.9,101.5,102.3,101.7,102.1,102.1,102,101.3,-,-,102.5,101
平成21年平均,2009,,101,100.6,100.8,100.4,100.7,100.9,101.5,100.9,102.1,100.4,101,100.5,100.7,101,100.4,101.1,-,-,100.8,100.3
平成22年平均,2010,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23年平均,2011,,99.5,100.2,99.3,99.6,99.7,99.5,99.6,100.1,99.5,99.8,100.1,99.6,99.8,99.9,99.5,99.9,99.8,99.3,100.1,99.5
平成24年平均,2012,,99,100.1,98.8,99.2,99.6,99.5,99.7,100,99.5,99.8,99.7,99.6,99.6,100.3,99.8,100.2,100.1,99.2,99.9,99.1
平成25年平均,2013,,99.1,101,99.5,99.6,99.9,99.7,99.9,100.6,99.8,99.9,99.7,99.9,99.6,100.8,99.9,100.4,99.9,99.6,100.1,99.1
平成25年3月,2013,3,98.5,100.5,98.8,99.1,99.3,99.1,99.1,99.5,98.8,99.1,99.1,99,99.1,100,99.3,100,99.6,98.6,99.6,98.3
平成25年4月,2013,4,98.9,100.5,99.1,99.3,99.6,99.4,99.6,99.9,99,99.3,99.3,99.4,99.3,100.4,99.5,100.3,99.8,98.9,99.8,98.7
平成25年5月,2013,5,99,100.4,99.3,99.2,99.7,99.4,99.7,100.4,99.6,99.9,99.5,99.9,99.4,100.5,99.4,100.1,99.8,99.5,99.9,98.9
平成25年6月,2013,6,98.9,100.7,99.1,99.4,99.8,99.6,99.7,100.4,99.7,100,99.5,99.6,99.2,100.5,99.4,100.1,99.6,99.4,99.9,99
平成25年7月,2013,7,99,100.8,99.4,99.5,99.9,99.8,100,100.7,99.9,100.1,100,99.8,99.5,100.9,99.9,100.1,99.7,99.7,100.2,99.3
平成25年8月,2013,8,99.3,100.9,99.7,99.8,100.1,99.9,100.3,101,100.1,100.2,100,100.4,99.6,101.2,100,100.4,99.9,100,100.5,99.5
平成25年9月,2013,9,99.5,101.7,100.4,100.1,100.4,100.3,100.5,101.4,100.4,100.5,100.1,100.7,100.5,101.3,100.8,100.8,100.2,100.1,100.7,99.7
平成25年10月,2013,10,99.6,101.7,100.2,100.2,100.4,100.2,100.5,101.7,100.7,100.7,100.3,100.7,100.1,101.5,100.7,101,100.2,100.5,100.7,99.8
平成25年11月,2013,11,99.7,101.7,100.3,100.5,100.4,100.5,100.6,101.6,100.7,100.7,100.5,100.5,99.9,101.7,100.6,100.9,100.2,100.4,100.7,100
平成25年12月,2013,12,99.7,102.2,100.4,100.5,100.3,100.3,100.8,101.8,100.8,100.8,100.3,100.7,100.2,101.6,100.4,101.2,100.5,100.6,100.6,100.2
平成26年1月,2014,1,99.3,101.8,100.1,100.2,100.3,100.3,100.4,101.4,100.4,100.3,100.1,100.3,99.8,101.6,100.7,101,100.3,100.4,100.3,99.8
平成26年2月,2014,2,99.3,101.7,100.4,100.4,100.2,100.3,100.5,101.3,100.4,100.4,99.9,100.3,99.8,101.7,100.7,100.9,100.4,100.5,100.5,99.6
平成26年3月,2014,3,99.8,102,100.7,100.7,100.5,100.6,100.8,101.7,100.6,100.9,100.3,100.5,99.9,101.7,100.9,101.1,100.5,100.7,100.8,100.1
,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成２６年４月,,,,,,,,,,,,,,,,,,,,,,
９．大都市消費者物価指数,,,,,,,,,,,,,,,,,,,,,,
２０１０年＝１００,,,,,,,,,,,,,,,,,,,,,,
(平成２２年＝１００),,,,,,,,,,,,,,,,,,,,,,
