年,西暦（年）,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和26年平均,1951,    -,    -,14.6,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和27年平均,1952,    -,    -,15.3,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和28年平均,1953,    -,    -,16.4,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和29年平均,1954,    -,    -,17.3,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和30年平均,1955,    -,    -,17,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和31年平均,1956,    -,    -,17.2,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和32年平均,1957,    -,    -,17.7,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和33年平均,1958,    -,    -,17.9,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和34年平均,1959,    -,    -,18.1,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和35年平均,1960,    -,    -,18.8,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和36年平均,1961,    -,    -,19.7,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和37年平均,1962,    -,    -,21.1,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和38年平均,1963,    -,    -,22.7,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和39年平均,1964,    -,    -,23.6,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和40年平均,1965,    -,    -,25.3,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和41年平均,1966,    -,    -,26.6,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和42年平均,1967,    -,    -,27.7,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和43年平均,1968,    -,    -,29.2,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和44年平均,1969,    -,    -,30.8,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和45年平均,1970,32.7,32.6,33.1,33,29.5,28,36.6,75.4,32.4,37.2,37.8,13.9,37.5,29.3
昭和46年平均,1971,34.7,34.7,35.2,35.2,31.4,30,37.1,78.8,35.6,37.8,38.9,15.1,40.2,30.9
