総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素原材料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財注3)
品目数,,,1213,912,301,76,617,420,104,19,74,520,153,367,73,294,693,260
ウエイト,,,1000,789.64,210.36,98.445,516.205,336.324,59.252,63.731,56.898,385.35,104.397,280.953,70.923,210.03,614.65,164.423
平成21年平均,2009,,98.8,100.1,93.4,87.1,99.3,99.3,100.6,95.7,102.1,101.2,101.6,101,104.3,99.9,97.4,101.3
平成22年平均,2010,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23年平均,2011,,102.7,101.5,107.5,118.6,102.4,101.5,102,109.6,100.7,99.1,97.6,99.6,92.7,101.9,105,99.2
平成24年平均,2012,,102,100.6,107.2,120,101.5,98.7,101,116.9,100.9,98.1,97.3,98.4,87.5,102.1,104.4,98.6
平成25年平均,2013,,106.3,101.9,122.7,135.9,105.2,101.4,105,128,102.5,100.1,98.5,100.7,86.8,105.4,110.1,100.9
平成20年度平均,2008,,107.6,105.2,117.9,121.7,107.6,106.9,106,115.9,104.2,104,103.4,104.3,107.1,103.3,109.8,104.3
平成21年度平均,2009,,99,99.8,95.7,90.6,99.1,99.2,99.6,95.3,101.5,101.1,101.3,101.1,103.8,100.1,97.8,100.7
平成22年度平均,2010,,100.4,100.2,101.2,103.7,100.4,100.3,100.5,101.7,99.7,99.6,99.2,99.7,97.9,100.3,100.9,99.7
平成23年度平均,2011,,103,101.6,108.3,121.1,102.6,101.2,102.1,112.2,100.9,98.9,97.5,99.4,91.2,102.1,105.6,99.2
平成24年度平均,2012,,102.5,100.5,110.1,122.9,101.8,98.8,101.3,118.5,101.2,98.3,97.4,98.7,87.1,102.6,105.2,98.8
平成25年2月,2013,2,105,101,120.2,134,103.5,100.7,102.6,121,102,99.6,98,100.2,87.3,104.6,108.4,99.7
平成25年3月,2013,3,105.5,101.1,122,136.4,103.8,100.9,102.9,121.8,102.1,99.9,98.6,100.4,87.5,104.8,109.1,100.2
平成25年4月,2013,4,106.2,101.5,123.8,137.6,104.7,101.5,104.5,124.2,102.6,100.1,98.8,100.6,87.7,105,110,100.9
平成25年5月,2013,5,106.6,101.6,125.3,138.7,105.2,101.9,105,125.2,102.9,100.1,98.6,100.7,87.7,105.1,110.6,100.9
平成25年6月,2013,6,105.8,101.6,121.2,134.2,104.8,101,104.8,126.7,102.5,99.8,98.5,100.3,87,104.8,109.5,100.8
平成25年7月,2013,7,106.5,102.2,122.9,135.2,105.8,101.4,105.3,132.2,103,100.2,98.7,100.7,86.7,105.4,110.5,101.1
平成25年8月,2013,8,106.4,102.4,121.3,133.8,105.8,101.1,105.5,133.5,102.8,100.1,98.3,100.8,86.3,105.7,110.3,100.9
平成25年9月,2013,9,107.1,102.6,123.9,137.2,106.4,101.6,106.1,134.8,102.9,100.4,98.5,101.1,86.3,106.1,111.3,101.3
平成25年10月,2013,10,106.8,102.5,122.8,135.2,106.2,101.8,106.5,132.1,102.6,100.3,98.4,101,86,106.1,110.8,101.4
平成25年11月,2013,11,107.2,102.5,124.8,137.6,106.4,102.1,107.1,131.8,102.2,100.5,98.9,101.1,85.6,106.4,111.4,101.9
平成25年12月,2013,12,108.3,102.8,129,142.7,107.1,102.8,107.8,133,102.6,101.1,98.8,101.9,86.4,107.2,112.8,102
平成26年1月,2014,1,108.7,103,130.1,143.6,107.7,103.4,108.1,134.5,102.9,101,99.1,101.7,86.3,106.9,113.5,102.3
平成26年2月注1),2014,2,108.1,102.8,127.8,140.7,107.4,103.1,108.1,133.5,102.9,100.7,98.7,101.4,86.1,106.5,112.7,102.1
対前月比(%),,,-0.6,-0.2,-1.8,-2,-0.3,-0.3,0,-0.7,0,-0.3,-0.4,-0.3,-0.2,-0.4,-0.7,-0.2
対前年同月比(%),,,3,1.8,6.3,5,3.8,2.4,5.4,10.3,0.9,1.1,0.7,1.2,-1.4,1.8,4,2.4
,,,,,,,,,,,,,,,,,,
東京の物価／平成26年3月,,,,,,,,,,,,,,,,,,
参考表３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,
注 1)  最新月の数値は速報値のため、後日訂正される場合がある。,,,,,,,,,,,,,,,,,,
注 2)　平成22年（2010年）基準から、従来の「加工食品」を「食料品・飲料・たばこ・飼料」に変更したほか、従来の類別「一般機器」「精密機器」を類別「はん用機器」「生産用機器」「業務用機器」「その他工業製品」に組み替えてある。,,,,,,,,,,,,,,,,,,
注 3)  投資財：(3)＋(4)＋素原材料内建設用材料,,,,,,,,,,,,,,,,,,
