 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,993,483 ","6,993,483 ","3,853,638 ","805,196 ","3,048,442 ","3,853,638 ","805,196 ","3,048,442 ","3,139,845 ","1,122,618 ","2,017,227 ","3,139,845 ","1,122,618 ","2,017,227 "
公共計,"3,118,770 ","3,118,770 ","1,045,901 ","145,014 ","900,887 ","1,045,901 ","145,014 ","900,887 ","2,072,869 ","1,041,587 ","1,031,282 ","2,072,869 ","1,041,587 ","1,031,282 "
ドルフィン,"8,850 ","8,850 ",-,-,-,-,-,-,"8,850 ","8,850 ",-,"8,850 ","8,850 ",-
芝浦ふ頭,"56,669 ","56,669 ",-,-,-,-,-,-,"56,669 ",951 ,"55,718 ","56,669 ",951 ,"55,718 "
芝浦物揚場,"7,630 ","7,630 ",-,-,-,-,-,-,"7,630 ","4,779 ","2,851 ","7,630 ","4,779 ","2,851 "
日の出ふ頭,"2,570 ","2,570 ",-,-,-,-,-,-,"2,570 ",-,"2,570 ","2,570 ",-,"2,570 "
竹芝ふ頭,"5,997 ","5,997 ",-,-,-,-,-,-,"5,997 ","4,136 ","1,861 ","5,997 ","4,136 ","1,861 "
品川岸壁,"625,059 ","625,059 ","363,675 ","59,198 ","304,477 ","363,675 ","59,198 ","304,477 ","261,384 ","154,866 ","106,518 ","261,384 ","154,866 ","106,518 "
品川コンテナ,"353,351 ","353,351 ","353,351 ","58,305 ","295,046 ","353,351 ","58,305 ","295,046 ",-,-,-,-,-,-
品川外貿,"10,324 ","10,324 ","10,324 ",893 ,"9,431 ","10,324 ",893 ,"9,431 ",-,-,-,-,-,-
品川内貿,"261,384 ","261,384 ",-,-,-,-,-,-,"261,384 ","154,866 ","106,518 ","261,384 ","154,866 ","106,518 "
月島ふ頭,"1,373 ","1,373 ",-,-,-,-,-,-,"1,373 ","1,052 ",321 ,"1,373 ","1,052 ",321 
10号西岸壁,"496,969 ","496,969 ",-,-,-,-,-,-,"496,969 ","293,225 ","203,744 ","496,969 ","293,225 ","203,744 "
10号東岸壁,"29,486 ","29,486 ",-,-,-,-,-,-,"29,486 ",126 ,"29,360 ","29,486 ",126 ,"29,360 "
東京港フェリーふ頭,"805,000 ","805,000 ",-,-,-,-,-,-,"805,000 ","420,845 ","384,155 ","805,000 ","420,845 ","384,155 "
辰巳ふ頭,"25,884 ","25,884 ",-,-,-,-,-,-,"25,884 ","10,741 ","15,143 ","25,884 ","10,741 ","15,143 "
青海コンテナふ頭（公共）,"643,690 ","643,690 ","628,550 ","85,816 ","542,734 ","628,550 ","85,816 ","542,734 ","15,140 ","7,627 ","7,513 ","15,140 ","7,627 ","7,513 "
大井食品ふ頭（OL）,"17,242 ","17,242 ","10,644 ",-,"10,644 ","10,644 ",-,"10,644 ","6,598 ",-,"6,598 ","6,598 ",-,"6,598 "
大井食品ふ頭（OM）,"5,581 ","5,581 ","5,581 ",-,"5,581 ","5,581 ",-,"5,581 ",-,-,-,-,-,-
若洲内貿ふ頭,"45,382 ","45,382 ",-,-,-,-,-,-,"45,382 ","35,104 ","10,278 ","45,382 ","35,104 ","10,278 "
15号地木材ふ頭,"9,588 ","9,588 ","8,556 ",-,"8,556 ","8,556 ",-,"8,556 ","1,032 ","1,032 ",-,"1,032 ","1,032 ",-
若洲建材ふ頭,"50,589 ","50,589 ",-,-,-,-,-,-,"50,589 ","5,529 ","45,060 ","50,589 ","5,529 ","45,060 "
大井建材ふ頭,"119,921 ","119,921 ",-,-,-,-,-,-,"119,921 ",-,"119,921 ","119,921 ",-,"119,921 "
城南島建設発生土ふ頭,"46,780 ","46,780 ",-,-,-,-,-,-,"46,780 ","46,780 ",-,"46,780 ","46,780 ",-
中央防波堤内側ばら物ふ頭,"36,140 ","36,140 ","28,895 ",-,"28,895 ","28,895 ",-,"28,895 ","7,245 ","2,665 ","4,580 ","7,245 ","2,665 ","4,580 "
中央防波堤内側建設発生土ふ頭,"6,008 ","6,008 ",-,-,-,-,-,-,"6,008 ","6,008 ",-,"6,008 ","6,008 ",-
中央防波堤内側内貿ふ頭,"72,362 ","72,362 ",-,-,-,-,-,-,"72,362 ","37,271 ","35,091 ","72,362 ","37,271 ","35,091 "
東京港埠頭㈱計,"2,706,805 ","2,706,805 ","2,605,208 ","638,659 ","1,966,549 ","2,605,208 ","638,659 ","1,966,549 ","101,597 ","43,493 ","58,104 ","101,597 ","43,493 ","58,104 "
青海コンテナふ頭(埠頭㈱),"547,931 ","547,931 ","544,356 ","95,056 ","449,300 ","544,356 ","95,056 ","449,300 ","3,575 ","3,575 ",-,"3,575 ","3,575 ",-
お台場ライナーふ頭,"67,076 ","67,076 ","51,941 ","37,171 ","14,770 ","51,941 ","37,171 ","14,770 ","15,135 ",911 ,"14,224 ","15,135 ",911 ,"14,224 "
大井コンテナふ頭,"2,091,798 ","2,091,798 ","2,008,911 ","506,432 ","1,502,479 ","2,008,911 ","506,432 ","1,502,479 ","82,887 ","39,007 ","43,880 ","82,887 ","39,007 ","43,880 "
民間計,"1,167,908 ","1,167,908 ","202,529 ","21,523 ","181,006 ","202,529 ","21,523 ","181,006 ","965,379 ","37,538 ","927,841 ","965,379 ","37,538 ","927,841 "
,,,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
